ï»¿Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted
1,464115687,kalpeace (1/3),0,253.72,QB Alex Smith RB DeAngelo Williams RB Spencer Ware WR T.Y. Hilton WR Willie Snead WR Brandin Cooks TE Travis Kelce FLEX Theo Riddick DST Vikings ,,Spencer Ware,25.36%
2,466054002,sbslaughter (3/3),0,239.62,QB Drew Brees RB Mark Ingram RB Ameer Abdullah WR Willie Snead WR Brandin Cooks WR Amari Cooper TE Dwayne Allen FLEX Spencer Ware DST Vikings ,,Antonio Brown,24.41%
2,466887952,styval (22/49),0,239.62,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Willie Snead WR Brandin Cooks TE Julius Thomas FLEX Marvin Jones Jr. DST Seahawks ,,Todd Gurley,20.85%
2,466836331,Lohco (27/50),0,239.62,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Marvin Jones Jr. WR Brandin Cooks TE Julius Thomas FLEX Willie Snead DST Seahawks ,,Marvin Jones Jr.,17.08%
5,466871043,BobbyDigit4l (2/2),0,239.12,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Willie Snead WR Brandin Cooks WR Amari Cooper TE Jason Witten FLEX Terrelle Pryor DST Texans ,,Michael Crabtree,14.78%
6,466446024,Jhcdmom (2/4),0,237.42,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Marvin Jones Jr. WR Jordan Matthews WR Willie Snead TE Clive Walford FLEX Brandin Cooks DST Eagles ,,Greg Olsen,14.73%
7,463629783,tracidawn (2/3),0,234.06,QB Derek Carr RB DeAngelo Williams RB Spencer Ware WR A.J. Green WR Marvin Jones Jr. WR Amari Cooper TE Dwayne Allen FLEX Stefon Diggs DST Vikings ,,Amari Cooper,13.70%
8,466512324,Catapult (6/32),0,233.36,QB Derek Carr RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Tajae Sharpe TE Travis Kelce FLEX Latavius Murray DST Vikings ,,Texans ,13.66%
8,466868053,DEVLAEMINCK,0,233.36,QB Derek Carr RB Spencer Ware RB David Johnson WR Marvin Jones Jr. WR Willie Snead WR Amari Cooper TE Julius Thomas FLEX DeAngelo Williams DST Vikings ,,Dak Prescott,13.41%
10,461137500,chucklesht (1/2),0,231.92,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Mohamed Sanu WR Brandin Cooks TE Dwayne Allen FLEX Michael Floyd DST Vikings ,,DeAngelo Williams,13.38%
11,462571599,kennyg70,0,230.26,QB Derek Carr RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Antonio Brown WR Willie Snead TE Julius Thomas FLEX Ameer Abdullah DST Browns ,,Latavius Murray,12.92%
12,462653347,The-Vigilantes (44/50),0,229.42,QB Drew Brees RB Ryan Mathews RB Spencer Ware WR Michael Crabtree WR Willie Snead WR Brandin Cooks TE Charles Clay FLEX DeAngelo Williams DST Eagles ,,Christine Michael,12.07%
12,464008044,aholman74 (3/6),0,229.42,QB Alex Smith RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Travis Benjamin WR Willie Snead TE Julius Thomas FLEX LeSean McCoy DST Texans ,,Jordan Reed,11.59%
14,466541338,blu2you (3/3),0,229.32,QB Drew Brees RB DeAngelo Williams RB Lamar Miller WR Willie Snead WR Amari Cooper WR Will Fuller TE Dwayne Allen FLEX Latavius Murray DST Vikings ,,Sammy Watkins,11.24%
15,463449416,DreMoney400 (35/50),0,228.8,QB Andrew Luck RB DeMarco Murray RB Spencer Ware WR Julio Jones WR A.J. Green WR Willie Snead TE Dwayne Allen FLEX Tajae Sharpe DST Texans ,,Cam Newton,11.12%
16,466575353,TheGStevens (2/4),0,228.32,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Steve Smith Sr. WR Doug Baldwin WR Brandin Cooks TE Jason Witten FLEX Theo Riddick DST Texans ,,Julio Jones,10.81%
17,466481553,pdub921,0,227.92,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Willie Snead WR Brandin Cooks WR Amari Cooper TE Martellus Bennett FLEX Terrelle Pryor DST Texans ,,Ezekiel Elliott,10.70%
18,467211817,Wahooligan,0,227.62,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Willie Snead WR Sammy Watkins TE Dwayne Allen FLEX Lamar Miller DST Vikings ,,Lamar Miller,10.37%
19,462492563,m27308 (1/5),0,227.36,QB Derek Carr RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Doug Baldwin WR Amari Cooper TE Kyle Rudolph FLEX C.J. Anderson DST Vikings ,,Devonta Freeman,9.68%
20,467244341,dhurlers (8/39),0,227.32,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Marvin Jones Jr. WR Willie Snead WR Donte Moncrief TE Virgil Green FLEX A.J. Green DST Broncos ,,Panthers ,9.55%
21,466620034,Mr.BiggMike (5/10),0,226.16,QB Aaron Rodgers RB DeAngelo Williams RB C.J. Anderson WR Larry Fitzgerald WR Doug Baldwin WR Willie Snead TE Richard Rodgers FLEX Spencer Ware DST Texans ,,Derek Carr,9.51%
22,465933378,Crowe151,0,225.82,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Tajae Sharpe TE Zach Ertz FLEX Latavius Murray DST Packers ,,Donte Moncrief,8.80%
23,466373803,Beanman14 (6/6),0,225.52,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Tajae Sharpe TE Jesse James FLEX Doug Martin DST Texans ,,Willie Snead,8.79%
24,466514998,Zokor (3/5),0,225.22,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Marvin Jones Jr. WR Phillip Dorsett TE Jesse James FLEX Willie Snead DST Eagles ,,Doug Martin,8.75%
25,466576176,Snake80 (1/6),0,225.1,QB Ben Roethlisberger RB DeAngelo Williams RB Latavius Murray WR Antonio Brown WR Marvin Jones Jr. WR Willie Snead TE Virgil Green FLEX Spencer Ware DST Vikings ,,DeAndre Hopkins,8.71%
26,467106713,badger1973 (3/4),0,224.92,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR DeSean Jackson WR Brandin Cooks WR Tajae Sharpe TE Martellus Bennett FLEX C.J. Anderson DST Seahawks ,,DeSean Jackson,8.45%
27,465744813,BDholla89 (7/50),0,224.52,QB Drew Brees RB Christine Michael RB Spencer Ware WR Willie Snead WR Brandin Cooks WR Tajae Sharpe TE Greg Olsen FLEX Antonio Brown DST Texans ,,Tajae Sharpe,7.91%
27,467296411,toddyd2732 (6/10),0,224.52,QB Drew Brees RB Theo Riddick RB Spencer Ware WR Kelvin Benjamin WR Brandin Cooks WR Amari Cooper TE Gary Barnidge FLEX Willie Snead DST Texans ,,Delanie Walker,7.84%
29,462566376,ADH6676 (6/30),0,224.42,QB Drew Brees RB Christine Michael RB Spencer Ware WR Jarvis Landry WR Willie Snead WR Brandin Cooks TE Travis Kelce FLEX DeAngelo Williams DST Texans ,,Browns ,7.82%
30,467397491,Ryane5117 (7/12),0,224.32,QB Drew Brees RB Theo Riddick RB Spencer Ware WR Willie Snead WR Brandin Cooks WR Amari Cooper TE Jason Witten FLEX Sammy Watkins DST Packers ,,Jonathan Stewart,7.72%
31,464269013,DBrunoEsq (6/10),0,223.3,QB Andrew Luck RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Donte Moncrief WR Tajae Sharpe TE Dwayne Allen FLEX T.J. Yeldon DST Panthers ,,Jared Cook,7.62%
32,464014166,sjkarner (3/4),0,223.2,QB Matthew Stafford RB DeAngelo Williams RB Spencer Ware WR Anquan Boldin WR Antonio Brown WR Amari Cooper TE Dwayne Allen FLEX Chris Hogan DST Vikings ,,Emmanuel Sanders,7.59%
