Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Nick Folk,New York Jets,1,4,4,100.0%,2,2,Away,New Orleans Saints
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,7,7,Away,Pittsburgh Steelers
Ryan Succop,Kansas City Chiefs,1,3,3,100.0%,2,2,Home,Buffalo Bills
Graham Gano,Carolina Panthers,1,2,2,100.0%,4,4,Away,Atlanta Falcons
Dan Bailey,Dallas Cowboys,1,2,2,100.0%,3,3,Away,Minnesota Vikings
Robbie Gould,Chicago Bears,1,2,2,100.0%,3,3,Home,Green Bay Packers
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,3,3,Away,Tampa Bay Buccaneers
Mason Crosby,Green Bay Packers,1,2,2,100.0%,2,2,Away,Chicago Bears
Garrett Hartley,New Orleans Saints,1,2,3,66.7%,2,2,Home,New York Jets
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,2,2,Away,Philadelphia Eagles
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,2,2,Home,Miami Dolphins
Caleb Sturgis,Miami Dolphins,1,2,3,66.7%,2,2,Away,Cincinnati Bengals
Dan Carpenter,Buffalo Bills,1,2,2,100.0%,1,1,Away,Kansas City Chiefs
Alex Henery,Philadelphia Eagles,1,0,0,0.0%,7,7,Home,Oakland Raiders
Shaun Suisham,Pittsburgh Steelers,1,1,1,100.0%,4,4,Home,New England Patriots
Adam Vinatieri,Indianapolis Colts,1,2,3,66.7%,1,1,Home,Houston Texans
Randy Bullock,Houston Texans,1,1,4,25.0%,3,3,Away,Indianapolis Colts
Billy Cundiff,Cleveland Browns,1,1,1,100.0%,3,3,Away,Baltimore Ravens
Kai Forbath,Washington Redskins,1,1,3,33.3%,3,3,Away,San Diego Chargers
Rian Lindell,Tampa Bay Buccaneers,1,1,1,100.0%,3,3,Home,Seattle Seahawks
Nick Novak,San Diego Chargers,1,1,1,100.0%,3,3,Home,Washington Redskins
Blair Walsh,Minnesota Vikings,1,1,1,100.0%,2,3,Home,Dallas Cowboys
Rob Bironas,Tennessee Titans,1,0,0,0.0%,4,4,Home,St. Louis Rams
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,1,1,Home,Carolina Panthers
Justin Tucker,Baltimore Ravens,1,1,1,100.0%,1,1,Home,Cleveland Browns
Greg Zuerlein,St. Louis Rams,1,0,1,0.0%,3,3,Away,Tennessee Titans
