Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Aaron Rodgers,Green Bay Packers,1,34,42,480,4,0,3,-3,0,Away,Washington Redskins,2
Michael Vick,Philadelphia Eagles,1,24,37,428,2,0,6,23,1,Away,San Diego Chargers,2
Philip Rivers,San Diego Chargers,1,36,47,419,3,0,3,11,0,Home,Philadelphia Eagles,2
Sam Bradford,St. Louis Rams,1,32,55,352,3,1,3,25,0,Home,Atlanta Falcons,2
Robert Griffin III,Washington Redskins,1,26,40,320,3,1,4,1,0,Home,Green Bay Packers,2
Jay Cutler,Chicago Bears,1,28,39,290,3,2,3,9,0,Away,Minnesota Vikings,2
Matt Schaub,Houston Texans,1,26,48,298,3,2,0,0,0,Away,Tennessee Titans,2
Matt Ryan,Atlanta Falcons,1,33,43,374,2,0,0,0,0,Away,St. Louis Rams,2
Alex Smith,Kansas City Chiefs,1,21,36,223,2,0,8,57,0,Away,Dallas Cowboys,2
Andrew Luck,Indianapolis Colts,1,25,43,321,1,1,4,38,0,Away,Miami Dolphins,2
Peyton Manning,Denver Broncos,1,30,43,307,2,0,3,-3,0,Home,New York Giants,2
Eli Manning,New York Giants,1,28,49,362,1,4,0,0,0,Away,Denver Broncos,2
Matthew Stafford,Detroit Lions,1,24,36,278,2,0,2,1,0,Home,Arizona Cardinals,2
Cam Newton,Carolina Panthers,1,21,38,229,2,1,4,15,0,Home,Buffalo Bills,2
Drew Brees,New Orleans Saints,1,26,46,322,1,2,0,0,0,Home,Tampa Bay Buccaneers,2
EJ Manuel,Buffalo Bills,1,27,39,296,1,1,4,13,0,Away,Carolina Panthers,2
Ryan Tannehill,Miami Dolphins,1,23,34,319,1,0,4,1,0,Home,Indianapolis Colts,2
Tony Romo,Dallas Cowboys,1,30,42,298,1,0,2,3,0,Home,Kansas City Chiefs,2
Andy Dalton,Cincinnati Bengals,1,25,45,280,1,0,3,10,0,Away,Pittsburgh Steelers,2
Christian Ponder,Minnesota Vikings,1,16,30,227,1,1,6,18,0,Home,Chicago Bears,2
Ben Roethlisberger,Pittsburgh Steelers,1,20,37,251,1,1,1,6,0,Home,Cincinnati Bengals,2
Chad Henne,Jacksonville Jaguars,1,25,38,241,1,0,2,9,0,Home,Oakland Raiders,2
Jake Locker,Tennessee Titans,1,17,30,148,2,0,2,10,0,Home,Houston Texans,2
Carson Palmer,Arizona Cardinals,1,22,39,248,1,1,2,-2,0,Away,Detroit Lions,2
Joe Flacco,Baltimore Ravens,1,22,33,211,1,0,4,6,0,Away,Cleveland Browns,2
Colin Kaepernick,San Francisco 49ers,1,13,28,127,0,3,9,87,0,Home,Seattle Seahawks,2
Russell Wilson,Seattle Seahawks,1,8,19,142,1,1,10,33,0,Away,San Francisco 49ers,2
Tom Brady,New England Patriots,1,19,39,185,1,0,2,-2,0,Away,New York Jets,2
Geno Smith,New York Jets,1,15,35,214,0,3,3,17,0,Home,New England Patriots,2
Brandon Weeden,Cleveland Browns,1,21,33,227,0,0,2,7,0,Home,Baltimore Ravens,2
Josh Freeman,Tampa Bay Buccaneers,1,9,22,125,1,1,3,16,0,Away,New Orleans Saints,2
Jason Campbell,Cleveland Browns,1,1,4,6,0,0,0,0,0,Home,Baltimore Ravens,2
Nick Foles,Philadelphia Eagles,1,0,1,0,0,0,0,0,0,Away,San Diego Chargers,2
