Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Jamaal Charles,Kansas City Chiefs,1,8,20,1,8,8,195,4,Home,Oakland Raiders,15
Matt Asiata,Minnesota Vikings,1,30,51,3,5,3,15,0,Away,Philadelphia Eagles,15
Eddie Lacy,Green Bay Packers,1,21,141,1,5,4,30,0,Home,Dallas Cowboys,15
DeAngelo Williams,Carolina Panthers,1,15,81,0,4,3,87,1,Away,New York Jets,15
Rashad Jennings,Oakland Raiders,1,23,91,2,3,3,12,0,Away,Kansas City Chiefs,15
DeMarco Murray,Dallas Cowboys,1,18,134,1,7,4,19,0,Away,Green Bay Packers,15
Zac Stacy,St. Louis Rams,1,28,133,1,2,1,10,0,Away,New Orleans Saints,15
Rashard Mendenhall,Arizona Cardinals,1,21,69,2,2,1,9,0,Home,Tennessee Titans,15
Ryan Mathews,San Diego Chargers,1,29,127,1,1,1,1,0,Home,Denver Broncos,15
Marshawn Lynch,Seattle Seahawks,1,16,47,1,6,6,73,0,Home,New York Giants,15
Le'Veon Bell,Pittsburgh Steelers,1,24,57,1,5,5,50,0,Away,Cincinnati Bengals,15
Steven Jackson,Atlanta Falcons,1,15,38,2,6,4,5,0,Away,Washington Redskins,15
Trent Richardson,Indianapolis Colts,1,19,64,0,6,4,38,1,Away,Houston Texans,15
Reggie Bush,Detroit Lions,1,17,86,1,4,2,15,0,Away,Baltimore Ravens,15
Andre Ellington,Arizona Cardinals,1,10,71,0,5,4,87,0,Home,Tennessee Titans,15
Jordan Todman,Jacksonville Jaguars,1,25,109,0,8,4,44,0,Away,Buffalo Bills,15
Chris Johnson,Tennessee Titans,1,13,40,0,3,3,51,1,Away,Arizona Cardinals,15
Edwin Baker,Cleveland Browns,1,8,38,1,4,4,46,0,Away,Chicago Bears,15
Matt Forte,Chicago Bears,1,24,127,0,3,1,4,0,Home,Cleveland Browns,15
Giovani Bernard,Cincinnati Bengals,1,13,33,1,4,2,13,0,Home,Pittsburgh Steelers,15
LeSean McCoy,Philadelphia Eagles,1,8,38,0,7,5,68,0,Home,Minnesota Vikings,15
Alfred Morris,Washington Redskins,1,18,98,0,1,1,8,0,Home,Atlanta Falcons,15
Michael Bush,Chicago Bears,1,3,44,1,0,0,0,0,Home,Cleveland Browns,15
Knile Davis,Kansas City Chiefs,1,9,34,1,2,2,8,0,Home,Oakland Raiders,15
Ben Tate,Houston Texans,1,16,72,0,6,3,20,0,Home,Indianapolis Colts,15
Frank Summers,Buffalo Bills,1,4,14,0,3,3,16,1,Home,Jacksonville Jaguars,15
Fred Jackson,Buffalo Bills,1,17,80,0,2,1,8,0,Home,Jacksonville Jaguars,15
Frank Gore,San Francisco 49ers,1,22,86,0,0,0,0,0,Home,Tampa Bay Buccaneers,15
