Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent
Knowshon Moreno,Denver Broncos,1,15,42,3,10,7,62,0,Away,Jacksonville Jaguars
Marshawn Lynch,Seattle Seahawks,1,21,77,2,5,4,78,0,Away,Tennessee Titans
Jamaal Charles,Kansas City Chiefs,1,22,78,2,9,5,50,0,Away,Oakland Raiders
Brandon Jacobs,New York Giants,1,22,106,2,2,1,8,0,Home,Chicago Bears
Stevan Ridley,New England Patriots,1,20,96,2,1,1,14,0,Away,New Orleans Saints
Arian Foster,Houston Texans,1,20,141,0,7,4,57,0,Away,St. Louis Rams
Reggie Bush,Detroit Lions,1,17,78,0,6,5,57,1,Home,Cleveland Browns
LeSean McCoy,Philadelphia Eagles,1,25,116,0,2,2,55,0,Home,Tampa Bay Buccaneers
Mike Tolbert,Carolina Panthers,1,8,27,1,3,2,20,1,Home,Minnesota Vikings
Giovani Bernard,Cincinnati Bengals,1,15,28,0,7,6,72,1,Home,Buffalo Bills
Andre Ellington,Arizona Cardinals,1,7,56,1,5,5,36,0,Home,San Francisco 49ers
Chris Ogbonnaya,Cleveland Browns,1,5,24,0,12,7,61,1,Away,Detroit Lions
Alfred Morris,Washington Redskins,1,16,81,1,1,0,0,0,Home,Dallas Cowboys
Maurice Jones-Drew,Jacksonville Jaguars,1,21,71,1,2,2,3,0,Home,Denver Broncos
Eddie Lacy,Green Bay Packers,1,23,120,0,1,1,5,0,Home,Baltimore Ravens
DeAngelo Williams,Carolina Panthers,1,17,64,0,5,5,53,0,Home,Minnesota Vikings
Khiry Robinson,New Orleans Saints,1,7,53,1,0,0,0,0,Home,New England Patriots
Matt Forte,Chicago Bears,1,19,67,0,6,6,44,0,Away,New York Giants
DeMarco Murray,Dallas Cowboys,1,7,29,1,2,2,21,0,Away,Washington Redskins
Ryan Mathews,San Diego Chargers,1,22,102,0,1,0,0,0,Away,Indianapolis Colts
Frank Gore,San Francisco 49ers,1,25,101,0,0,0,0,0,Away,Arizona Cardinals
Joseph Randle,Dallas Cowboys,1,11,17,1,2,2,15,0,Away,Washington Redskins
Doug Martin,Tampa Bay Buccaneers,1,16,67,0,4,4,24,0,Away,Philadelphia Eagles
Zac Stacy,St. Louis Rams,1,18,79,0,2,2,11,0,Home,Houston Texans
Ben Tate,Houston Texans,1,10,12,1,4,3,16,0,Away,St. Louis Rams
BenJarvus Green-Ellis,Cincinnati Bengals,1,18,86,0,1,0,0,0,Home,Buffalo Bills
Darren McFadden,Oakland Raiders,1,16,52,0,3,3,31,0,Home,Kansas City Chiefs
Adrian Peterson,Minnesota Vikings,1,10,62,0,4,3,21,0,Away,Carolina Panthers
Danny Woodhead,San Diego Chargers,1,9,36,0,5,5,47,0,Away,Indianapolis Colts
Pierre Thomas,New Orleans Saints,1,11,51,0,1,1,29,0,Home,New England Patriots
Roy Helu,Washington Redskins,1,6,42,0,6,4,35,0,Home,Dallas Cowboys
Darren Sproles,New Orleans Saints,1,5,15,0,12,6,58,0,Home,New England Patriots
Kendall Hunter,San Francisco 49ers,1,3,11,1,1,0,0,0,Away,Arizona Cardinals
C.J. Spiller,Buffalo Bills,1,10,55,0,2,2,11,0,Away,Cincinnati Bengals
Travaris Cadet,New Orleans Saints,1,0,0,0,1,1,3,1,Home,New England Patriots
Le'Veon Bell,Pittsburgh Steelers,1,16,34,0,3,3,22,0,Home,New York Jets
Chris Johnson,Tennessee Titans,1,12,33,0,4,3,21,0,Home,Seattle Seahawks
Trent Richardson,Indianapolis Colts,1,10,40,0,2,1,13,0,Home,San Diego Chargers
Bilal Powell,New York Jets,1,9,30,0,3,3,20,0,Away,Pittsburgh Steelers
Ray Rice,Baltimore Ravens,1,14,34,0,4,3,15,0,Away,Green Bay Packers
Fred Jackson,Buffalo Bills,1,10,35,0,5,4,13,0,Away,Cincinnati Bengals
Rashard Mendenhall,Arizona Cardinals,1,10,40,0,1,1,2,0,Home,San Francisco 49ers
Mike Goodson,New York Jets,1,4,29,0,1,1,10,0,Away,Pittsburgh Steelers
Willis McGahee,Cleveland Browns,1,10,37,0,1,1,2,0,Away,Detroit Lions
Ronnie Hillman,Denver Broncos,1,4,20,0,2,2,16,0,Away,Jacksonville Jaguars
Robert Turbin,Seattle Seahawks,1,1,13,0,2,2,23,0,Away,Tennessee Titans
Donald Brown,Indianapolis Colts,1,3,15,0,2,2,19,0,Home,San Diego Chargers
Joique Bell,Detroit Lions,1,7,25,0,2,1,8,0,Home,Cleveland Browns
Tashard Choice,Buffalo Bills,1,4,24,0,3,2,9,0,Away,Cincinnati Bengals
Felix Jones,Pittsburgh Steelers,1,5,18,0,1,1,15,0,Home,New York Jets
