Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent
Calvin Johnson,Detroit Lions,1,15,9,155,2,0,0,0,Away,Cincinnati Bengals
Vincent Jackson,Tampa Bay Buccaneers,1,22,10,138,2,0,0,0,Home,Atlanta Falcons
A.J. Green,Cincinnati Bengals,1,8,6,155,1,0,0,0,Home,Detroit Lions
Eric Decker,Denver Broncos,1,13,8,150,1,0,0,0,Home,Indianapolis Colts
Harry Douglas,Atlanta Falcons,1,7,7,149,1,0,0,0,Away,Tampa Bay Buccaneers
Jarrett Boykin,Green Bay Packers,1,10,8,103,1,0,0,0,Away,Cleveland Browns
Brandon Gibson,Miami Dolphins,1,8,5,40,2,0,0,0,Away,Buffalo Bills
Jeremy Kerley,New York Jets,1,10,8,97,1,0,0,0,Away,New England Patriots
Demaryius Thomas,Denver Broncos,1,9,4,82,1,0,0,0,Home,Indianapolis Colts
DeAndre Hopkins,Houston Texans,1,4,3,76,1,0,0,0,Home,Kansas City Chiefs
Darrius Heyward-Bey,Indianapolis Colts,1,7,4,44,1,1,30,0,Away,Denver Broncos
Terrance Williams,Dallas Cowboys,1,7,6,71,1,0,0,0,Home,Philadelphia Eagles
Eddie Royal,San Diego Chargers,1,4,4,69,1,0,0,0,Home,Jacksonville Jaguars
Steve Smith,Carolina Panthers,1,6,5,69,1,0,0,0,Away,St. Louis Rams
Aldrick Robinson,Washington Redskins,1,2,2,75,1,1,-11,0,Away,Chicago Bears
Alshon Jeffery,Chicago Bears,1,7,4,105,0,2,16,0,Home,Washington Redskins
Mike Brown,Jacksonville Jaguars,1,8,5,120,0,0,0,0,Away,San Diego Chargers
Marvin Jones,Cincinnati Bengals,1,6,4,57,1,0,0,0,Home,Detroit Lions
Dez Bryant,Dallas Cowboys,1,16,8,110,0,0,0,0,Home,Philadelphia Eagles
Sidney Rice,Seattle Seahawks,1,4,3,50,1,0,0,0,Home,Arizona Cardinals
Jordy Nelson,Green Bay Packers,1,6,5,42,1,0,0,0,Away,Cleveland Browns
Rueben Randle,New York Giants,1,3,3,40,1,0,0,0,Away,Minnesota Vikings
Kendall Wright,Tennessee Titans,1,12,9,98,0,0,0,0,Away,San Francisco 49ers
Brian Quick,St. Louis Rams,1,6,2,97,0,0,0,0,Home,Carolina Panthers
Wes Welker,Denver Broncos,1,12,7,96,0,0,0,0,Home,Indianapolis Colts
Andre Johnson,Houston Texans,1,6,4,89,0,0,0,0,Home,Kansas City Chiefs
Riley Cooper,Philadelphia Eagles,1,7,6,88,0,0,0,0,Away,Dallas Cowboys
Mike Wallace,Miami Dolphins,1,10,5,76,0,1,12,0,Away,Buffalo Bills
David Nelson,New York Jets,1,7,4,80,0,0,0,0,Away,New England Patriots
Cecil Shorts,Jacksonville Jaguars,1,13,8,80,0,0,0,0,Away,San Diego Chargers
Golden Tate,Seattle Seahawks,1,7,4,77,0,0,0,0,Home,Arizona Cardinals
Brandon Marshall,Chicago Bears,1,10,6,75,0,0,0,0,Home,Washington Redskins
Anquan Boldin,San Francisco 49ers,1,6,5,74,0,0,0,0,Home,Tennessee Titans
Michael Floyd,Arizona Cardinals,1,10,6,71,0,0,0,0,Away,Seattle Seahawks
Brian Hartline,Miami Dolphins,1,11,6,69,0,0,0,0,Away,Buffalo Bills
Keenan Allen,San Diego Chargers,1,6,3,67,0,0,0,0,Home,Jacksonville Jaguars
Dwayne Bowe,Kansas City Chiefs,1,9,5,66,0,0,0,0,Away,Houston Texans
Nate Washington,Tennessee Titans,1,10,3,62,0,0,0,0,Away,San Francisco 49ers
Steve Johnson,Buffalo Bills,1,13,6,61,0,0,0,0,Home,Miami Dolphins
Torrey Smith,Baltimore Ravens,1,6,3,61,0,0,0,0,Home,Pittsburgh Steelers
Justin Blackmon,Jacksonville Jaguars,1,9,6,58,0,0,0,0,Away,San Diego Chargers
Pierre Garcon,Washington Redskins,1,8,5,58,0,0,0,0,Away,Chicago Bears
Cole Beasley,Dallas Cowboys,1,7,6,53,0,0,0,0,Home,Philadelphia Eagles
Antonio Brown,Pittsburgh Steelers,1,7,6,50,0,1,3,0,Away,Baltimore Ravens
Victor Cruz,New York Giants,1,7,5,50,0,0,0,0,Away,Minnesota Vikings
Reggie Wayne,Indianapolis Colts,1,8,5,50,0,0,0,0,Away,Denver Broncos
Greg Little,Cleveland Browns,1,9,4,49,0,0,0,0,Home,Green Bay Packers
Julian Edelman,New England Patriots,1,7,5,44,0,0,0,0,Home,New York Jets
DeVier Posey,Houston Texans,1,2,1,42,0,0,0,0,Home,Kansas City Chiefs
Jerricho Cotchery,Pittsburgh Steelers,1,4,4,41,0,0,0,0,Away,Baltimore Ravens
