Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent
Drew Brees,New Orleans Saints,1,35,45,420,3,1,3,15,0,Away,Baltimore Ravens
Ryan Tannehill,Miami Dolphins,1,26,36,228,3,1,4,15,1,Home,Denver Broncos
Tony Romo,Dallas Cowboys,1,18,26,275,4,0,1,-2,0,Home,New York Giants
Eli Manning,New York Giants,1,29,40,338,3,1,0,0,0,Away,Dallas Cowboys
Peyton Manning,Denver Broncos,1,28,35,257,4,0,2,-2,0,Away,Miami Dolphins
Tom Brady,New England Patriots,1,38,53,349,2,1,0,0,0,Away,Detroit Lions
Zach Mettenberger,Tennessee Titans,1,20,39,345,2,1,2,-2,0,Home,Philadelphia Eagles
Josh McCown,Tampa Bay Buccaneers,1,25,48,341,1,2,3,12,0,Home,Chicago Bears
Matt Ryan,Atlanta Falcons,1,27,43,273,2,1,2,6,0,Away,Cleveland Browns
Aaron Rodgers,Green Bay Packers,1,19,29,209,2,0,6,34,0,Home,Minnesota Vikings
Russell Wilson,Seattle Seahawks,1,17,22,211,1,0,10,73,0,Away,Arizona Cardinals
Teddy Bridgewater,Minnesota Vikings,1,21,37,210,2,1,5,32,0,Away,Green Bay Packers
Andrew Luck,Indianapolis Colts,1,21,32,253,1,0,8,49,0,Away,Jacksonville Jaguars
Kyle Orton,Buffalo Bills,1,24,32,230,2,0,1,10,0,Away,New York Jets
Alex Smith,Kansas City Chiefs,1,20,36,234,2,0,2,5,0,Home,Oakland Raiders
Mark Sanchez,Philadelphia Eagles,1,30,43,307,1,2,4,4,0,Away,Tennessee Titans
Philip Rivers,San Diego Chargers,1,29,35,291,1,1,3,-1,0,Away,St. Louis Rams
Colin Kaepernick,San Francisco 49ers,1,20,29,256,1,1,9,14,0,Away,Washington Redskins
Brian Hoyer,Cleveland Browns,1,23,40,322,0,3,3,12,0,Home,Atlanta Falcons
Joe Flacco,Baltimore Ravens,1,18,24,243,1,0,2,2,0,Home,New Orleans Saints
Andy Dalton,Cincinnati Bengals,1,24,35,233,1,1,7,6,0,Home,Houston Texans
Matthew Stafford,Detroit Lions,1,18,46,264,0,1,3,18,0,Home,New England Patriots
Shaun Hill,St. Louis Rams,1,18,35,198,1,2,1,0,0,Home,San Diego Chargers
Derek Carr,Oakland Raiders,1,18,35,174,1,0,3,2,0,Away,Kansas City Chiefs
Jay Cutler,Chicago Bears,1,17,27,130,1,0,0,0,0,Away,Tampa Bay Buccaneers
Drew Stanton,Arizona Cardinals,1,14,26,149,0,1,4,23,0,Home,Seattle Seahawks
Blake Bortles,Jacksonville Jaguars,1,15,27,146,0,1,5,24,0,Home,Indianapolis Colts
Ryan Mallett,Houston Texans,1,21,45,189,0,1,1,2,0,Away,Cincinnati Bengals
Robert Griffin III,Washington Redskins,1,11,19,106,0,0,4,11,0,Home,San Francisco 49ers
Geno Smith,New York Jets,1,10,12,89,0,0,2,4,0,Home,Buffalo Bills
Michael Vick,New York Jets,1,7,19,76,0,1,2,4,0,Home,Buffalo Bills
