Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
J.J. Watt,Houston Texans,1,5,3,3.0,2,0,1,1,Away,Jacksonville Jaguars
Everson Griffen,Minnesota Vikings,1,5,1,2.0,0,0,1,0,Home,Green Bay Packers
Derrick Shelby,Miami Dolphins,1,5,0,1.0,0,0,1,0,Away,New England Patriots
Roy Miller,Jacksonville Jaguars,1,3,3,1.0,0,0,1,0,Home,Houston Texans
Stephon Tuitt,Pittsburgh Steelers,1,3,1,2.0,0,0,0,0,Home,Cleveland Browns
Sharrif Floyd,Minnesota Vikings,1,5,2,1.0,0,0,0,0,Home,Green Bay Packers
Lawrence Guy,Baltimore Ravens,1,3,2,1.5,0,0,0,0,Home,Cincinnati Bengals
Cliff Avril,Seattle Seahawks,1,1,1,1.5,2,0,0,0,Home,Arizona Cardinals
Robert Ayers,New York Giants,1,4,3,1.0,0,0,0,0,Away,Philadelphia Eagles
Damon Harrison,New York Jets,1,5,3,0.0,0,0,1,0,Home,Buffalo Bills
Connor Barwin,Philadelphia Eagles,1,2,0,1.0,0,0,1,0,Home,New York Giants
David Bass,Tennessee Titans,1,3,3,1.0,0,0,0,0,Home,Indianapolis Colts
Ziggy Ansah,Detroit Lions,1,3,0,1.0,1,0,0,0,Home,Chicago Bears
Jason Pierre-Paul,New York Giants,1,6,0,0.0,2,0,0,0,Away,Philadelphia Eagles
Eugene Sims,St. Louis Rams,1,2,0,0.0,1,1,0,0,Home,San Francisco 49ers
Jaye Howard,Kansas City Chiefs,1,3,1,1.0,0,0,0,0,Away,Oakland Raiders
Cameron Jordan,New Orleans Saints,1,3,1,1.0,0,0,0,0,Home,Atlanta Falcons
Devin Taylor,Detroit Lions,1,3,1,1.0,0,0,0,0,Home,Chicago Bears
Geno Atkins,Cincinnati Bengals,1,3,0,1.0,0,0,0,0,Away,Baltimore Ravens
Chris Baker,Washington Redskins,1,1,0,1.0,0,0,0,1,Home,Dallas Cowboys
Fletcher Cox,Philadelphia Eagles,1,6,2,0.0,0,0,0,0,Home,New York Giants
Rodney Gunter,Arizona Cardinals,1,7,0,0.0,0,0,0,0,Away,Seattle Seahawks
John Jenkins,New Orleans Saints,1,2,0,0.0,0,0,1,1,Home,Atlanta Falcons
Kendall Langford,Indianapolis Colts,1,2,0,1.0,1,0,0,0,Away,Tennessee Titans
Greg Scruggs,Chicago Bears,1,3,0,1.0,0,0,0,0,Away,Detroit Lions
Derek Wolfe,Denver Broncos,1,3,0,1.0,0,0,0,0,Away,San Diego Chargers
Dee Ford,Kansas City Chiefs,1,2,1,1.0,0,0,0,0,Away,Oakland Raiders
Shelby Harris,Oakland Raiders,1,2,1,1.0,0,0,0,0,Home,Kansas City Chiefs
Tony McDaniel,Tampa Bay Buccaneers,1,1,3,1.0,0,0,0,0,Home,Carolina Panthers
Preston Smith,Washington Redskins,1,1,1,1.0,1,0,0,0,Home,Dallas Cowboys
Olivier Vernon,Miami Dolphins,1,3,3,0.5,0,0,0,0,Away,New England Patriots
Mario Williams,Buffalo Bills,1,2,0,1.0,0,0,0,0,Away,New York Jets
Malcom Brown,New England Patriots,1,5,1,0.0,0,0,0,0,Home,Miami Dolphins
Sheldon Richardson,New York Jets,1,5,1,0.0,0,0,0,0,Home,Buffalo Bills
Marcus Smith,Philadelphia Eagles,1,1,1,1.0,0,0,0,0,Home,New York Giants
DeMarcus Ware,Denver Broncos,1,1,1,1.0,0,0,0,0,Away,San Diego Chargers
Mario Addison,Carolina Panthers,1,1,0,1.0,0,0,0,0,Away,Tampa Bay Buccaneers
Beau Allen,Philadelphia Eagles,1,4,2,0.0,0,0,0,0,Home,New York Giants
Christian Covington,Houston Texans,1,1,0,1.0,0,0,0,0,Away,Jacksonville Jaguars
Mike Devito,Kansas City Chiefs,1,1,0,1.0,0,0,0,0,Away,Oakland Raiders
Geneo Grissom,New England Patriots,1,1,0,1.0,0,0,0,0,Home,Miami Dolphins
William Hayes,St. Louis Rams,1,5,0,0.0,0,0,0,0,Home,San Francisco 49ers
Frank Kearse,Washington Redskins,1,1,0,1.0,0,0,0,0,Home,Dallas Cowboys
Chris Long,St. Louis Rams,1,1,0,1.0,0,0,0,0,Home,San Francisco 49ers
Kyle Love,Carolina Panthers,1,1,0,1.0,0,0,0,0,Away,Tampa Bay Buccaneers
T.Y. McGill,Indianapolis Colts,1,1,0,1.0,0,0,0,0,Away,Tennessee Titans
Haloti Ngata,Detroit Lions,1,1,0,1.0,0,0,0,0,Home,Chicago Bears
Jared Odrick,Jacksonville Jaguars,1,2,2,0.5,0,0,0,0,Home,Houston Texans
Ndamukong Suh,Miami Dolphins,1,2,2,0.5,0,0,0,0,Away,New England Patriots
Muhammad Wilkerson,New York Jets,1,3,2,0.0,1,0,0,0,Home,Buffalo Bills
