Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Akeem Ayers,St. Louis Rams,1,4,4,0.5,1,0,0,2,Home,Seattle Seahawks
Jamie Collins,New England Patriots,1,6,2,0.0,0,0,1,1,Home,New York Jets
Dwight Freeney,Arizona Cardinals,1,3,0,3.0,0,0,1,0,Away,Green Bay Packers
Malcolm Smith,Oakland Raiders,1,11,3,0.0,0,0,1,0,Away,San Diego Chargers
Sean Lee,Dallas Cowboys,1,11,4,0.5,0,0,0,0,Home,Buffalo Bills
Denzel Perryman,San Diego Chargers,1,10,1,1.0,0,0,0,0,Home,Oakland Raiders
Jonathan Casillas,New York Giants,1,8,3,1.0,0,0,0,0,Home,Minnesota Vikings
Will Compton,Washington Redskins,1,8,1,1.0,0,0,0,0,Home,Philadelphia Eagles
Paul Posluszny,Jacksonville Jaguars,1,5,4,1.0,1,0,0,0,Home,New Orleans Saints
Deone Bucannon,Arizona Cardinals,1,3,1,1.0,1,0,1,0,Away,Green Bay Packers
Daryl Smith,Baltimore Ravens,1,3,5,0.0,1,1,0,0,Away,Pittsburgh Steelers
A.J. Tarpley,Buffalo Bills,1,2,1,0.0,1,1,1,0,Away,Dallas Cowboys
Navorro Bowman,San Francisco 49ers,1,8,2,0.5,0,0,0,0,Home,Detroit Lions
Melvin Ingram,San Diego Chargers,1,6,0,1.0,1,0,0,0,Home,Oakland Raiders
Bobby Wagner,Seattle Seahawks,1,9,2,0.0,1,0,0,0,Away,St. Louis Rams
Kareem Martin,Arizona Cardinals,1,3,1,1.0,0,0,1,0,Away,Green Bay Packers
Danny Trevathan,Denver Broncos,1,8,4,0.0,0,0,0,0,Away,Cincinnati Bengals
Lavonte David,Tampa Bay Buccaneers,1,8,1,0.0,1,0,0,0,Away,Chicago Bears
Courtney Upshaw,Baltimore Ravens,1,2,3,1.0,0,0,0,1,Away,Pittsburgh Steelers
Josh Bynes,Detroit Lions,1,3,2,0.5,0,0,1,0,Away,San Francisco 49ers
Rolando McClain,Dallas Cowboys,1,5,0,1.0,0,0,0,0,Home,Buffalo Bills
Ryan Shazier,Pittsburgh Steelers,1,5,8,0.0,0,0,0,0,Home,Baltimore Ravens
John Timu,Chicago Bears,1,4,2,0.0,0,0,0,2,Home,Tampa Bay Buccaneers
K.J. Wright,Seattle Seahawks,1,4,2,0.0,1,0,1,0,Away,St. Louis Rams
Jerrell Freeman,Indianapolis Colts,1,7,3,0.0,0,0,0,0,Home,Miami Dolphins
Ben Heeney,Oakland Raiders,1,8,1,0.0,0,0,0,0,Away,San Diego Chargers
Ahmad Brooks,San Francisco 49ers,1,1,2,1.5,0,0,0,0,Home,Detroit Lions
Pernell McPhee,Chicago Bears,1,4,0,1.0,0,0,0,0,Home,Tampa Bay Buccaneers
Hayes Pullard,Jacksonville Jaguars,1,7,2,0.0,0,0,0,0,Home,New Orleans Saints
J.R. Tavai,Tennessee Titans,1,1,0,1.0,0,0,1,0,Away,Houston Texans
Chad Greenway,Minnesota Vikings,1,6,3,0.0,0,0,0,0,Away,New York Giants
D'Qwell Jackson,Indianapolis Colts,1,6,1,0.0,1,0,0,0,Home,Miami Dolphins
Luke Kuechly,Carolina Panthers,1,7,1,0.0,0,0,0,0,Home,Atlanta Falcons
C.J. Mosley,Baltimore Ravens,1,6,3,0.0,0,0,0,0,Away,Pittsburgh Steelers
Bruce Carter,Tampa Bay Buccaneers,1,4,4,0.0,1,0,0,0,Away,Chicago Bears
Gerald Hodges,San Francisco 49ers,1,5,4,0.0,0,0,0,0,Home,Detroit Lions
Josh Mauga,Kansas City Chiefs,1,7,0,0.0,0,0,0,0,Away,Cleveland Browns
Kevin Minter,Arizona Cardinals,1,6,2,0.0,0,0,0,0,Away,Green Bay Packers
Kiko Alonso,Philadelphia Eagles,1,5,3,0.0,0,0,0,0,Away,Washington Redskins
DeMario Davis,New York Jets,1,4,5,0.0,0,0,0,0,Away,New England Patriots
Mason Foster,Washington Redskins,1,6,1,0.0,0,0,0,0,Home,Philadelphia Eagles
Jasper Brinkley,New York Giants,1,5,2,0.0,0,0,0,0,Home,Minnesota Vikings
Derrick Johnson,Kansas City Chiefs,1,6,0,0.0,0,0,0,0,Away,Cleveland Browns
Christian Jones,Chicago Bears,1,4,2,0.0,1,0,0,0,Home,Tampa Bay Buccaneers
Eric Kendricks,Minnesota Vikings,1,5,2,0.0,0,0,0,0,Away,New York Giants
Brandon Marshall,Denver Broncos,1,5,2,0.0,0,0,0,0,Away,Cincinnati Bengals
Manti Te'o,San Diego Chargers,1,6,0,0.0,0,0,0,0,Home,Oakland Raiders
Tahir Whitehead,Detroit Lions,1,4,0,0.0,0,0,0,1,Away,San Francisco 49ers
Avery Williamson,Tennessee Titans,1,5,2,0.0,0,0,0,0,Away,Houston Texans
Vontaze Burfict,Cincinnati Bengals,1,5,1,0.0,0,0,0,0,Home,Denver Broncos
