Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
DeAndre Hopkins,Houston Texans,1,12,5,118,2,0,0,0,Away,New York Jets,11
J.J. Nelson,Arizona Cardinals,1,6,4,142,1,0,0,0,Away,Cincinnati Bengals,11
Tyler Lockett,Seattle Seahawks,1,5,4,48,2,1,5,0,Away,San Francisco 49ers,11
James Jones,Green Bay Packers,1,11,6,109,1,0,0,0,Home,Minnesota Vikings,11
Julio Jones,Atlanta Falcons,1,15,9,160,0,0,0,0,Away,Indianapolis Colts,11
DeSean Jackson,Washington Redskins,1,8,5,87,1,0,0,0,Home,Carolina Panthers,11
Terrance Williams,Dallas Cowboys,1,4,4,79,1,0,0,0,Home,Miami Dolphins,11
Devin Funchess,Carolina Panthers,1,8,4,64,1,0,0,0,Away,Washington Redskins,11
Mike Evans,Tampa Bay Buccaneers,1,7,4,63,1,0,0,0,Home,Philadelphia Eagles,11
Demaryius Thomas,Denver Broncos,1,8,3,59,1,0,0,0,Home,Chicago Bears,11
Danny Amendola,New England Patriots,1,12,9,117,0,0,0,0,Away,Buffalo Bills,11
Vincent Jackson,Tampa Bay Buccaneers,1,6,4,56,1,0,0,0,Home,Philadelphia Eagles,11
Allen Robinson,Jacksonville Jaguars,1,7,5,113,0,0,0,0,Away,Tennessee Titans,11
John Brown,Arizona Cardinals,1,3,3,43,1,2,9,0,Away,Cincinnati Bengals,11
Kenny Stills,Miami Dolphins,1,2,2,52,1,0,0,0,Away,Dallas Cowboys,11
Kamar Aiken,Baltimore Ravens,1,8,5,50,1,0,0,0,Away,St. Louis Rams,11
Ted Ginn Jr.,Carolina Panthers,1,8,5,37,1,2,12,0,Away,Washington Redskins,11
Brandon Marshall,New York Jets,1,10,5,47,1,0,0,0,Home,Houston Texans,11
Dez Bryant,Dallas Cowboys,1,9,4,45,1,0,0,0,Home,Miami Dolphins,11
Marquess Wilson,Chicago Bears,1,7,4,102,0,0,0,0,Away,Denver Broncos,11
