Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Carolina Panthers,1,2,0,3,2,14,199.0,31.0,0,0,Home,Dallas Cowboys,12
Cincinnati Bengals,1,1,0,3,1,7,259.0,94.0,0,0,Away,St. Louis Rams,12
Baltimore Ravens,1,2,0,0,0,27,289.0,63.0,0,1,Home,Cleveland Browns,12
Cleveland Browns,1,0,0,2,1,33,232.0,104.0,0,0,Away,Baltimore Ravens,12
Detroit Lions,1,6,1,0,0,14,199.0,68.0,0,0,Away,Philadelphia Eagles,12
Indianapolis Colts,1,5,0,1,0,12,245.0,132.0,0,0,Away,Tampa Bay Buccaneers,12
Seattle Seahawks,1,2,0,4,0,30,490.0,58.0,0,0,Away,Pittsburgh Steelers,12
Washington Redskins,1,3,0,3,0,14,321.0,33.0,0,0,Away,New York Giants,12
New York Jets,1,3,1,1,0,20,351.0,12.0,0,0,Away,Miami Dolphins,12
Minnesota Vikings,1,2,1,2,0,10,230.0,116.0,0,0,Home,Atlanta Falcons,12
Arizona Cardinals,1,2,1,1,0,13,318.0,67.0,0,0,Home,San Francisco 49ers,12
Oakland Raiders,1,2,0,2,0,21,218.0,44.0,0,0,Home,Tennessee Titans,12
Chicago Bears,1,2,1,1,0,13,202.0,177.0,0,0,Home,Green Bay Packers,12
New England Patriots,1,3,0,1,0,30,270.0,179.0,0,0,Home,Denver Broncos,12
Denver Broncos,1,3,1,0,0,24,280.0,39.0,0,0,Away,New England Patriots,12
Houston Texans,1,2,0,1,0,6,228.0,50.0,0,0,Away,New Orleans Saints,12
San Diego Chargers,1,2,0,1,0,25,329.0,102.0,0,0,Home,Jacksonville Jaguars,12
Kansas City Chiefs,1,1,2,0,0,22,291.0,129.0,0,0,Away,Buffalo Bills,12
Tampa Bay Buccaneers,1,3,0,0,0,25,315.0,27.0,0,0,Home,Indianapolis Colts,12
Tennessee Titans,1,1,2,0,0,24,330.0,84.0,0,0,Away,Oakland Raiders,12
Philadelphia Eagles,1,2,0,0,0,45,337.0,108.0,0,0,Home,Detroit Lions,12
Pittsburgh Steelers,1,2,0,0,0,39,345.0,100.0,0,0,Home,Seattle Seahawks,12
Jacksonville Jaguars,1,2,0,0,0,31,300.0,79.0,0,0,Away,San Diego Chargers,12
New Orleans Saints,1,1,0,1,0,24,205.0,167.0,0,0,Home,Houston Texans,12
Green Bay Packers,1,1,0,0,0,17,200.0,101.0,0,0,Away,Chicago Bears,12
Atlanta Falcons,1,0,0,1,0,20,174.0,191.0,0,0,Away,Minnesota Vikings,12
Buffalo Bills,1,1,0,0,0,30,255.0,158.0,0,0,Home,Kansas City Chiefs,12
Miami Dolphins,1,1,0,0,0,38,277.0,137.0,0,0,Home,New York Jets,12
San Francisco 49ers,1,1,0,0,0,19,271.0,70.0,0,0,Away,Arizona Cardinals,12
St. Louis Rams,1,0,0,1,0,31,236.0,140.0,0,0,Home,Cincinnati Bengals,12
Dallas Cowboys,1,1,0,0,0,33,183.0,129.0,0,0,Away,Carolina Panthers,12
New York Giants,1,0,0,0,0,20,302.0,105.0,0,0,Home,Washington Redskins,12
