Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Kansas City Chiefs,1,2,1,2,2,14,281.0,93.0,0,0,Home,Baltimore Ravens
New England Patriots,1,5,1,2,1,16,274.0,59.0,0,0,Away,Tennessee Titans
Arizona Cardinals,1,2,2,2,1,17,361.0,74.0,0,0,Home,Philadelphia Eagles
Green Bay Packers,1,3,0,2,1,20,276.0,120.0,0,0,Home,Oakland Raiders
Cincinnati Bengals,1,4,1,3,0,14,295.0,55.0,0,0,Home,San Francisco 49ers
Minnesota Vikings,1,5,1,1,0,17,231.0,94.0,0,0,Away,Chicago Bears
New York Jets,1,2,0,4,0,16,195.0,133.0,0,0,Home,Dallas Cowboys
Houston Texans,1,3,1,1,0,10,160.0,50.0,0,0,Home,Indianapolis Colts
Indianapolis Colts,1,3,1,1,0,16,173.0,155.0,0,0,Away,Houston Texans
San Francisco 49ers,1,4,1,0,0,24,192.0,68.0,0,0,Away,Cincinnati Bengals
Denver Broncos,1,3,0,2,0,34,380.0,23.0,0,0,Home,Pittsburgh Steelers
Washington Redskins,1,5,0,0,0,25,235.0,240.0,0,0,Away,Buffalo Bills
Oakland Raiders,1,2,1,1,0,30,204.0,103.0,0,0,Away,Green Bay Packers
Pittsburgh Steelers,1,2,1,1,0,27,296.0,104.0,0,0,Away,Denver Broncos
San Diego Chargers,1,3,1,0,0,14,216.0,44.0,0,0,Away,Miami Dolphins
Seattle Seahawks,1,3,0,1,0,13,161.0,94.0,0,0,Away,Cleveland Browns
New Orleans Saints,1,3,1,0,0,35,254.0,150.0,0,0,Away,Detroit Lions
New York Giants,1,3,1,0,0,38,340.0,171.0,0,0,Away,Carolina Panthers
Atlanta Falcons,1,2,0,1,0,17,297.0,72.0,0,0,Home,Jacksonville Jaguars
Baltimore Ravens,1,3,0,0,0,34,171.0,113.0,0,0,Away,Kansas City Chiefs
Miami Dolphins,1,1,0,2,0,30,311.0,140.0,0,0,Home,San Diego Chargers
Dallas Cowboys,1,2,0,1,0,19,299.0,73.0,0,0,Away,New York Jets
Tennessee Titans,1,2,1,0,0,33,267.0,93.0,0,0,Home,New England Patriots
Philadelphia Eagles,1,2,0,0,0,40,274.0,230.0,0,0,Away,Arizona Cardinals
Buffalo Bills,1,1,1,0,0,35,319.0,123.0,0,0,Home,Washington Redskins
Jacksonville Jaguars,1,1,0,1,0,23,246.0,83.0,0,0,Away,Atlanta Falcons
Carolina Panthers,1,0,1,1,0,35,245.0,161.0,0,0,Home,New York Giants
St. Louis Rams,1,0,1,1,0,23,363.0,146.0,0,0,Away,Tampa Bay Buccaneers
Cleveland Browns,1,2,0,0,0,30,249.0,182.0,0,0,Home,Seattle Seahawks
Tampa Bay Buccaneers,1,2,0,0,0,31,234.0,98.0,0,0,Home,St. Louis Rams
Chicago Bears,1,1,0,0,0,38,231.0,129.0,0,0,Home,Minnesota Vikings
Detroit Lions,1,1,0,0,0,27,341.0,69.0,0,0,Home,New Orleans Saints
