,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Nick Foles,PHI,1,22,28,406,7,0,3,14,0
Tom Brady,NE,1,23,33,432,4,0,1,-1,0
Ben Roethlisberger,PIT,1,28,48,400,4,2,2,-1,0
Case Keenum,HOU,1,20,34,350,3,0,3,26,0
Russell Wilson,SEA,1,19,26,217,2,2,6,36,1
Jason Campbell,CLE,1,23,35,262,3,0,3,20,0
Drew Brees,NO,1,30,51,382,2,2,1,-1,0
Philip Rivers,SD,1,29,46,341,2,2,2,14,0
Tony Romo,DAL,1,34,51,337,2,1,1,8,0
Andrew Luck,IND,1,18,40,271,3,0,0,0,0
Christian Ponder,MIN,1,25,37,236,1,1,4,29,1
Cam Newton,CAR,1,23,37,249,1,2,5,22,1
Josh McCown,CHI,1,22,41,272,2,0,1,20,0
Joe Flacco,BAL,1,24,41,250,2,1,3,25,0
Andy Dalton,CIN,1,32,53,338,0,3,5,12,0
Mike Glennon,TB,1,17,23,168,2,0,4,13,0
Jeff Tuel,BUF,1,18,39,229,1,2,3,17,0
Ryan Tannehill,MIA,1,20,28,208,0,0,1,1,1
Robert Griffin III,WAS,1,23,32,291,0,1,6,17,0
Jake Locker,TEN,1,13,22,185,0,2,3,10,1
Kellen Clemens,STL,1,20,35,210,1,0,1,16,0
Matt Ryan,ATL,1,20,27,219,1,3,2,2,0
Geno Smith,NYJ,1,8,19,115,0,0,6,18,1
Alex Smith,KC,1,19,29,124,0,0,4,7,0
Seneca Wallace,GB,1,11,19,114,0,1,0,0,0
Matt McGloin,OAK,1,7,15,87,0,0,0,0,0
Aaron Rodgers,GB,1,1,2,27,0,0,1,9,0
Matt Barkley,PHI,1,2,3,13,0,0,2,-2,0
Brandon Weeden,CLE,1,1,2,-2,0,0,0,0,0
