,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Charles Clay,MIA,1,10,7,97,2
Jordan Cameron,CLE,1,9,9,121,1
Jimmy Graham,NO,1,11,6,58,2
Garrett Graham,HOU,1,14,8,73,1
Luke Willson,SEA,1,4,3,70,1
Andrew Quarless,GB,1,7,6,66,1
Gary Barnidge,CLE,1,2,2,49,1
Dennis Pitta,BAL,1,11,6,48,1
Logan Paulsen,WAS,1,5,3,44,1
Marcedes Lewis,JAC,1,4,2,42,1
Jermaine Gresham,CIN,1,5,5,41,1
Julius Thomas,DEN,1,7,5,35,1
Brandon Myers,NYG,1,7,4,26,1
Tony Gonzalez,ATL,1,6,3,25,1
Vernon Davis,SF,1,3,2,21,1
Mychal Rivera,OAK,1,8,5,21,1
Tim Wright,TB,1,4,2,21,1
Jason Witten,DAL,1,3,1,10,1
Ed Dickson,BAL,1,5,2,8,1
Kellen Winslow,NYJ,1,6,3,61,0
Heath Miller,PIT,1,4,3,56,0
Antonio Gates,SD,1,6,4,50,0
Jared Cook,STL,1,6,3,49,0
Jacob Tamme,DEN,1,5,4,47,0
Martellus Bennett,CHI,1,6,5,43,0
Robert Housler,ARI,1,4,3,42,0
Greg Olsen,CAR,1,12,8,40,0
Jim Dray,ARI,1,3,3,32,0
Gavin Escobar,DAL,1,2,2,32,0
Rob Gronkowski,NE,1,5,2,32,0
Coby Fleener,IND,1,9,5,31,0
Brent Celek,PHI,1,3,2,29,0
Brandon Bostick,GB,1,4,2,28,0
Niles Paul,WAS,1,1,1,25,0
Scott Chandler,BUF,1,3,2,24,0
Brandon Pettigrew,DET,1,3,1,23,0
Tyler Eifert,CIN,1,4,3,20,0
Sean McGrath,KC,1,3,2,20,0
Ben Watson,NO,1,1,1,20,0
John Carlson,MIN,1,4,2,19,0
Lance Kendricks,STL,1,2,1,15,0
Matthew Mulligan,NE,1,1,1,15,0
Bear Pascoe,NYG,1,1,1,14,0
Zach Miller,SEA,1,3,1,13,0
Dante Rosario,CHI,1,1,1,13,0
Weslye Saunders,IND,1,2,1,11,0
Ryan Griffin,HOU,1,3,1,10,0
Jack Doyle,IND,1,1,1,8,0
Joel Dreessen,DEN,1,2,1,8,0
Dion Sims,MIA,1,2,1,7,0
