,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Michael Johnson,TB,1,4,1,2.0,0,0,1,0
J.J. Watt,HOU,1,2,3,0.0,1,1,0,0
Derrick Shelby,MIA,1,3,0,2.0,0,0,0,0
Muhammad Wilkerson,NYJ,1,2,6,1.5,0,0,0,0
Connor Barwin,PHI,1,5,2,1.0,0,0,0,0
Mathias Kiwanuka,NYG,1,2,2,1.0,0,0,1,0
Sheldon Richardson,NYJ,1,4,4,1.0,0,0,0,0
Jared Crick,HOU,1,1,3,1.5,0,0,0,0
Cory Redding,IND,1,4,1,1.0,0,0,0,0
Marcell Dareus,BUF,1,4,0,1.0,0,0,0,0
Da'Quan Bowers,TB,1,2,3,1.0,0,0,0,0
Roy Miller,JAC,1,3,1,1.0,0,0,0,0
Damontre Moore,NYG,1,3,1,1.0,0,0,0,0
Kroy Biermann,ATL,1,6,1,0.0,0,0,0,0
Brandon Graham,PHI,1,2,1,1.0,0,0,0,0
Gerald McCoy,TB,1,1,1,1.0,1,0,0,0
Jack Crawford,DAL,1,1,2,1.0,0,0,0,0
Nick Fairley,DET,1,1,2,1.0,0,0,0,0
Ego Ferguson,CHI,1,2,0,1.0,0,0,0,0
Cameron Heyward,PIT,1,2,0,1.0,0,0,0,0
Datone Jones,GB,1,2,0,1.0,0,0,0,0
Zach Kerr,IND,1,2,0,1.0,0,0,0,0
Cedric Thornton,PHI,1,6,0,0.0,0,0,0,0
Ricardo Mathews,SD,1,1,1,1.0,0,0,0,0
Vinny Curry,PHI,1,1,0,1.0,0,0,0,0
Henry Melton,DAL,1,1,0,1.0,0,0,0,0
Pat Sims,OAK,1,2,0,0.0,0,0,1,0
Joe Vellano,NE,1,1,0,1.0,0,0,0,0
Vince Wilfork,NE,1,5,0,0.0,0,0,0,0
Ian Williams,SF,1,1,0,1.0,0,0,0,0
C.J. Wilson,OAK,1,4,1,0.0,0,0,0,0
Ziggy Ansah,DET,1,3,2,0.0,0,0,0,0
Red Bryant,JAC,1,1,2,0.5,0,0,0,0
Tyson Jackson,ATL,1,1,4,0.0,1,0,0,0
Ricky Jean-Francois,IND,1,1,0,0.0,1,0,0,1
Jason Pierre-Paul,NYG,1,1,6,0.0,0,0,0,0
Kawann Short,CAR,1,3,2,0.0,0,0,0,0
Fletcher Cox,PHI,1,3,1,0.0,0,0,0,0
Sammie Lee Hill,TEN,1,2,1,0.0,1,0,0,0
Jaye Howard,KC,1,3,1,0.0,0,0,0,0
Chris Jones,NE,1,1,1,0.5,0,0,0,0
Sen'Derrick Marks,JAC,1,1,1,0.5,0,0,0,0
Ray McDonald,SF,1,3,1,0.0,0,0,0,0
Kamerion Wimbley,TEN,1,2,3,0.0,0,0,0,0
Brodrick Bunkley,NO,1,2,2,0.0,0,0,0,0
Chris Canty,BAL,1,0,4,0.0,1,0,0,0
Jurrell Casey,TEN,1,2,2,0.0,0,0,0,0
William Gholston,TB,1,2,2,0.0,0,0,0,0
Linval Joseph,MIN,1,2,2,0.0,0,0,0,0
Clinton McDonald,TB,1,2,2,0.0,0,0,0,0
