,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Greg Zuerlein,STL,1,5,5,100.0%,1,1
Matt Bryant,ATL,1,4,4,100.0%,1,1
Randy Bullock,HOU,1,3,4,75.0%,2,2
Mason Crosby,GB,1,2,3,66.7%,5,6
Phil Dawson,SF,1,3,3,100.0%,1,1
Dan Carpenter,BUF,1,3,4,75.0%,0,0
Patrick Murray,TB,1,2,2,100.0%,3,3
Mike Nugent,CIN,1,2,2,100.0%,3,3
Shaun Suisham,PIT,1,2,2,100.0%,3,3
Steve Hauschka,SEA,1,2,2,100.0%,2,2
Cody Parkey,PHI,1,2,2,100.0%,2,2
Caleb Sturgis,MIA,1,2,2,100.0%,2,2
Adam Vinatieri,IND,1,2,2,100.0%,2,2
Nick Novak,SD,1,2,3,66.7%,1,1
Blair Walsh,MIN,1,2,3,66.7%,1,1
Stephen Gostkowski,NE,1,0,0,0.0%,6,6
Sebastian Janikowski,OAK,1,2,2,100.0%,0,0
Matt Prater,DET,1,2,2,100.0%,0,0
Cairo Santos,KC,1,1,1,100.0%,3,3
Ryan Succop,TEN,1,1,1,100.0%,3,3
Graham Gano,CAR,1,1,3,33.3%,2,2
Josh Brown,NYG,1,1,1,100.0%,1,1
Shayne Graham,NO,1,1,1,100.0%,1,1
Robbie Gould,CHI,1,0,1,0.0%,3,3
Chandler Catanzaro,ARI,1,0,0,0.0%,2,2
Billy Cundiff,CLE,1,0,1,0.0%,1,1
Kai Forbath,WAS,1,0,2,0.0%,1,1
Brandon McManus,DEN,1,0,0,0.0%,1,1
