,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Justin Houston,KC,1,6,1,2.0,0,0,1,0
Keenan Robinson,WAS,1,7,6,0.0,1,1,0,0
Justin Durant,DAL,1,3,5,0.0,2,1,1,0
Wesley Woodyard,TEN,1,6,3,0.0,2,1,0,0
Lavonte David,TB,1,10,2,0.0,0,0,1,0
D'Qwell Jackson,IND,1,8,2,1.0,0,0,0,0
Nigel Bradham,BUF,1,2,1,1.0,1,1,0,0
Tamba Hali,KC,1,3,0,1.0,0,0,1,1
A.J. Hawk,GB,1,10,3,0.0,0,0,0,0
C.J. Mosley,BAL,1,7,4,0.0,2,0,0,0
Donald Butler,SD,1,7,3,0.0,0,0,0,1
Luke Kuechly,CAR,1,6,6,0.0,1,0,0,0
Curtis Lofton,NO,1,9,2,0.0,0,0,0,0
Jerod Mayo,NE,1,10,0,0.0,0,0,0,0
Paul Posluszny,JAC,1,9,2,0.0,0,0,0,0
Anthony Barr,MIN,1,5,1,1.0,0,0,0,0
Brian Cushing,HOU,1,8,1,0.0,1,0,0,0
Daryl Smith,BAL,1,4,4,0.0,0,0,1,0
Elvis Dumervil,BAL,1,2,1,1.5,0,0,0,0
Lawrence Timmons,PIT,1,7,3,0.0,0,0,0,0
Cordarro Law,SD,1,3,0,1.0,1,0,0,0
Tahir Whitehead,DET,1,4,8,0.0,0,0,0,0
DeMario Davis,NYJ,1,4,7,0.0,0,0,0,0
Jarret Johnson,SD,1,4,1,0.0,0,0,1,0
DeAndre Levy,DET,1,4,7,0.0,0,0,0,0
Preston Brown,BUF,1,5,4,0.0,0,0,0,0
Jamie Collins,NE,1,7,0,0.0,0,0,0,0
Geno Hayes,JAC,1,6,2,0.0,0,0,0,0
Ryan Kerrigan,WAS,1,3,0,1.0,0,0,0,0
DeMeco Ryans,PHI,1,7,0,0.0,0,0,0,0
Paul Worrilow,ATL,1,5,4,0.0,0,0,0,0
Miles Burris,OAK,1,6,1,0.0,0,0,0,0
Bruce Carter,DAL,1,3,3,0.0,2,0,0,0
Clay Matthews,GB,1,0,1,0.0,1,1,0,0
Jacquian Williams,NYG,1,4,5,0.0,0,0,0,0
Avery Williamson,TEN,1,6,1,0.0,0,0,0,0
Josh Mauga,KC,1,5,2,0.0,0,0,0,0
Prince Shembo,ATL,1,4,4,0.0,0,0,0,0
Kavell Conner,SD,1,5,1,0.0,0,0,0,0
Ramon Humber,NO,1,5,1,0.0,0,0,0,0
A.J. Klein,CAR,1,4,3,0.0,0,0,0,0
Brandon Spikes,BUF,1,2,1,0.0,0,0,1,0
Emmanuel Acho,PHI,1,5,0,0.0,0,0,0,0
Dane Fletcher,TB,1,3,4,0.0,0,0,0,0
David Harris,NYJ,1,1,8,0.0,0,0,0,0
Khalil Mack,OAK,1,5,0,0.0,0,0,0,0
Rolando McClain,DAL,1,2,0,0.0,0,0,1,0
Perry Riley,WAS,1,4,2,0.0,0,0,0,0
Keith Rivers,BUF,1,4,2,0.0,0,0,0,0
Scott Solomon,TB,1,1,0,1.0,0,0,0,0
