,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Malcolm Jenkins,PHI,1,6,1,0.0,1,1,0,0
Marcus Peters,KC,1,6,0,0.0,2,1,1,0
Tyvon Branch,KC,1,3,1,0.0,1,1,0,0
Reshad Jones,MIA,1,7,3,0.0,1,1,0,0
Isa Abdul-Quddus,DET,1,9,2,0.0,1,0,1,0
Mike Adams,IND,1,10,1,0.0,0,0,1,0
Jimmie Ward,SF,1,1,1,0.0,1,1,0,0
Bacarri Rambo,BUF,1,4,2,1.0,3,0,0,0
Charles Woodson,OAK,1,4,1,0.0,0,0,1,2
Rontez Miles,NYJ,1,4,2,0.0,1,1,0,0
Reggie Nelson,CIN,1,5,0,0.0,1,1,0,0
Glover Quin,DET,1,4,2,0.0,1,1,0,0
David Bruton,DEN,1,9,3,0.0,0,0,0,0
Davon House,JAC,1,4,1,0.0,1,1,0,0
Ricardo Allen,ATL,1,8,0,0.0,0,0,0,1
Dashon Goldson,WAS,1,4,2,0.0,0,0,1,1
Jaquiski Tartt,SF,1,5,2,1.0,0,0,0,0
Jason Verrett,SD,1,4,0,0.0,1,1,0,0
Mark Barron,STL,1,5,1,0.0,1,0,1,0
Ha'Sean Clinton-Dix,GB,1,4,3,1.0,0,0,0,0
Rashad Johnson,ARI,1,3,1,0.0,1,1,0,0
Kenny Vaccaro,NO,1,6,3,0.0,0,0,0,1
Patrick Chung,NE,1,4,2,0.0,1,0,1,0
Barry Church,DAL,1,7,4,0.0,0,0,0,0
John Cyprien,JAC,1,7,4,0.0,0,0,0,0
Patrick Peterson,ARI,1,5,0,0.0,1,0,1,0
Marcus Roberson,STL,1,6,0,0.0,3,0,0,0
Walter Thurmond,PHI,1,6,4,0.0,1,0,0,0
Desmond Trufant,ATL,1,2,2,0.0,1,1,0,0
Sergio Brown,JAC,1,4,1,1.0,0,0,0,0
Kurt Coleman,CAR,1,2,1,0.0,1,1,0,0
Landon Collins,NYG,1,7,1,0.0,1,0,0,0
Patrick Robinson,SD,1,7,1,0.0,1,0,0,0
Daniel Sorensen,KC,1,4,1,1.0,0,0,0,0
Robert Blanton,MIN,1,7,2,0.0,0,0,0,0
Delvin Breaux,NO,1,1,0,0.0,2,1,0,0
Antone Exum,MIN,1,5,0,0.0,0,0,1,0
Michael Griffin,TEN,1,7,2,0.0,0,0,0,0
Lamarcus Joyner,STL,1,5,2,0.0,2,0,0,0
Kendrick Lewis,BAL,1,5,0,0.0,0,0,1,0
Byron Maxwell,PHI,1,1,2,0.0,1,1,0,0
Bobby McCain,MIA,1,7,0,0.0,1,0,0,0
Nickell Robey,BUF,1,5,0,0.0,3,0,0,0
Eric Weddle,SD,1,4,2,0.0,3,0,0,0
Earl Thomas,SEA,1,1,1,0.0,1,1,0,0
Brandon Boykin,PIT,1,0,0,0.0,2,1,0,0
Josh Bush,DEN,1,4,0,0.0,0,0,1,0
Janoris Jenkins,STL,1,6,0,0.0,1,0,0,0
Sterling Moore,TB,1,5,0,0.0,2,0,0,0
Ron Parker,KC,1,7,0,0.0,0,0,0,0
