,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Odell Beckham Jr.,NYG,1,9,7,166,2,0,0,0
Doug Baldwin,SEA,1,9,6,82,3,0,0,0
Ted Ginn Jr.,CAR,1,3,2,120,2,1,5,0
Tyler Lockett,SEA,1,7,6,104,2,0,0,0
Golden Tate,DET,1,10,9,60,2,1,15,0
A.J. Green,CIN,1,9,6,132,1,0,0,0
Brandon Marshall,NYJ,1,10,6,125,1,0,0,0
Alshon Jeffery,CHI,1,9,6,107,1,0,0,0
Allen Hurns,JAC,1,4,3,105,1,0,0,0
Michael Floyd,ARI,1,9,5,102,1,0,0,0
Marques Colston,NO,1,8,6,36,2,0,0,0
Albert Wilson,KC,1,6,4,87,1,0,0,0
Sammy Watkins,BUF,1,12,5,81,1,1,1,0
John Brown,ARI,1,5,4,78,1,0,0,0
Eric Decker,NYJ,1,10,7,74,1,0,0,0
T.Y. Hilton,IND,1,7,4,132,0,0,0,0
Nelson Agholor,PHI,1,6,3,62,1,0,0,0
Willie Snead,NO,1,8,7,122,0,0,0,0
Rueben Randle,NYG,1,6,5,58,1,0,0,0
Kenny Stills,MIA,1,3,2,49,1,0,0,0
Brian Hartline,CLE,1,10,8,107,0,0,0,0
Robert Woods,BUF,1,7,5,106,0,0,0,0
Mike Wallace,MIN,1,5,3,42,1,0,0,0
Jarvis Landry,MIA,1,18,11,99,0,1,0,0
Demaryius Thomas,DEN,1,14,10,95,0,0,0,0
Kamar Aiken,BAL,1,7,5,90,0,0,0,0
Randall Cobb,GB,1,12,8,81,0,3,9,0
Julio Jones,ATL,1,10,7,88,0,0,0,0
Antonio Brown,PIT,1,10,7,87,0,0,0,0
Keshawn Martin,NE,1,4,3,23,1,0,0,0
Seth Roberts,OAK,1,4,2,20,1,0,0,0
Jerome Simpson,SF,1,4,2,20,1,0,0,0
Jermaine Kearse,SEA,1,8,7,74,0,0,0,0
Jeremy Butler,BAL,1,10,7,72,0,0,0,0
Philly Brown,CAR,1,6,3,59,0,1,9,0
Adam Humphries,TB,1,3,1,6,1,0,0,0
Jeremy Maclin,KC,1,9,6,68,0,1,-2,0
Harry Douglas,TEN,1,7,3,65,0,0,0,0
Markus Wheaton,PIT,1,7,4,65,0,0,0,0
Allen Robinson,JAC,1,4,1,4,1,0,0,0
Marvin Jones,CIN,1,8,6,61,0,0,0,0
Tavon Austin,STL,1,5,3,19,0,4,40,0
Malcom Floyd,SD,1,9,3,56,0,0,0,0
Dorial Green-Beckham,TEN,1,7,3,53,0,0,0,0
Pierre Garcon,WAS,1,7,5,52,0,0,0,0
DeAndre Hopkins,HOU,1,6,3,52,0,0,0,0
Donte Moncrief,IND,1,10,3,52,0,0,0,0
Jarius Wright,MIN,1,6,5,51,0,0,0,0
Martavis Bryant,PIT,1,9,7,49,0,1,1,0
James Jones,GB,1,7,4,49,0,0,0,0
