,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Seattle Seahawks,1,3,2,1,1,39,363.0,117.0,0,0
Buffalo Bills,1,1,2,2,1,17,193.0,128.0,0,0
Kansas City Chiefs,1,5,0,5,0,13,181.0,69.0,0,0
Minnesota Vikings,1,2,0,2,0,14,302.0,84.0,0,1
Washington Redskins,1,2,0,2,1,14,209.0,158.0,0,0
Pittsburgh Steelers,1,6,2,1,0,9,372.0,15.0,0,0
Philadelphia Eagles,1,4,0,0,0,20,217.0,99.0,1,0
Arizona Cardinals,1,2,0,1,0,32,240.0,115.0,1,0
Houston Texans,1,3,1,1,0,6,197.0,73.0,0,0
Jacksonville Jaguars,1,1,2,2,0,20,316.0,89.0,0,0
Miami Dolphins,1,4,0,1,0,19,392.0,83.0,0,0
Tennessee Titans,1,5,0,0,0,27,217.0,119.0,0,0
New York Giants,1,3,1,1,0,27,334.0,77.0,0,0
Baltimore Ravens,1,3,0,1,0,22,188.0,90.0,0,0
St. Louis Rams,1,2,2,0,0,37,258.0,153.0,0,0
Tampa Bay Buccaneers,1,3,0,1,0,6,186.0,42.0,0,0
Cincinnati Bengals,1,3,0,1,0,10,192.0,82.0,0,0
New England Patriots,1,3,1,0,0,26,361.0,80.0,0,0
Dallas Cowboys,1,2,0,2,0,10,264.0,81.0,0,0
New York Jets,1,4,0,0,0,22,158.0,148.0,0,0
Oakland Raiders,1,4,0,0,0,30,140.0,263.0,0,0
Carolina Panthers,1,1,1,1,0,10,185.0,64.0,0,0
Chicago Bears,1,1,1,1,0,13,200.0,94.0,0,0
Cleveland Browns,1,1,1,1,0,30,402.0,60.0,0,0
New Orleans Saints,1,3,0,0,0,47,324.0,225.0,0,0
Detroit Lions,1,3,0,0,0,16,333.0,47.0,0,0
Denver Broncos,1,2,0,0,0,29,204.0,106.0,0,0
Green Bay Packers,1,0,0,1,0,18,242.0,45.0,0,0
