Player,Team,Games Played,Kick Returns,Kick Return Yards,Kick Return Avg,Kick Return Touchdowns,Kick Return Fair Catches,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Long,Punt Return Touchdowns,Punt Return Fair Catches
"Patterson, Cordarrelle",MIN,16,43,1393,32.4,2,0,0,0,-,0,0,1
"Harris, Dwayne",DAL,13,28,857,30.6,0,0,20,256,12.8,86,1,10
"Demps, Quintin",KC,16,33,992,30.1,1,0,0,0,-,0,0,0
"Jones, Jacoby",BAL,12,31,892,28.8,1,0,19,237,12.5,37,0,2
"Holliday, Trindon",DEN,15,28,775,27.7,1,0,32,271,8.5,81,1,11
"Hester, Devin",CHI,16,52,1436,27.6,0,0,18,256,14.2,81,1,11
"Todman, Jordan",JAX,16,26,712,27.4,0,0,0,0,-,0,0,0
"Martin, Keshawn",HOU,16,36,947,26.3,0,0,39,345,8.8,87,1,21
"Tate, Brandon",CIN,16,35,914,26.1,0,0,36,336,9.3,43,0,16
"Page, Eric",TB,16,22,548,24.9,0,1,23,251,10.9,52,0,20
"Reed, David",IND,7,24,590,24.6,0,0,0,0,-,0,0,0
"Cribbs, Josh",NYJ,6,20,490,24.5,0,0,8,96,12.0,21,0,1
"Ross, Jeremy",[],13,21,514,24.5,1,0,17,263,15.5,58,1,17
"Hyde, Micah",GB,16,22,531,24.1,0,0,24,296,12.3,93,1,14
"Jones, Taiwan",OAK,16,26,623,24.0,0,0,0,0,-,0,0,0
"Ginn Jr., Ted",CAR,16,25,595,23.8,0,0,26,316,12.2,41,0,26
"Rodgers, Jacquizz",ATL,15,25,575,23.0,0,0,0,0,-,0,0,0
"Thigpen, Marcus",MIA,16,39,870,22.3,0,0,34,264,7.8,34,0,20
"Jones, Felix",PIT,16,23,510,22.2,0,0,0,0,-,0,0,0
"Whittaker, Fozzy",[],14,29,638,22.0,0,0,0,0,-,0,0,0
"Cox, Michael",NYG,14,20,436,21.8,0,0,0,0,-,0,0,0
"Arenas, Javier",ARZ,16,23,493,21.4,0,0,1,0,0.0,0,0,0
"Paul, Niles",WSH,15,20,411,20.6,0,0,0,0,-,0,0,0
