Player,Team,Games Played,Punts,Punt Yards,Punt Yards Avg,Punt Long,Punts Inside 20,Punts Inside 20 %,Punt Touchbacks,Punt Touchback %,Blocked Punts,Punt Net Avg
"Anger, Bryan",JAX,16,94,4464,47.5,69,25,26.6%,10,10.6%,2,39.6
"Way, Tress",WSH,16,77,3659,47.5,77,22,28.6%,7,9.1%,1,40.0
"Koch, Sam",BAL,16,60,2841,47.4,73,26,43.3%,4,6.7%,0,43.3
"Lee, Andy",SF,16,72,3369,46.8,71,28,38.9%,7,9.7%,1,39.6
"Kern, Brett",TEN,16,88,4118,46.8,79,28,31.8%,7,8.0%,1,40.8
"Huber, Kevin",CIN,16,73,3419,46.8,69,27,37.0%,6,8.2%,0,42.1
"McAfee, Pat",IND,16,69,3221,46.7,61,30,43.5%,3,4.3%,0,42.8
"Hekker, Johnny",STL,16,80,3721,46.5,61,33,41.3%,5,6.3%,1,42.3
"Morstead, Thomas",NO,16,58,2690,46.4,63,19,32.8%,5,8.6%,0,42.9
"Allen, Ryan",NE,16,66,3060,46.4,67,25,37.9%,6,9.1%,1,39.9
"Lechler, Shane",HOU,16,83,3847,46.3,71,27,32.5%,10,12.0%,1,38.7
"Fields, Brandon",MIA,16,58,2688,46.3,60,21,36.2%,3,5.2%,1,38.6
"Martin, Sam",DET,16,68,3138,46.1,71,29,42.6%,5,7.4%,0,40.1
"Quigley, Ryan",NYJ,16,78,3580,45.9,69,23,29.5%,9,11.5%,1,39.9
"Scifres, Mike",SD,13,55,2516,45.7,72,21,38.2%,6,10.9%,1,38.9
"Bosher, Matt",ATL,16,67,3063,45.7,66,27,40.3%,4,6.0%,0,40.8
"Weatherford, Steve",NYG,16,80,3640,45.5,71,25,31.3%,6,7.5%,1,38.6
"Jones, Chris",DAL,16,57,2586,45.4,64,21,36.8%,2,3.5%,1,39.8
"King, Marquette",OAK,16,109,4930,45.2,62,31,28.4%,3,2.8%,0,40.0
"Nortman, Brad",CAR,16,72,3236,44.9,72,26,36.1%,5,6.9%,2,36.5
"Colquitt, Dustin",KC,16,71,3164,44.6,69,31,43.7%,5,7.0%,0,40.5
"Lanning, Spencer",CLE,16,93,4119,44.3,59,25,26.9%,9,9.7%,0,39.2
"Colquitt, Britton",DEN,16,69,3048,44.2,65,25,36.2%,4,5.8%,0,37.6
"Locke, Jeff",MIN,16,75,3318,44.2,62,21,28.0%,6,8.0%,1,38.7
"Ryan, Jon",SEA,16,61,2688,44.1,66,28,45.9%,6,9.8%,1,38.3
"Masthay, Tim",GB,16,49,2159,44.1,63,14,28.6%,4,8.2%,2,37.0
"Jones, Donnie",PHI,16,76,3331,43.8,68,34,44.7%,7,9.2%,0,38.9
"O'Donnell, Pat",CHI,16,71,3107,43.8,61,20,28.2%,3,4.2%,1,37.7
"Wing, Brad",PIT,16,61,2668,43.7,74,20,32.8%,4,6.6%,0,38.8
"Schmidt, Colton",BUF,16,86,3692,42.9,67,31,36.0%,6,7.0%,0,38.7
"Butler, Drew",ARZ,15,79,3328,42.1,67,34,43.0%,5,6.3%,2,36.8
"Koenen, Michael",TB,16,78,3154,40.4,56,17,21.8%,2,2.6%,1,37.1
