Player,Team,Games Played,Points,Points / Game,Touchdowns,Passing Touchdowns,Rushing Touchdowns,Receiving Touchdowns,Kicking Points,Field Goals Made,Extra Points Made,Total Kick and Punt Return Touchdowns,Kick Return Touchdowns,Punt Return Touchdowns,Interception Touchdowns,Fumble Recovery Touchdowns,Safeties,Two Point Conversions
"Gostkowski, Stephen",NE,16,156,9.8,0,-,-,-,156,35,51,-,-,-,-,-,-,0
"Parkey, Cody",PHI,16,150,9.4,0,-,-,-,150,32,54,-,-,-,-,-,-,0
"Vinatieri, Adam",IND,16,140,8.8,0,-,-,-,140,30,50,-,-,-,-,-,-,0
"Crosby, Mason",GB,16,134,8.4,0,-,-,-,134,27,53,-,-,-,-,-,-,0
"Hauschka, Steven",SEA,16,134,8.4,0,-,-,-,134,31,41,-,-,-,0,0,0,0
"Carpenter, Dan",BUF,16,133,8.3,0,-,-,-,133,34,31,-,-,-,-,-,-,0
"Suisham, Shaun",PIT,16,132,8.3,0,-,-,-,132,29,45,-,-,-,-,-,-,0
"Bailey, Dan",DAL,16,131,8.2,0,-,-,-,131,25,56,-,-,-,-,-,-,0
"Bullock, Randy",HOU,16,130,8.1,0,-,-,-,130,30,40,-,-,-,-,-,-,0
"Tucker, Justin",BAL,16,129,8.1,0,-,-,-,129,29,42,-,-,-,-,-,-,0
"Sturgis, Caleb",MIA,16,128,8.0,0,-,-,-,128,29,41,-,-,-,-,-,-,0
"Bryant, Matt",ATL,16,127,7.9,0,-,-,-,127,29,40,-,-,-,-,-,-,0
"Gano, Graham",CAR,16,121,7.6,0,-,-,-,121,29,34,-,-,-,0,0,0,0
"Folk, Nick",NYJ,16,119,7.4,0,-,-,-,119,32,23,-,-,-,-,-,-,0
"Nugent, Mike",CIN,16,117,7.3,0,-,-,-,117,26,39,-,-,-,-,-,-,0
"Brown, Josh",NYG,16,116,7.3,0,-,-,-,116,24,44,-,-,-,-,-,-,0
"Catanzaro, Chandler",ARZ,16,114,7.1,0,-,-,-,114,29,27,-,-,-,-,-,-,0
"Santos, Cairo",KC,16,113,7.1,0,-,-,-,113,25,38,-,-,-,-,-,-,0
"Dawson, Phil",SF,16,108,6.8,0,-,-,-,108,25,33,-,-,-,-,-,-,0
"Walsh, Blair",MIN,16,107,6.7,0,-,-,-,107,26,29,-,-,-,-,-,-,0
"Novak, Nick",SD,16,106,6.6,0,-,-,-,106,22,40,-,-,-,-,-,-,0
"Zuerlein, Greg",STL,16,106,6.6,0,-,-,-,106,24,34,-,-,-,-,-,-,0
"Graham, Shayne",NO,16,103,6.4,0,-,-,-,103,19,46,-,-,-,-,-,-,0
