Player,Team,Games Played,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Yards,Interception Touchdowns,Interception Return Long,Forced Fumbles,Fumbles Recovered,Fumble Recovery Touchdowns,Passes Defensed,Safeties,Stuffs,Stuff Yards
"Bowman, NaVorro",SF,16,154,116,38,2.5,18,0,0,0,0,1,0,0,2,0,7.0,12.0
"Jackson, D'Qwell",IND,16,150,89,61,3.0,12,1,6,1,6,1,0,0,9,0,8.0,20.5
"David, Lavonte",TB,16,147,85,62,3.0,17,3,19,1,20,2,2,0,13,0,7.0,14.5
"Jones, Reshad",MIA,16,135,106,29,2.0,13,5,104,2,42,0,1,0,10,0,6.0,12.0
"Posluszny, Paul",JAX,14,133,103,30,1.0,10,3,25,0,19,0,0,0,6,0,9.5,23.5
"Lee, Sean",DAL,14,128,76,52,2.5,16,1,0,0,0,0,0,0,5,0,9.0,21.5
"Smith, Telvin",JAX,14,128,99,29,2.5,3,1,26,1,26,2,0,0,7,0,10.5,30.5
"Graham, Corey",BUF,16,122,91,31,1.0,1,2,60,1,44,0,2,0,4,0,2.5,2.5
"Smith, Malcolm",OAK,16,122,99,23,4.0,22,1,27,0,27,2,0,0,6,0,7.0,22.0
"Smith, Daryl",BAL,16,121,72,49,3.0,20,1,-1,0,-1,0,0,0,3,0,2.5,3.5
"Timmons, Lawrence",PIT,16,119,77,42,5.0,36,1,0,0,0,1,0,0,6,0,4.0,6.0
"Kuechly, Luke",CAR,13,118,76,42,1.0,5,4,48,1,32,2,1,0,10,0,7.0,16.0
"Brown, Preston",BUF,16,117,63,54,0.0,0,2,46,1,43,1,1,0,4,0,3.0,3.0
"Johnson, Derrick",KC,16,116,95,21,4.0,23,2,23,0,18,2,0,0,8,0,3.0,7.0
"Wright, K.J.",SEA,16,116,71,45,1.0,11,0,0,0,0,4,2,0,3,0,0.5,0.5
"Mosley, C.J.",BAL,16,116,76,40,4.0,18,0,0,0,0,1,2,1,7,0,6.0,10.0
"Wagner, Bobby",SEA,15,114,67,47,0.5,4,0,0,0,0,2,3,2,7,0,2.0,6.5
"Church, Barry",DAL,15,113,75,38,0.0,0,0,0,0,0,1,0,0,0,0,4.0,9.5
"Barron, Mark",STL,16,113,76,37,1.0,5,0,0,0,0,3,0,0,5,0,15.5,28.5
"Freeman, Jerrell",IND,13,112,66,46,3.0,33,1,23,1,23,0,1,0,2,0,2.0,6.5
"Anthony, Stephone",NO,16,112,70,42,1.0,8,1,5,0,5,2,1,1,5,0,4.5,12.0
"Cushing, Brian",HOU,16,110,63,47,0.0,0,0,0,0,0,1,0,0,3,0,2.5,3.5
