Player,Team,Games Played,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Made 0-19 YDs,Field Goals Made 20-29 YDs,Field Goals Made 30-39 YDs,Field Goals Made 40-49 YDs,Field Goals Made 50+,Extra Points Made,Extra Points Attempted,Extra Point %
"Gostkowski, Stephen",NE,16,151,33,36,91.7%,57,0,6,11,12,4,52,52,100.0%
"Gano, Graham",CAR,16,146,30,36,83.3%,52,1,10,4,13,2,56,59,94.9%
"Catanzaro, Chandler",ARZ,16,137,28,31,90.3%,47,1,12,9,6,0,53,58,91.4%
"Walsh, Blair",MIN,16,135,34,39,87.2%,54,0,9,13,6,6,33,37,89.2%
"Brown, Josh",NYG,16,134,30,32,93.8%,53,1,6,12,8,3,44,45,97.8%
"Santos, Cairo",KC,16,129,30,37,81.1%,53,0,7,10,9,4,39,41,95.1%
"Tucker, Justin",BAL,16,128,33,40,82.5%,52,0,10,9,10,4,29,29,100.0%
"Gould, Robbie",CHI,16,127,33,39,84.6%,55,1,8,10,7,7,28,29,96.6%
"Hauschka, Steven",SEA,16,127,29,31,93.5%,54,0,9,7,7,6,40,44,90.9%
"McManus, Brandon",DEN,16,125,30,35,85.7%,57,0,12,8,5,5,35,36,97.2%
"Nugent, Mike",CIN,16,117,23,28,82.1%,52,0,6,5,10,2,48,49,98.0%
"Bailey, Dan",DAL,16,115,30,32,93.8%,54,0,9,10,6,5,25,25,100.0%
"Hopkins, Dustin",WSH,15,114,25,28,89.3%,54,0,7,9,7,2,39,40,97.5%
"Boswell, Chris",PIT,12,113,29,32,90.6%,51,1,9,8,9,2,26,27,96.3%
"Myers, Jason",JAX,16,110,26,30,86.7%,58,0,9,8,6,3,32,39,82.1%
"Crosby, Mason",GB,16,108,24,28,85.7%,56,1,7,4,8,4,36,36,100.0%
"Vinatieri, Adam",IND,16,107,25,27,92.6%,55,0,7,6,8,4,32,35,91.4%
"Coons, Travis",CLE,16,106,28,32,87.5%,47,0,11,10,7,0,22,24,91.7%
"Lambo, Josh",SD,16,106,26,32,81.3%,54,0,4,7,11,4,28,32,87.5%
"Carpenter, Dan",BUF,16,103,23,27,85.2%,52,0,5,8,7,3,34,40,85.0%
"Prater, Matt",DET,16,102,22,24,91.7%,59,0,3,8,6,5,36,39,92.3%
"Janikowski, Sebastian",OAK,16,101,21,26,80.8%,56,0,7,5,5,4,38,39,97.4%
"Barth, Connor",TB,12,94,23,28,82.1%,53,0,9,8,3,3,25,26,96.2%
"Dawson, Phil",SF,16,92,24,27,88.9%,54,0,9,6,6,3,20,21,95.2%
"Sturgis, Caleb",PHI,13,89,18,22,81.8%,53,0,4,8,4,2,35,37,94.6%
"Zuerlein, Greg",STL,14,86,20,30,66.7%,61,1,2,9,5,3,26,28,92.9%
"Novak, Nick",HOU,13,83,18,21,85.7%,51,0,6,6,4,2,29,31,93.5%
"Bullock, Randy",[],11,79,19,23,82.6%,49,1,4,6,8,0,22,25,88.0%
"Franks, Andrew",MIA,16,72,13,16,81.3%,53,1,3,4,4,1,33,36,91.7%
"Succop, Ryan",TEN,16,71,14,16,87.5%,51,0,3,3,7,1,29,31,93.5%
"Bryant, Matt",ATL,10,68,14,18,77.8%,47,1,4,3,6,0,26,26,100.0%
"Forbath, Kai",[],11,64,10,15,66.7%,57,0,2,3,3,2,34,35,97.1%
"Folk, Nick",NYJ,8,58,13,16,81.3%,55,0,2,6,3,2,19,19,100.0%
"Hocker, Zach",[],8,42,10,14,71.4%,51,0,3,5,1,1,12,13,92.3%
"Graham, Shayne",ATL,5,41,11,13,84.6%,54,0,2,4,2,3,8,8,100.0%
"Scobee, Josh",PIT,4,24,6,10,60.0%,45,0,2,1,3,0,6,7,85.7%
"Brindza, Kyle",TB,4,24,6,12,50.0%,58,0,1,2,1,2,6,8,75.0%
"Parkey, Cody",PHI,3,16,3,4,75.0%,46,0,1,1,1,0,7,7,100.0%
"Quigley, Ryan",NYJ,15,4,0,0,-,0,0,0,0,0,0,4,4,100.0%
"Lechler, Shane",HOU,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Cundiff, Billy",BUF,1,0,0,0,-,0,0,0,0,0,0,0,0,-
"Scifres, Mike",SD,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Lee, Andy",CLE,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Jones, Donnie",PHI,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Colquitt, Dustin",KC,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Weatherford, Steve",NYJ,1,0,0,0,-,0,0,0,0,0,0,0,0,-
"Koch, Sam",BAL,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Ryan, Jon",SEA,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Fields, Brandon",NO,2,0,0,0,-,0,0,0,0,0,0,0,0,-
"Kern, Brett",TEN,16,0,0,0,-,0,0,0,0,0,0,0,0,-
