Player,Team,Games Played,Attempts,Attempts / Game,Rushing Yards,Rushing Yards / Attempt,Rushing Yards / Game,Rushing Touchdowns,Longest Rush,Rushes of 10+ Yards,100 Yard Games,Stuffs,Stuff Yards,Fumbles,Fumbles Lost,First Downs Rushing,First Down %
"Dalton, Andy",CIN,13,57,4.4,142,2.5,10.9,3,12,3,0,2,6,3,0,13,22.8%
"Williams, Kerwynn",ARZ,6,27,4.5,142,5.3,23.7,1,35,6,0,4,15,1,1,6,22.2%
"Tannehill, Ryan",MIA,16,32,2.0,141,4.4,8.8,1,28,5,0,1,1,2,0,8,25.0%
"Cunningham, Benny",STL,16,37,2.3,140,3.8,8.8,0,40,2,0,6,12,1,0,7,18.9%
"Carr, Derek",OAK,16,33,2.1,138,4.2,8.6,0,24,5,0,0,0,4,2,7,21.2%
"Riddick, Theo",DET,16,43,2.7,133,3.1,8.3,0,16,1,0,3,3,1,1,6,14.0%
"Barner, Kenjon",PHI,10,28,2.8,124,4.4,12.4,0,19,2,0,2,7,1,1,6,21.4%
"Landry, Jarvis",MIA,16,18,1.1,113,6.3,7.1,1,22,4,0,2,3,0,0,7,38.9%
"Spiller, C.J.",NO,13,36,2.8,112,3.1,8.6,0,11,2,0,4,6,1,0,5,13.9%
"Asiata, Matt",MIN,16,29,1.8,112,3.9,7.0,0,19,2,0,2,5,0,0,3,10.3%
"Olawale, Jamize",OAK,14,24,1.7,110,4.6,7.9,1,19,4,0,2,2,0,0,9,37.5%
"Whittaker, Fozzy",CAR,15,25,1.7,108,4.3,7.2,1,16,4,0,1,2,0,0,7,28.0%
"Oliver, Branden",SD,8,31,3.9,108,3.5,13.5,0,15,1,0,1,1,0,0,8,25.8%
"Whitehead, Lucky",DAL,15,10,0.7,107,10.7,7.1,0,33,5,0,1,1,0,0,6,60.0%
"Jackson, Fred",SEA,16,26,1.6,100,3.9,6.3,0,16,1,0,1,1,0,0,5,19.2%
"Vick, Mike",PIT,5,20,4.0,99,5.0,19.8,0,24,5,0,0,0,1,0,4,20.0%
"McCown, Josh",CLE,8,20,2.5,98,4.9,12.3,1,13,4,0,0,0,3,2,8,40.0%
"Hunt, Akeem",HOU,7,17,2.4,96,5.7,13.7,0,25,4,0,3,7,0,0,6,35.3%
"Ward, Terron",ATL,13,29,2.2,95,3.3,7.3,1,13,3,0,6,13,0,0,5,17.2%
"Ridley, Stevan",NYJ,8,36,4.5,90,2.5,11.3,0,13,3,0,9,19,0,0,5,13.9%
"Stacy, Zac",NYJ,8,31,3.9,89,2.9,11.1,1,18,2,0,4,11,0,0,4,12.9%
"Thielen, Adam",MIN,16,4,0.3,89,22.3,5.6,0,41,3,0,0,0,0,0,4,100.0%
"Bradshaw, Ahmad",IND,6,31,5.2,85,2.7,14.2,0,23,2,0,5,16,0,0,5,16.1%
