, Player, Team, G,PassingComp,Passing.1Att,Passing.2Yard,Passing.3TD,Passing.4INT,RushingAtt,Rushing.1Yard,Rushing.2TD,FantasyFPts,Fantasy.1FPts/G
1,Cam Newton,CAR,1,24,40,353,4,1,6,37,0,37.4,37.4
2,Matt Ryan,ATL,1,26,34,396,3,1,0,0,0,31.8,31.8
3,Ryan Tannehill,MIA,1,32,45,389,2,2,6,35,0,31.0,31.0
4,Tyrod Taylor,BUF,1,18,30,297,3,1,2,25,0,29.4,29.4
5,Philip Rivers,SD,1,17,24,220,4,0,1,10,0,28.0,28.0
6,Derek Carr,OAK,1,34,45,299,3,0,2,10,0,28.0,28.0
7,Blake Bortles,JAC,1,31,50,329,2,2,3,34,0,27.9,27.9
8,Carson Palmer,ARI,1,18,31,308,3,0,0,0,0,27.4,27.4
9,Blaine Gabbert,SF,1,17,36,243,2,2,3,10,1,27.2,27.2
10,Ben Roethlisberger,PIT,1,19,37,259,3,2,1,14,0,26.4,26.4
11,Ryan Fitzpatrick,NYJ,1,24,34,374,1,0,5,21,0,24.8,24.8
12,Kirk Cousins,WAS,1,28,46,364,1,1,2,20,0,24.2,24.2
13,Jimmy Garoppolo,NE,1,18,27,234,3,0,0,0,0,23.7,23.7
14,Aaron Rodgers,GB,1,20,36,213,1,1,3,29,1,23.6,23.6
15,Joe Flacco,BAL,1,25,45,302,2,2,1,1,0,23.2,23.2
16,Andy Dalton,CIN,1,31,54,366,1,0,2,7,0,23.0,23.0
17,Sam Bradford,MIN,1,22,31,286,2,0,1,-3,0,22.0,22.0
18,Dak Prescott,DAL,1,22,30,292,0,0,1,6,1,21.2,21.2
19,Marcus Mariota,TEN,1,25,33,238,2,1,2,11,0,21.0,21.0
20,Josh McCown,CLE,1,20,33,260,2,2,2,0,0,21.0,21.0
21,Matthew Stafford,DET,1,22,40,260,1,1,2,31,0,20.1,20.1
22,Eli Manning,NYG,1,32,41,368,0,0,4,-4,0,18.0,18.0
23,Drew Brees,NO,1,29,44,263,1,0,0,0,0,17.2,17.2
24,Brock Osweiler,HOU,1,19,33,268,1,2,2,-3,0,17.1,17.1
25,Jameis Winston,TB,1,27,52,243,1,4,3,9,0,17.1,17.1
26,Andrew Luck,IND,1,21,40,197,1,1,3,22,0,16.1,16.1
27,Carson Wentz,PHI,1,21,34,190,1,0,6,10,0,14.5,14.5
28,Russell Wilson,SEA,1,22,35,254,0,0,5,14,0,14.1,14.1
29,Trevor Siemian,DEN,1,22,33,266,0,1,1,7,0,14.0,14.0
30,Case Keenum,LAR,1,18,30,239,0,0,3,5,0,12.5,12.5
31,Alex Smith,KC,1,20,37,186,0,0,2,2,0,9.5,9.5
32,Jay Cutler,CHI,1,12,17,157,0,1,0,0,0,7.9,7.9
33,Jacoby Brissett,NE,1,6,9,92,0,0,4,12,0,5.8,5.8
34,Brian Hoyer,CHI,1,9,12,78,0,0,0,0,0,3.9,3.9
35,EJ Manuel,BUF,1,1,1,10,0,0,2,2,0,0.7,0.7
36,Drew Stanton,ARI,1,1,4,11,0,0,0,0,0,0.6,0.6
37,Matt Cassel,TEN,1,0,0,0,0,0,1,-1,0,-0.1,-0.1
38,Kellen Clemens,SD,1,0,1,0,0,0,2,-1,0,-0.1,-0.1
