, Player, Team, G,RushingAtt,Rushing.1Yard,Rushing.2TD,ReceivingTarget,Receiving.1Rec,Receiving.2Yard,Receiving.3TD,FantasyFPts,Fantasy.1FPts/G
1,Matt Forte,NYJ,1,30,100,3,3,2,9,0,28.9,28.9
2,Isaiah Crowell,CLE,1,18,133,1,1,1,15,0,20.8,20.8
3,DeAngelo Williams,PIT,1,32,94,0,5,4,38,1,19.2,19.2
4,LeGarrette Blount,NE,1,29,123,1,0,0,0,0,18.3,18.3
5,Melvin Gordon,SD,1,24,102,1,3,3,18,0,18.0,18.0
6,Giovani Bernard,CIN,1,5,17,0,11,9,100,1,17.7,17.7
7,Latavius Murray,OAK,1,8,57,1,6,6,44,0,16.1,16.1
8,Ryan Mathews,PHI,1,9,32,2,1,1,3,0,15.5,15.5
9,C.J. Anderson,DEN,1,20,74,1,5,3,19,0,15.3,15.3
10,Ezekiel Elliott,DAL,1,21,83,1,2,2,4,0,14.7,14.7
11,DeMarco Murray,TEN,1,12,89,0,7,7,56,0,14.5,14.5
12,David Johnson,ARI,1,12,45,0,5,3,98,0,14.3,14.3
13,Tevin Coleman,ATL,1,12,46,1,2,2,25,0,13.1,13.1
14,Fozzy Whittaker,CAR,1,16,100,0,4,3,31,0,13.1,13.1
15,Matt Jones,WAS,1,13,61,1,1,1,4,0,12.5,12.5
16,Frank Gore,IND,1,13,44,0,3,3,19,1,12.3,12.3
17,Chris Johnson,ARI,1,16,54,1,0,0,0,0,11.4,11.4
18,Spencer Ware,KC,1,10,57,0,3,2,48,0,10.5,10.5
19,Lamar Miller,HOU,1,25,83,0,2,2,14,0,9.7,9.7
20,Jeremy Langford,CHI,1,11,28,1,2,1,6,0,9.4,9.4
21,Devonta Freeman,ATL,1,17,93,0,0,0,0,0,9.3,9.3
22,LeSean McCoy,BUF,1,15,59,0,5,4,31,0,9.0,9.0
23,Christine Michael,SEA,1,10,60,0,4,3,26,0,8.6,8.6
24,Kenyan Drake,MIA,1,2,12,1,2,2,6,0,7.8,7.8
25,Mike Gillislee,BUF,1,0,0,0,1,1,18,1,7.8,7.8
26,Corey Grant,JAC,1,0,0,0,1,1,15,1,7.5,7.5
27,Todd Gurley,LAR,1,19,51,0,1,1,19,0,7.0,7.0
28,Robert Turbin,IND,1,3,10,1,1,0,0,0,7.0,7.0
29,Alfred Morris,DAL,1,5,7,1,0,0,0,0,6.7,6.7
30,Shane Vereen,NYG,1,14,42,0,3,3,24,0,6.6,6.6
31,Theo Riddick,DET,1,11,37,0,5,4,28,0,6.5,6.5
32,Charcandrick West,KC,1,6,61,0,2,1,2,0,6.3,6.3
33,Jeremy Hill,CIN,1,11,22,0,5,3,37,0,5.9,5.9
34,Chris Thompson,WAS,1,2,1,0,4,3,57,0,5.8,5.8
35,Terrance West,BAL,1,11,42,0,3,1,15,0,5.7,5.7
36,Duke Johnson,CLE,1,3,12,0,5,4,44,0,5.6,5.6
37,Carlos Hyde,SF,1,14,34,0,3,3,18,0,5.2,5.2
38,DeAndre Washington,OAK,1,6,46,0,1,1,6,0,5.2,5.2
39,Devontae Booker,DEN,1,9,46,0,1,1,5,0,5.1,5.1
40,Eddie Lacy,GB,1,12,50,0,1,0,0,0,5.0,5.0
41,Derrick Henry,TEN,1,9,40,0,1,1,9,0,4.9,4.9
42,Darren Sproles,PHI,1,12,40,0,2,2,8,0,4.8,4.8
43,Mark Ingram,NO,1,9,30,0,4,4,17,0,4.7,4.7
44,Justin Forsett,BAL,1,14,37,0,5,3,9,0,4.6,4.6
45,Jay Ajayi,MIA,1,5,14,0,4,4,31,0,4.5,4.5
46,Rashad Jennings,NYG,1,13,27,0,2,2,13,0,4.0,4.0
47,Jamize Olawale,OAK,1,1,11,0,2,2,28,0,3.9,3.9
48,Ameer Abdullah,DET,1,6,38,0,0,0,0,0,3.8,3.8
49,T.J. Yeldon,JAC,1,7,28,0,9,8,10,0,3.8,3.8
50,Josh Ferguson,IND,1,2,7,0,5,5,29,0,3.6,3.6
51,Lance Dunbar,DAL,1,3,6,0,2,2,26,0,3.2,3.2
52,Jordan Howard,CHI,1,3,22,0,2,2,9,0,3.1,3.1
53,Dwayne Washington,DET,1,4,31,0,0,0,0,0,3.1,3.1
54,Danny Woodhead,SD,1,3,27,0,1,1,4,0,3.1,3.1
55,Jacquizz Rodgers,TB,1,2,29,0,1,0,0,0,2.9,2.9
56,James White,NE,1,4,19,0,4,2,10,0,2.9,2.9
57,Charles Sims,TB,1,9,24,0,5,3,4,0,2.8,2.8
58,Jalen Richard,OAK,1,7,17,0,1,1,10,0,2.7,2.7
59,Adrian Peterson,MIN,1,12,19,0,3,2,7,0,2.6,2.6
60,Matt Asiata,MIN,1,6,14,0,1,1,11,0,2.5,2.5
61,Mike Tolbert,CAR,1,9,25,0,1,0,0,0,2.5,2.5
62,Doug Martin,TB,1,7,23,0,0,0,0,0,2.3,2.3
63,Shaun Draughn,SF,1,9,21,0,1,0,0,0,2.1,2.1
64,Jonathan Grimes,HOU,1,1,8,0,3,1,13,0,2.1,2.1
65,James Starks,GB,1,7,3,0,1,1,16,0,1.9,1.9
66,Travaris Cadet,NO,1,0,0,0,3,2,17,0,1.7,1.7
67,Wendell Smallwood,PHI,1,2,16,0,1,0,0,0,1.6,1.6
68,Jonathan Stewart,CAR,1,5,9,0,2,2,7,0,1.6,1.6
69,Denard Robinson,JAC,1,1,7,0,2,1,7,0,1.4,1.4
70,Kenneth Farrow,SD,1,4,13,0,1,0,0,0,1.3,1.3
71,Fitzgerald Toussaint,PIT,1,1,4,0,1,1,9,0,1.3,1.3
72,Alfred Blue,HOU,1,5,11,0,0,0,0,0,1.1,1.1
73,Andre Ellington,ARI,1,1,2,0,1,1,9,0,1.1,1.1
74,Andy Janovich,DEN,1,0,0,0,1,1,11,0,1.1,1.1
75,Mike Davis,SF,1,0,0,0,1,1,10,0,1.0,1.0
76,John Kuhn,NO,1,1,2,0,2,2,8,0,1.0,1.0
77,Benny Cunningham,LAR,1,1,2,0,2,1,7,0,0.9,0.9
78,Arian Foster,MIA,1,3,9,0,0,0,0,0,0.9,0.9
79,D.J. Foster,NE,1,1,7,0,2,1,2,0,0.9,0.9
80,Tim Hightower,NO,1,3,9,0,0,0,0,0,0.9,0.9
81,Kyle Juszczyk,BAL,1,0,0,0,2,1,8,0,0.8,0.8
82,Thomas Rawls,SEA,1,7,-7,0,3,3,15,0,0.8,0.8
83,Kapri Bibbs,DEN,1,1,7,0,1,0,0,0,0.7,0.7
84,Ka'Deem Carey,CHI,1,2,3,0,1,1,3,0,0.6,0.6
85,Daryl Richardson,PIT,1,1,6,0,0,0,0,0,0.6,0.6
