, Player, Team, G,ReceivingTarget,Receiving.1Rec,Receiving.2Yard,Receiving.3TD,FantasyFPts,Fantasy.1FPts/G
1,Greg Olsen,CAR,1,8,5,122,1,18.2,18.2
2,Martellus Bennett,NE,1,6,5,114,1,17.4,17.4
3,Delanie Walker,TEN,1,6,6,83,1,14.3,14.3
4,Vance McDonald,SF,1,2,1,75,1,13.5,13.5
5,Jacob Tamme,ATL,1,8,5,75,1,13.5,13.5
6,Clive Walford,OAK,1,7,6,50,1,11.0,11.0
7,Trey Burton,PHI,1,7,5,49,1,10.9,10.9
8,Jordan Cameron,MIA,1,7,5,49,1,10.9,10.9
9,Dennis Pitta,BAL,1,12,9,102,0,10.2,10.2
10,Kyle Rudolph,MIN,1,8,3,31,1,9.1,9.1
11,Jesse James,PIT,1,5,3,29,1,8.9,8.9
12,Xavier Grimble,PIT,1,4,2,26,1,8.6,8.6
13,Austin Hooper,ATL,1,3,3,84,0,8.4,8.4
14,Marcedes Lewis,JAC,1,3,2,17,1,7.7,7.7
15,Antonio Gates,SD,1,5,3,15,1,7.5,7.5
16,Julius Thomas,JAC,1,7,4,71,0,7.1,7.1
17,Jordan Reed,WAS,1,7,5,70,0,7.0,7.0
18,Lance Kendricks,LAR,1,6,4,61,0,6.1,6.1
19,Eric Ebron,DET,1,7,4,53,0,5.3,5.3
20,Vernon Davis,WAS,1,5,5,51,0,5.1,5.1
21,Jason Witten,DAL,1,4,3,51,0,5.1,5.1
22,Virgil Green,DEN,1,3,3,46,0,4.6,4.6
23,Jimmy Graham,SEA,1,4,3,42,0,4.2,4.2
24,Gary Barnidge,CLE,1,5,4,37,0,3.7,3.7
25,Jack Doyle,IND,1,5,4,37,0,3.7,3.7
26,Tyler Kroft,CIN,1,4,3,35,0,3.5,3.5
27,Travis Kelce,KC,1,7,5,34,0,3.4,3.4
28,Zach Miller,CHI,1,5,4,33,0,3.3,3.3
29,Jared Cook,GB,1,6,4,31,0,3.1,3.1
30,Darren Fells,ARI,1,5,4,31,0,3.1,3.1
31,Coby Fleener,NO,1,8,2,29,0,2.9,2.9
32,Geoff Swaim,DAL,1,2,2,29,0,2.9,2.9
33,Charles Clay,BUF,1,7,5,27,0,2.7,2.7
34,Dwayne Allen,IND,1,4,2,25,0,2.5,2.5
35,Richard Rodgers,GB,1,2,2,25,0,2.5,2.5
36,Larry Donnell,NYG,1,5,4,24,0,2.4,2.4
37,Lee Smith,OAK,1,4,4,24,0,2.4,2.4
38,Crockett Gillmore,BAL,1,3,1,22,0,2.2,2.2
39,Dion Sims,MIA,1,1,1,21,0,2.1,2.1
40,Levine Toilolo,ATL,1,2,2,21,0,2.1,2.1
41,Cameron Brate,TB,1,4,3,16,0,1.6,1.6
42,Niles Paul,WAS,1,1,1,16,0,1.6,1.6
43,Stephen Anderson,HOU,1,3,2,15,0,1.5,1.5
44,Austin Seferian-Jenkins,TB,1,2,2,14,0,1.4,1.4
45,Garrett Celek,SF,1,2,1,12,0,1.2,1.2
46,Will Tye,NYG,1,3,2,10,0,1.0,1.0
47,C.J. Uzomah,CIN,1,8,3,9,0,0.9,0.9
48,Phillip Supernaw,TEN,1,1,1,7,0,0.7,0.7
49,Blake Bell,SF,1,2,1,6,0,0.6,0.6
50,Luke Willson,SEA,1,1,1,6,0,0.6,0.6
51,Ryan Griffin,HOU,1,2,1,5,0,0.5,0.5
52,David Johnson,PIT,1,1,1,5,0,0.5,0.5
53,Anthony Fasano,TEN,1,3,1,1,0,0.1,0.1
54,C.J. Fiedorowicz,HOU,1,1,1,1,0,0.1,0.1
55,Brandon Bostick,NYJ,1,1,0,0,0,0.0,0.0
56,Brent Celek,PHI,1,1,0,0,0,0.0,0.0
57,Kellen Davis,NYJ,1,1,0,0,0,0.0,0.0
58,Ed Dickson,CAR,1,1,0,0,0,0.0,0.0
59,Jermaine Gresham,ARI,1,1,0,0,0,0.0,0.0
60,Demetrius Harris,KC,1,1,0,0,0,0.0,0.0
61,Troy Niklas,ARI,1,1,0,0,0,0.0,0.0
