,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Fantasy,Fantasy
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD,FPts,FPts/G
Brandin Cooks,NO,1,9,6,143,2,1,11,0,27.4,27.4
Antonio Brown,PIT,1,11,8,126,2,0,0,0,24.6,24.6
A.J. Green,CIN,1,13,12,180,1,0,0,0,24.0,24.0
Willie Snead,NO,1,9,9,172,1,0,0,0,23.2,23.2
Larry Fitzgerald,ARI,1,10,8,81,2,0,0,0,20.1,20.1
Jordan Matthews,PHI,1,14,7,114,1,0,0,0,17.4,17.4
Will Fuller,HOU,1,11,5,107,1,0,0,0,16.7,16.7
Mike Wallace,BAL,1,6,3,91,1,1,11,0,16.2,16.2
Mike Evans,TB,1,7,5,99,1,0,0,0,15.9,15.9
Doug Baldwin,SEA,1,11,9,92,1,0,0,0,15.2,15.2
Kelvin Benjamin,CAR,1,12,6,91,1,0,0,0,15.1,15.1
Mohamed Sanu,ATL,1,8,5,80,1,0,0,0,14.0,14.0
Amari Cooper,OAK,1,11,6,137,0,0,0,0,13.7,13.7
Julio Jones,ATL,1,8,4,66,1,0,0,0,12.6,12.6
Donte Moncrief,IND,1,7,6,64,1,0,0,0,12.4,12.4
Jeremy Maclin,KC,1,7,5,63,1,1,-1,0,12.2,12.2
Chris Hogan,NE,1,4,3,60,1,0,0,0,12.0,12.0
Eli Rogers,PIT,1,7,6,59,1,0,0,0,11.9,11.9
Nelson Agholor,PHI,1,5,4,57,1,0,0,0,11.7,11.7
Eddie Royal,CHI,1,6,4,57,1,0,0,0,11.7,11.7
Quincy Enunwa,NYJ,1,8,7,54,1,0,0,0,11.4,11.4
DeAndre Hopkins,HOU,1,8,5,54,1,0,0,0,11.4,11.4
Davante Adams,GB,1,7,3,50,1,0,0,0,11.0,11.0
Alshon Jeffery,CHI,1,6,4,105,0,0,0,0,10.5,10.5
Sterling Shepard,NYG,1,4,3,43,1,0,0,0,10.3,10.3
