, Player, Team, G,ReceivingTarget,Receiving.1Rec,Receiving.2Yard,Receiving.3TD,RushingAtt,Rushing.1Yard,Rushing.2TD,FantasyFPts,Fantasy.1FPts/G
1,Stefon Diggs,MIN,1,11,9,182,1,0,0,0,24.2,24.2
2,Travis Benjamin,SD,1,6,6,115,2,1,-1,0,23.4,23.4
3,Kelvin Benjamin,CAR,1,9,7,108,2,0,0,0,22.8,22.8
4,Corey Coleman,CLE,1,8,5,104,2,0,0,0,22.4,22.4
5,Eric Decker,NYJ,1,8,6,126,1,0,0,0,18.6,18.6
6,DeAndre Hopkins,HOU,1,11,7,113,1,0,0,0,17.3,17.3
7,Marquise Goodwin,BUF,1,5,2,112,1,0,0,0,17.2,17.2
8,Danny Amendola,NE,1,4,4,50,2,0,0,0,17.0,17.0
9,Julio Jones,ATL,1,5,5,106,1,0,0,0,16.6,16.6
10,Mike Wallace,BAL,1,6,4,41,2,0,0,0,16.1,16.1
11,Greg Salas,BUF,1,5,4,89,1,0,0,0,14.9,14.9
12,Larry Fitzgerald,ARI,1,11,6,81,1,0,0,0,14.1,14.1
13,Jaron Brown,ARI,1,2,2,78,1,0,0,0,13.8,13.8
14,Jarvis Landry,MIA,1,13,10,137,0,0,0,0,13.7,13.7
15,Jordy Nelson,GB,1,11,5,73,1,0,0,0,13.3,13.3
16,Mike Evans,TB,1,17,6,70,1,0,0,0,13.0,13.0
17,Tyrell Williams,SD,1,6,3,61,1,0,0,0,12.1,12.1
18,Marvin Jones,DET,1,11,8,118,0,0,0,0,11.8,11.8
19,Sterling Shepard,NYG,1,8,8,117,0,0,0,0,11.7,11.7
20,Torrey Smith,SF,1,10,3,55,1,0,0,0,11.5,11.5
21,Willie Snead,NO,1,8,5,54,1,0,0,0,11.4,11.4
22,Anquan Boldin,DET,1,7,4,48,1,0,0,0,10.8,10.8
23,DeVante Parker,MIA,1,13,8,106,0,0,0,0,10.6,10.6
24,Will Fuller,HOU,1,7,4,104,0,0,0,0,10.4,10.4
25,Sammie Coates,PIT,1,5,2,97,0,1,6,0,10.3,10.3
26,Dez Bryant,DAL,1,12,7,102,0,0,0,0,10.2,10.2
27,Brandon Marshall,NYJ,1,9,6,101,0,0,0,0,10.1,10.1
28,Jamison Crowder,WAS,1,8,6,39,1,0,0,0,9.9,9.9
29,Tyler Lockett,SEA,1,4,4,99,0,0,0,0,9.9,9.9
30,Kenny Stills,MIA,1,4,2,39,1,0,0,0,9.9,9.9
31,Alshon Jeffery,CHI,1,7,5,96,0,0,0,0,9.6,9.6
32,Kenny Britt,LAR,1,10,6,94,0,0,0,0,9.4,9.4
33,Quincy Enunwa,NYJ,1,6,6,92,0,0,0,0,9.2,9.2
34,Michael Crabtree,OAK,1,5,4,31,1,0,0,0,9.1,9.1
35,Victor Cruz,NYG,1,8,4,91,0,0,0,0,9.1,9.1
36,Demaryius Thomas,DEN,1,7,5,90,0,0,0,0,9.0,9.0
37,Odell Beckham Jr.,NYG,1,11,8,86,0,0,0,0,8.6,8.6
38,Devin Funchess,CAR,1,4,2,19,1,0,0,0,7.9,7.9
39,Tyler Boyd,CIN,1,8,6,78,0,0,0,0,7.8,7.8
40,Julian Edelman,NE,1,11,7,76,0,0,0,0,7.6,7.6
41,Cole Beasley,DAL,1,6,5,75,0,0,0,0,7.5,7.5
42,Marqise Lee,JAC,1,7,5,75,0,0,0,0,7.5,7.5
43,Amari Cooper,OAK,1,9,5,71,0,0,0,0,7.1,7.1
44,Jordan Matthews,PHI,1,9,6,71,0,0,0,0,7.1,7.1
45,Andre Johnson,TEN,1,2,1,9,1,0,0,0,6.9,6.9
46,Brandin Cooks,NO,1,9,7,68,0,0,0,0,6.8,6.8
47,Michael Floyd,ARI,1,6,2,8,1,0,0,0,6.8,6.8
48,Justin Hardy,ATL,1,3,1,8,1,0,0,0,6.8,6.8
49,Jeremy Maclin,KC,1,15,6,68,0,0,0,0,6.8,6.8
50,Adam Humphries,TB,1,8,6,67,0,0,0,0,6.7,6.7
51,Andre Holmes,OAK,1,3,1,6,1,0,0,0,6.6,6.6
52,Allen Hurns,JAC,1,10,5,64,0,0,0,0,6.4,6.4
53,Steve Smith,BAL,1,6,3,64,0,0,0,0,6.4,6.4
54,Chris Hogan,NE,1,6,4,59,0,0,0,0,5.9,5.9
55,Josh Doctson,WAS,1,5,1,57,0,0,0,0,5.7,5.7
56,Tavon Austin,LAR,1,9,5,50,0,2,6,0,5.6,5.6
57,Ted Ginn Jr.,CAR,1,4,2,51,0,1,5,0,5.6,5.6
58,Michael Thomas,NO,1,5,4,56,0,0,0,0,5.6,5.6
59,Allen Robinson,JAC,1,5,3,54,0,0,0,0,5.4,5.4
60,Eddie Royal,CHI,1,6,4,52,0,0,0,0,5.2,5.2
61,Jalin Marshall,NYJ,1,4,3,45,0,0,0,0,4.5,4.5
62,Kevin White,CHI,1,6,4,36,0,1,9,0,4.5,4.5
63,Vincent Jackson,TB,1,9,4,44,0,0,0,0,4.4,4.4
64,Randall Cobb,GB,1,7,5,42,0,1,1,0,4.3,4.3
65,Nelson Agholor,PHI,1,7,4,42,0,0,0,0,4.2,4.2
66,T.Y. Hilton,IND,1,11,4,41,0,0,0,0,4.1,4.1
67,Adam Thielen,MIN,1,5,4,41,0,0,0,0,4.1,4.1
68,DeSean Jackson,WAS,1,5,3,40,0,0,0,0,4.0,4.0
69,Rishard Matthews,TEN,1,6,4,40,0,0,0,0,4.0,4.0
70,Antonio Brown,PIT,1,11,4,39,0,0,0,0,3.9,3.9
71,Brandon LaFell,CIN,1,8,3,39,0,0,0,0,3.9,3.9
72,Emmanuel Sanders,DEN,1,8,3,39,0,0,0,0,3.9,3.9
73,A.J. Green,CIN,1,8,2,38,0,0,0,0,3.8,3.8
74,Paul Richardson,SEA,1,6,3,35,0,0,0,0,3.5,3.5
75,Tajae Sharpe,TEN,1,7,4,33,0,0,0,0,3.3,3.3
76,Breshad Perriman,BAL,1,5,2,32,0,0,0,0,3.2,3.2
77,Terrelle Pryor,CLE,1,10,3,32,0,0,0,0,3.2,3.2
78,Phillip Dorsett,IND,1,5,1,30,0,0,0,0,3.0,3.0
79,Aldrick Robinson,ATL,1,3,2,30,0,0,0,0,3.0,3.0
80,Jeremy Kerley,SF,1,6,3,29,0,0,0,0,2.9,2.9
81,Taylor Gabriel,ATL,1,3,3,28,0,0,0,0,2.8,2.8
82,Andrew Hawkins,CLE,1,3,3,28,0,0,0,0,2.8,2.8
83,Davante Adams,GB,1,7,3,26,0,0,0,0,2.6,2.6
84,Pierre Garcon,WAS,1,7,2,25,0,0,0,0,2.5,2.5
85,Quinton Patton,SF,1,6,3,25,0,0,0,0,2.5,2.5
86,Seth Roberts,OAK,1,6,3,25,0,0,0,0,2.5,2.5
87,Jordan Norwood,DEN,1,4,3,24,0,0,0,0,2.4,2.4
88,Doug Baldwin,SEA,1,6,3,20,0,0,0,0,2.0,2.0
89,Alex Erickson,CIN,1,1,1,20,0,0,0,0,2.0,2.0
90,Jordan Taylor,DEN,1,1,1,20,0,0,0,0,2.0,2.0
91,Sammy Watkins,BUF,1,5,2,20,0,0,0,0,2.0,2.0
92,Mohamed Sanu,ATL,1,5,3,19,0,0,0,0,1.9,1.9
93,Dorial Green-Beckham,PHI,1,4,2,18,0,0,0,0,1.8,1.8
94,Johnny Holton,OAK,1,1,1,4,0,1,14,0,1.8,1.8
95,Russell Shepard,TB,1,2,2,16,0,0,0,0,1.6,1.6
96,Philly Brown,CAR,1,6,3,15,0,0,0,0,1.5,1.5
97,Brandon Coleman,NO,1,4,2,15,0,0,0,0,1.5,1.5
98,Chris Conley,KC,1,4,2,15,0,0,0,0,1.5,1.5
99,Charles Johnson,MIN,1,2,2,15,0,0,0,0,1.5,1.5
100,Malcolm Mitchell,NE,1,2,1,15,0,0,0,0,1.5,1.5
101,John Brown,ARI,1,3,1,14,0,0,0,0,1.4,1.4
102,Rod Streater,SF,1,2,1,13,0,0,0,0,1.3,1.3
103,Golden Tate,DET,1,9,2,13,0,0,0,0,1.3,1.3
104,Cody Latimer,DEN,1,2,2,12,0,0,0,0,1.2,1.2
105,Cecil Shorts,TB,1,2,1,12,0,0,0,0,1.2,1.2
106,Jermaine Kearse,SEA,1,6,2,11,0,0,0,0,1.1,1.1
107,Albert Wilson,KC,1,3,2,11,0,0,0,0,1.1,1.1
108,Robert Woods,BUF,1,2,1,10,0,0,0,0,1.0,1.0
109,James Wright,CIN,1,1,1,10,0,0,0,0,1.0,1.0
110,Arrelious Benn,JAC,1,2,1,9,0,0,0,0,0.9,0.9
111,Donte Moncrief,IND,1,3,1,9,0,0,0,0,0.9,0.9
112,Chris Moore,BAL,1,2,1,9,0,0,0,0,0.9,0.9
113,Eli Rogers,PIT,1,3,1,9,0,0,0,0,0.9,0.9
114,Brian Quick,LAR,1,1,1,8,0,0,0,0,0.8,0.8
115,Quan Bray,IND,1,1,1,7,0,0,0,0,0.7,0.7
116,Rashad Greene,JAC,1,3,1,7,0,0,0,0,0.7,0.7
117,Darrius Heyward-Bey,PIT,1,2,1,7,0,0,0,0,0.7,0.7
118,Tyreek Hill,KC,1,2,2,8,0,1,-1,0,0.7,0.7
119,Dontrelle Inman,SD,1,3,1,7,0,0,0,0,0.7,0.7
120,Ryan Grant,WAS,1,1,1,5,0,0,0,0,0.5,0.5
121,Paul Lasike,CHI,1,0,0,0,0,1,2,0,0.2,0.2
122,Braxton Miller,HOU,1,3,1,3,0,1,-2,0,0.1,0.1
123,Kamar Aiken,BAL,1,1,0,0,0,0,0,0,0.0,0.0
124,Aaron Burbridge,SF,1,1,0,0,0,0,0,0,0.0,0.0
125,Brice Butler,DAL,1,1,0,0,0,0,0,0,0.0,0.0
126,Trevor Davis,GB,1,1,0,0,0,0,0,0,0.0,0.0
127,Rashard Higgins,CLE,1,1,0,0,0,0,0,0,0.0,0.0
128,Chester Rogers,IND,1,1,0,0,0,0,0,0,0.0,0.0
129,Matt Slater,NE,1,1,0,0,0,0,0,0,0.0,0.0
130,Jaelen Strong,HOU,1,1,0,0,0,0,0,0,0.0,0.0
131,Josh Huff,PHI,1,1,1,-1,0,1,0,0,-0.1,-0.1
132,Tommylee Lewis,NO,1,1,1,-1,0,0,0,0,-0.1,-0.1
