"","playerId","dstInt","dstFumlRec","dstSack","dstTd","dstSafety","dstPtsAllow","analyst","player","position","games","dstBlk","returnYds","dstRetTd"
"1",100001,1,1,1.6,0.1,0,20.4,-1,"Falcons","DST",NA,NA,NA,NA
"2",100002,0.5,0.8,3.3,0.1,0,20,-1,"Ravens","DST",NA,NA,NA,NA
"3",100003,1.1,0.6,1.1,0.1,0,23.4,-1,"Bills","DST",NA,NA,NA,NA
"4",100004,1.7,1.1,2.7,0.2,0,19.9,-1,"Panthers","DST",NA,NA,NA,NA
"5",100005,0.8,0.8,2.6,0.2,0,25.9,-1,"Bears","DST",NA,NA,NA,NA
"6",100006,1.3,0.6,2,0.1,0,17.7,-1,"Bengals","DST",NA,NA,NA,NA
"7",100007,1.7,1.1,2.2,0.2,0,21.7,-1,"Browns","DST",NA,NA,NA,NA
"8",100008,0.9,0.6,1.9,0.2,0,25,-1,"Cowboys","DST",NA,NA,NA,NA
"9",100009,0.8,1,2.8,0.2,0,19.6,-1,"Broncos","DST",NA,NA,NA,NA
"10",100010,1.1,1,3,0.3,0.1,25.6,-1,"Lions","DST",NA,NA,NA,NA
"11",100011,1.2,0.6,3.7,0.2,0,20.7,-1,"Packers","DST",NA,NA,NA,NA
"12",100012,0.8,0.4,3.1,0.1,0,23.6,-1,"Titans","DST",NA,NA,NA,NA
"13",100013,1.2,0.9,2.7,0,0,15.4,-1,"Texans","DST",NA,NA,NA,NA
"14",100014,0.9,0.7,2.9,0.1,0,18.9,-1,"Colts","DST",NA,NA,NA,NA
"15",100015,0.5,0.8,3,0.2,0,25.3,-1,"Jaguars","DST",NA,NA,NA,NA
"16",100016,1.4,0.6,2.8,0.1,0,16.3,-1,"Chiefs","DST",NA,NA,NA,NA
"17",100018,1,0.8,2.1,0.1,0,24.7,-1,"Raiders","DST",NA,NA,NA,NA
"18",100019,0.9,0.6,3.3,0.1,0,26.6,-1,"Dolphins","DST",NA,NA,NA,NA
"19",100020,1,0.9,3.2,0.2,0,15.8,-1,"Vikings","DST",NA,NA,NA,NA
"20",100021,0.9,0.8,2.5,0.2,0.1,25.5,-1,"Patriots","DST",NA,NA,NA,NA
"21",100022,0.6,1,2.2,0.2,0.1,26.5,-1,"Saints","DST",NA,NA,NA,NA
"22",100023,1.1,1,1.9,0.1,0,25.9,-1,"Giants","DST",NA,NA,NA,NA
"23",100024,1,0.9,2.2,0.1,0,19.7,-1,"Jets","DST",NA,NA,NA,NA
"24",100025,1.3,1.2,3,0.2,0,15.2,-1,"Eagles","DST",NA,NA,NA,NA
"25",100026,0.9,0.8,2.6,0.1,0,20,-1,"Cardinals","DST",NA,NA,NA,NA
"26",100027,1,1.1,2.8,0.1,0.1,20.8,-1,"Steelers","DST",NA,NA,NA,NA
"27",100028,0.8,0.8,2.6,0.3,0.1,26.9,-1,"Chargers","DST",NA,NA,NA,NA
"28",100029,0.9,0.7,2.2,0.2,0,18.9,-1,"49ers","DST",NA,NA,NA,NA
"29",100030,0.9,0.7,2.7,0.2,0,16.1,-1,"Seahawks","DST",NA,NA,NA,NA
"30",100031,0.9,1.1,2.4,0.2,0,25.1,-1,"Buccaneers","DST",NA,NA,NA,NA
"31",100032,0.8,1,2.6,0.1,0,24.3,-1,"Redskins","DST",NA,NA,NA,NA
"32",100001,0.9,0.5,1.7,0.2,0,22.9,3,"Falcons","DST",1,0.1,56.2,0
"33",100002,0.5,0.4,2.5,0.1,0,22.8,3,"Ravens","DST",1,0.1,61.2,0
"34",100003,1.1,0.4,1.7,0.1,0,24.5,3,"Bills","DST",1,0.1,25.8,0
"35",100004,1.2,0.8,1.9,0.3,0,19.9,3,"Panthers","DST",1,0.1,41.1,0
"36",100005,0.6,0.3,2.5,0.1,0,23.6,3,"Bears","DST",1,0.1,71,0.1
"37",100006,1,0.5,2.3,0.2,0,22.4,3,"Bengals","DST",1,0.1,69.4,0.1
"38",100007,0.9,0.6,1.8,0.2,0,23.2,3,"Browns","DST",1,0.1,55.9,0
"39",100008,0.7,0.3,2.3,0.1,0,24.8,3,"Cowboys","DST",1,0.1,71.7,0.1
"40",100009,0.7,0.8,2.8,0.3,0,25.3,3,"Broncos","DST",1,0.1,49.4,0
"41",100010,0.9,0.7,2.8,0.2,0,26.2,3,"Lions","DST",1,0.1,22.8,0
"42",100011,1,0.5,3,0.2,0,22.9,3,"Packers","DST",1,0.1,43.4,0
"43",100012,0.6,0.5,3.3,0.1,0,21.1,3,"Titans","DST",1,0.1,56.6,0
"44",100013,0.8,0.5,2.6,0.2,0,21.5,3,"Texans","DST",1,0.1,57,0
"45",100014,0.9,0.6,2.7,0.2,0,25.1,3,"Colts","DST",1,0.1,58.6,0
"46",100015,0.5,0.6,2.8,0.1,0,27.2,3,"Jaguars","DST",1,0.1,64.5,0.1
"47",100016,1,0.6,2.9,0.2,0,22.5,3,"Chiefs","DST",1,0.1,59.1,0
"48",100017,0.8,0.8,3,0.2,0,21.8,3,"Rams","DST",1,0.1,49.3,0
"49",100018,0.8,0.7,2.5,0.2,0,26.4,3,"Raiders","DST",1,0.1,59.8,0
"50",100019,0.6,0.4,2.5,0.1,0,27.2,3,"Dolphins","DST",1,0.1,62.4,0
"51",100020,0.8,0.5,3,0.1,0,20.4,3,"Vikings","DST",1,0.1,47.4,0
"52",100021,0.7,0.8,2.4,0.2,0,25.9,3,"Patriots","DST",1,0.1,64.7,0.1
"53",100022,0.7,0.7,2.4,0.2,0,25.9,3,"Saints","DST",1,0.1,56.4,0
"54",100023,0.7,0.7,1.8,0.2,0,28.7,3,"Giants","DST",1,0.1,45.7,0
"55",100024,0.7,0.6,2.3,0.2,0,21.8,3,"Jets","DST",1,0.1,63.6,0
"56",100025,0.7,0.7,1.9,0.2,0,25.2,3,"Eagles","DST",1,0.1,78.1,0.1
"57",100026,0.8,0.9,1.9,0.3,0,26.6,3,"Cardinals","DST",1,0.1,45.8,0
"58",100027,0.9,0.7,2.7,0.2,0,23.1,3,"Steelers","DST",1,0.1,46.3,0
"59",100028,0.5,0.5,2.6,0.1,0,23.4,3,"Chargers","DST",1,0.1,61.2,0
"60",100029,0.7,0.2,1.6,0.1,0,20.6,3,"49ers","DST",1,0.1,49.7,0
"61",100030,0.8,0.7,2.8,0.2,0,20,3,"Seahawks","DST",1,0.1,46.3,0
"62",100031,0.9,0.8,2.6,0.2,0,23.5,3,"Buccaneers","DST",1,0.1,42.9,0
"63",100032,0.8,0.8,2.6,0.2,0,29.8,3,"Redskins","DST",1,0.1,77.3,0.1
"64",100001,1,1,2,NA,NA,NA,5,"Falcons","DST",NA,NA,NA,NA
