"","playerId","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","analyst","player","position","games","rush40","rec40","returnYds","returnTds","twoPts"
"1",230,0,0,0,0,0,0,0,-1,"Jerome Felton","RB",NA,NA,NA,NA,NA,NA
"2",234,15.2,68.5,0.3,2.5,20.5,0.1,0.1,-1,"Matt Forte","RB",NA,NA,NA,NA,NA,NA
"3",262,9.1,35.6,0.2,0.9,7.5,0,0.1,-1,"Chris Johnson","RB",NA,NA,NA,NA,NA,NA
"4",927,13.5,61.8,0.4,2.2,11.8,0,0.1,-1,"Justin Forsett","RB",NA,NA,NA,NA,NA,NA
"5",949,14.3,55.7,0.3,1.3,6.3,0,0.2,-1,"Jonathan Stewart","RB",NA,NA,NA,NA,NA,NA
"6",4327,5.1,20.8,0.1,4.3,38.1,0.2,0.1,-1,"Danny Woodhead","RB",NA,NA,NA,NA,NA,NA
"7",4383,5.3,20.7,0.5,1.6,14.3,0,0.1,-1,"Tim Hightower","RB",NA,NA,NA,NA,NA,NA
"8",71345,12.4,49.9,0.3,2.3,21,0.1,0.1,-1,"Rashad Jennings","RB",NA,NA,NA,NA,NA,NA
"9",79555,9.2,34.1,0.3,2.9,21.7,0.2,0.2,-1,"Arian Foster","RB",NA,NA,NA,NA,NA,NA
"10",79607,16.4,64.5,0.3,2.3,16.7,0.1,0.2,-1,"LeSean McCoy","RB",NA,NA,NA,NA,NA,NA
"11",89798,0,0,0,0,0,0,0,-1,"Antone Smith","RB",NA,NA,NA,NA,NA,NA
"12",497145,0,0,0,0,0,0,0,-1,"Joique Bell","RB",NA,NA,NA,NA,NA,NA
"13",497149,13.5,50,0.4,1.3,8.5,0,0.1,-1,"LeGarrette Blount","RB",NA,NA,NA,NA,NA,NA
"14",497188,12.5,58.4,0.4,1.6,12.8,0.1,0.3,-1,"Ryan Mathews","RB",NA,NA,NA,NA,NA,NA
"15",497190,0,0,0,0,0,0,0,-1,"Dexter McCluster","RB",NA,NA,NA,NA,NA,NA
"16",497204,3.9,13.7,0.1,1.6,10.9,0.1,0.1,-1,"C.J. Spiller","RB",NA,NA,NA,NA,NA,NA
"17",497206,7.6,29.8,0.2,1.6,12.9,0.1,0.2,-1,"James Starks","RB",NA,NA,NA,NA,NA,NA
"18",2495207,13.8,63,0.3,1.8,13.2,0,0.2,-1,"DeMarco Murray","RB",NA,NA,NA,NA,NA,NA
"19",2495258,2.1,9.2,0.1,1.2,8.2,0,0.1,-1,"Matt Asiata","RB",NA,NA,NA,NA,NA,NA
"20",2495328,9.8,39.6,0.2,2,15.3,0.1,0.1,-1,"Bilal Powell","RB",NA,NA,NA,NA,NA,NA
"21",2495340,0.1,0.2,0,0.6,4.4,0,0,-1,"Anthony Sherman","RB",NA,NA,NA,NA,NA,NA
"22",2495461,6.5,23.6,0.1,1.4,8.2,0,0.1,-1,"Shaun Draughn","RB",NA,NA,NA,NA,NA,NA
"23",2495466,14.5,58.7,0.5,3.9,27.5,0.1,0.1,-1,"Mark Ingram","RB",NA,NA,NA,NA,NA,NA
"24",2495467,2.6,11.6,0.1,1.1,9.3,0.1,0.2,-1,"Taiwan Jones","RB",NA,NA,NA,NA,NA,NA
"25",2495470,0,0,0,0,0,0,0,-1,"Stevan Ridley","RB",NA,NA,NA,NA,NA,NA
"26",2495471,0,0,0,0,0,0,0,-1,"Jacquizz Rodgers","RB",NA,NA,NA,NA,NA,NA
"27",2495472,4,14.2,0.1,1.3,8.6,0.1,0.1,-1,"Jordan Todman","RB",NA,NA,NA,NA,NA,NA
"28",2495473,4.1,14.3,0.1,3.7,30.6,0.2,0.1,-1,"Shane Vereen","RB",NA,NA,NA,NA,NA,NA
"29",2495979,15.4,87.2,0.8,1.6,15.7,0,0.2,-1,"DeAngelo Williams","RB",NA,NA,NA,NA,NA,NA
"30",2506147,0,0,0,0,0,0,0,-1,"John Kuhn","RB",NA,NA,NA,NA,NA,NA
"31",2506404,10.9,42.8,0.5,1.9,15.4,0.1,0.2,-1,"Frank Gore","RB",NA,NA,NA,NA,NA,NA
"32",2506467,4.9,20.1,0.2,2.7,20.7,0,0.1,-1,"Darren Sproles","RB",NA,NA,NA,NA,NA,NA
"33",2506874,3.6,13.4,0.1,1.4,8.1,0,0.1,-1,"Reggie Bush","RB",NA,NA,NA,NA,NA,NA
"34",2507164,18.5,80.2,0.5,1.9,14.2,0,0.2,-1,"Adrian Peterson","RB",NA,NA,NA,NA,NA,NA
"35",2507428,3.8,12.1,0,1,7.1,0.1,0.1,-1,"Mike Tolbert","RB",NA,NA,NA,NA,NA,NA
"36",2507999,11.8,57.3,0.4,1.5,12.1,0.1,0.2,-1,"Chris Ivory","RB",NA,NA,NA,NA,NA,NA
"37",2508101,0.1,0.2,0,0.2,1.6,0,0,-1,"James Develin","RB",NA,NA,NA,NA,NA,NA
"38",2527672,0,0,0,0,0,0,0,-1,"Will Tukuafu","RB",NA,NA,NA,NA,NA,NA
"39",2530690,2,7.9,0,0.4,3.3,0,0,-1,"DuJuan Harris","RB",NA,NA,NA,NA,NA,NA
"40",2530763,0,0,0,1.2,9.9,0.2,0,-1,"Patrick DiMarco","RB",NA,NA,NA,NA,NA,NA
"41",2531218,0,0,0,0,0,0,0,-1,"Chase Reynolds","RB",NA,NA,NA,NA,NA,NA
"42",2532797,2.4,7.8,0.1,0.9,6.5,0,0.1,-1,"Brandon Bolden","RB",NA,NA,NA,NA,NA,NA
"43",2532864,0,0,0,0,0,0,0,-1,"Dan Herron","RB",NA,NA,NA,NA,NA,NA
"44",2532899,18.1,86.6,0.3,2.2,16.8,0.1,0.3,-1,"Doug Martin","RB",NA,NA,NA,NA,NA,NA
"45",2533032,0,0,0,0,0,0,0,-1,"Trent Richardson","RB",NA,NA,NA,NA,NA,NA
"46",2533034,17.4,79.6,0.6,2.9,25.3,0.1,0.2,-1,"Lamar Miller","RB",NA,NA,NA,NA,NA,NA
"47",2533437,0,0,0,0,0,0,0,-1,"Ronnie Hillman","RB",NA,NA,NA,NA,NA,NA
"48",2533457,6.7,33.8,0.3,0.5,3.7,0,0.1,-1,"Alfred Morris","RB",NA,NA,NA,NA,NA,NA
