,player,position,Fantasy Points,FP deviation
13,Rob Gronkowski,TE,15.245,2.3038467831
47,Jordan Reed,TE,15.1483333333,2.28225692389
53,Travis Kelce,TE,12.2585714286,4.65013056652
25,Greg Olsen,TE,12.0214285714,2.39787008664
30,Antonio Gates,TE,11.6971428571,3.24284193409
31,Jason Witten,TE,11.6271428571,1.18512607326
1,Gary Barnidge,TE,11.5414285714,5.28531118154
37,Coby Fleener,TE,11.2883333333,1.65579487457
23,Julius Thomas,TE,10.865,2.60125931041
29,Delanie Walker,TE,10.7328571429,3.16658972338
17,Charles Clay,TE,9.94333333333,2.34874150699
46,Zach Ertz,TE,9.59285714286,2.54146751757
2,Martellus Bennett,TE,9.39833333333,3.5034235637
8,Zach Miller,TE,8.80166666667,0.830046183454
38,Dwayne Allen,TE,8.74714285714,3.18482189081
24,Kyle Rudolph,TE,8.17285714286,2.62614238181
73,Clive Walford,TE,8.07666666667,2.1318692893
4,Jared Cook,TE,7.725,0.772703047749
61,Eric Ebron,TE,7.57,3.25125821798
51,Vance McDonald,TE,7.33142857143,3.49464079495
20,Jordan Cameron,TE,7.275,1.04523203166
79,Tyler Kroft,TE,7.144,1.93135444701
0,Jacob Tamme,TE,7.11,1.8739050136
80,Jesse James,TE,6.83333333333,1.84840111087
21,Virgil Green,TE,6.395,0.991740893581
66,Crockett Gillmore,TE,6.04833333333,2.20359176498
43,Larry Donnell,TE,5.97333333333,2.31745262447
71,Cameron Brate,TE,5.79833333333,1.44845319796
86,Will Tye,TE,5.78666666667,0.64400828152
58,Luke Willson,TE,5.65428571429,2.62980263609
64,Austin Seferian-Jenkins,TE,5.60833333333,1.69642467167
18,Lance Kendricks,TE,5.495,1.8822194346
59,Ryan Griffin,TE,4.895,1.14152091527
55,Darren Fells,TE,4.704,0.863990740691
11,Jimmy Graham,TE,4.638,2.74263012453
52,Jack Doyle,TE,4.515,1.64419179741
32,Brent Celek,TE,4.37333333333,1.36759155696
45,Mychal Rivera,TE,4.25333333333,1.53713586474
40,Garrett Celek,TE,4.052,1.04688585815
92,Austin Hooper,TE,3.7375,0.469139282801
33,Kellen Davis,TE,3.314,1.38442406798
76,Maxx Williams,TE,3.284,1.83339302933
65,C.J. Fiedorowicz,TE,3.124,1.02926187144
12,Jermaine Gresham,TE,3.058,0.661906337785
60,Josh Hill,TE,2.98,1.94345911543
90,Hunter Henry,TE,2.96,1.04722490421
48,Dion Sims,TE,2.946,1.55899967928
91,Tyler Higbee,TE,2.884,1.45865691648
26,Vernon Davis,TE,2.876,1.2006165083
15,Dennis Pitta,TE,2.84,2.33615068007
74,Jeff Heuerman,TE,2.8125,1.07589884903
9,Ed Dickson,TE,2.78,0.520448524512
50,Gavin Escobar,TE,2.656,1.80374055784
28,Marcedes Lewis,TE,2.53666666667,0.711467966016
36,Rhett Ellison,TE,2.4825,1.45735776893
27,Anthony Fasano,TE,2.344,0.75208377193
22,Lee Smith,TE,2.01,2.26468540862
77,Blake Bell,TE,1.93,1.03720779018
78,C.J. Uzomah,TE,1.744,2.21939856718
57,Demetrius Harris,TE,1.606,1.72746345837
82,James OShaughnessy,TE,1.57,2.58127875287
95,Cole Wick,TE,1.48,1.81778986684
10,Jim Dray,TE,1.47,1.62798443891
67,Trey Burton,TE,1.2725,1.48133667116
19,Luke Stocker,TE,1.144,1.6159146017
84,Khari Lee,TE,1.075,1.52027957955
44,Brandon Williams,TE,0.833333333333,1.23322071558
81,Randall Telfer,TE,0.8225,0.712103690951
49,Levine Toilolo,TE,0.734,0.757614677788
14,Clay Harbor,TE,0.6675,0.687961966003
62,Jace Amaro,TE,0.6075,0.810118304118
39,Cory Harkey,TE,0.6,0.871779788708
63,Troy Niklas,TE,0.505,0.407635458059
6,David Johnson,TE,0.4975,0.277893864632
7,Brandon Myers,TE,0.466666666667,0.808290376865
41,Phillip Supernaw,TE,0.31,0.62
5,John Phillips,TE,0.2775,0.187149672722
54,MarQueis Gray,TE,0.26,0.314801524774
75,Nick OLeary,TE,0.2375,0.246627249103
70,Asante Cleveland,TE,0.235,0.332340187158
93,Temarrick Hemingway,TE,0.19,0.212837966538
89,Jerell Adams,TE,0.186666666667,0.323316150746
88,David Morgan,TE,0.183333333333,0.1960442127
42,Sean McGrath,TE,0.0733333333333,0.127017059222
34,Logan Paulsen,TE,0.0166666666667,0.0288675134595
16,Tony Moeaki,TE,0.0,0.0
85,Mitchell Henry,TE,0.0,0.0
72,Jerome Cunningham,TE,0.0,0.0
87,Brian Parker,TE,0.0,0.0
68,Nic Jacobs,TE,0.0,0.0
35,Rob Housler,TE,0.0,0.0
69,Marcel Jensen,TE,0.0,0.0
3,Chase Coffman,TE,0.0,0.0
56,Ifeanyi Momah,TE,0.0,0.0
94,Stephen Anderson,TE,0.0,0.0
83,Geoff Swaim,TE,0.0,0.0
