,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
3,Panthers,DST,8.7,0.282842712475,8.13431457505,9.26568542495,8.69770084563,8.7
15,Chiefs,DST,8.35,1.20208152802,5.94583694397,10.754163056,8.30662386292,8.35
13,Colts,DST,7.65,0.777817459305,6.09436508139,9.20563491861,7.63020314277,7.65
24,Cardinals,DST,7.35,0.0707106781187,7.20857864376,7.49142135624,7.34982993001,7.35
10,Packers,DST,7.25,0.212132034356,6.82573593129,7.67426406871,7.24844810977,7.25
28,Seahawks,DST,7.2,1.41421356237,4.37157287525,10.0284271247,7.13021738799,7.2
5,Bengals,DST,7.05,0.353553390593,6.34289321881,7.75710678119,7.04556598152,7.05
25,Steelers,DST,6.65,0.919238815543,4.81152236891,8.48847763109,6.61815684311,6.65
8,Broncos,DST,6.6,1.69705627485,3.2058874503,9.9941125497,6.48999229584,6.6
12,Texans,DST,6.55,0.0707106781187,6.40857864376,6.69142135624,6.54980915753,6.55
16,Raiders,DST,6.45,0.636396103068,5.17720779386,7.72279220614,6.43428317686,6.45
18,Vikings,DST,6.45,1.34350288425,3.76299423149,9.13700576851,6.37965516309,6.45
19,Patriots,DST,6.35,1.48492424049,3.38015151902,9.31984848098,6.26258732474,6.35
9,Lions,DST,6.3,1.55563491861,3.18873016278,9.41126983722,6.20322496771,6.3
29,Buccaneers,DST,6.05,1.9091883092,2.23162338159,9.86837661841,5.89745707911,6.05
23,Eagles,DST,6.0,0.989949493661,4.02010101268,7.97989898732,5.95902676618,6.0
2,Bills,DST,5.8,0.424264068712,4.95147186258,6.64852813742,5.79223618303,5.8
30,Redskins,DST,5.75,1.48492424049,2.78015151902,8.71984848098,5.65331761004,5.75
22,Jets,DST,5.5,1.1313708499,3.2372583002,7.7627416998,5.44150714417,5.5
14,Jaguars,DST,5.35,1.48492424049,2.38015151902,8.31984848098,5.24595081944,5.35
11,Titans,DST,5.25,1.48492424049,2.28015151902,8.21984848098,5.14392845984,5.25
4,Bears,DST,5.05,0.919238815543,3.21152236891,6.88847763109,5.00799361022,5.05
6,Browns,DST,5.0,1.69705627485,1.6058874503,8.3941125497,4.8538644398,5.0
20,Saints,DST,4.95,2.33345237792,0.283095244169,9.61690475583,4.66690475583,4.95
7,Cowboys,DST,4.9,1.1313708499,2.6372583002,7.1627416998,4.83425278611,4.9
21,Giants,DST,4.8,0.282842712475,4.23431457505,5.36568542495,4.79583152331,4.8
0,Falcons,DST,4.75,1.62634559673,1.49730880654,8.00269119346,4.60868744872,4.75
1,Ravens,DST,4.7,0.565685424949,3.5686291501,5.8313708499,4.68294778959,4.7
26,Chargers,DST,4.7,0.989949493661,2.72010101268,6.67989898732,4.64758001545,4.7
17,Dolphins,DST,4.05,1.76776695297,0.514466094067,7.58553390593,3.85227205685,4.05
27,49ers,DST,3.8,0.565685424949,2.6686291501,4.9313708499,3.77888872554,3.8
