,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
21,Drew Brees,QB,20.5622857143,4.00889069088,12.5445043325,28.580067096,20.209066266621996,19.846
28,Ben Roethlisberger,QB,20.19625,4.87497298894,10.4463040221,29.9461959779,19.5374031150599,21.876
43,Russell Wilson,QB,19.8228571429,4.1873050772,11.4482469885,28.1974672973,19.337877447763248,21.09
5,Matthew Stafford,QB,19.4462857143,3.54815659718,12.3499725199,26.5425989086,19.151863076658795,19.37
44,Andrew Luck,QB,19.3634285714,5.37246122546,8.61850612051,30.1083510223,18.70439872146339,20.81
2,Matt Ryan,QB,19.072,1.45801691805,16.1559661639,21.9880338361,19.025724183652216,18.7
31,Aaron Rodgers,QB,18.8202857143,4.64611901535,9.52804768359,28.112523745,18.10598330034607,20.96
58,Derek Carr,QB,18.619,3.40564631164,11.8077073767,25.4302926233,18.29533004430248,19.708
18,Cam Newton,QB,18.362,6.59559398387,5.17081203227,31.5531879677,16.468315329020733,20.32
38,Kirk Cousins,QB,18.3086666667,3.3815827458,11.5455011751,25.0718321583,18.015390347398068,18.399
26,Eli Manning,QB,17.4488571429,4.19793327836,9.05299058615,25.8447236996,16.889742619033292,17.71
67,Jameis Winston,QB,17.266,3.22233530223,10.8213293955,23.7106706045,16.953160503966533,18.306
14,Tyrod Taylor,QB,17.2622857143,5.39437626034,6.47353319361,28.051038235,16.207155624490067,18.21
29,Philip Rivers,QB,17.02,2.75154695883,11.5169060823,22.5230939177,16.84335090431946,17.086
65,Jimmy Garoppolo,QB,16.9863333333,2.35692186266,12.272489608,21.7001770586,16.845214732521892,17.259
56,Blake Bortles,QB,16.4153333333,5.19902616522,6.01728100289,26.8133856638,15.329182818875603,17.637
24,Carson Palmer,QB,16.2542857143,3.51943639969,9.21541291492,23.2931585137,15.870801524829378,18.13
74,Dak Prescott,QB,16.1,3.81559389873,8.46881220255,23.7311877975,15.65235101410092,17.668
47,Brock Osweiler,QB,15.9266666667,4.08405341134,7.75855984399,24.0947734893,15.354073738107575,17.604
35,Ryan Fitzpatrick,QB,15.7636666667,3.16767811917,9.42831042833,22.099022905,15.443852581876362,16.901
30,Alex Smith,QB,15.7108571429,4.11505007781,7.48075698724,23.9409572985,15.175098743977705,16.38
10,Andy Dalton,QB,15.458,1.60827443761,12.2414511248,18.6745488752,15.386737242880194,15.5
