,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
110,Todd Gurley,RB,18.515,1.38083670287,15.7533265943,21.2766734057,18.472182723246323,18.46
33,Adrian Peterson,RB,17.9128571429,4.4737967257,8.96526369146,26.8604505943,17.473650285910246,16.79
45,Lamar Miller,RB,17.5266666667,3.73048879728,10.0656890721,24.9876442612,17.24960819233682,16.205
130,Ezekiel Elliott,RB,17.2716666667,4.84912122623,7.57342421421,26.9699091191,16.81876639133682,15.575
28,DeAngelo Williams,RB,17.1783333333,3.51248867139,10.1533559905,24.2033106761,16.899780010561912,16.64
81,Devonta Freeman,RB,16.97,2.30104324166,12.3679135167,21.5720864833,16.84777756185458,16.31
118,David Johnson,RB,16.7366666667,2.44817210724,11.8403224522,21.6330108811,16.603131185751305,15.965
43,Doug Martin,RB,15.5071428571,2.79881947903,9.90950389909,21.1047818152,15.30907862051856,14.34
22,Mark Ingram,RB,14.9914285714,2.41953458728,10.1523593969,19.830497746,14.83072308636943,15.27
76,Latavius Murray,RB,14.6366666667,2.02913446244,10.5783977418,18.6949355915,14.52598938812321,14.08
9,LeSean McCoy,RB,14.5733333333,3.74287411846,7.08758509641,22.0590815703,14.200017335240451,14.095
69,Eddie Lacy,RB,13.5028571429,2.24947930483,9.0038985332,18.0018157525,13.35559781940502,12.35
17,DeMarco Murray,RB,13.1666666667,3.27363813924,6.61939038819,19.7139429451,12.855184310763578,12.595
71,Spencer Ware,RB,13.0766666667,3.91198500338,5.25269665991,20.9006366734,12.49457238110185,12.965
1,Matt Forte,RB,12.6916666667,1.37325040203,9.94516586261,15.4381674707,12.630398950012724,12.82
13,Ryan Mathews,RB,12.5866666667,2.19524637949,8.19617390769,16.9771594256,12.431786680746658,11.88
89,Carlos Hyde,RB,11.4616666667,1.84916647889,7.76333370888,15.1599996245,11.324544791007165,11.665
104,Jeremy Langford,RB,11.1866666667,1.85390039287,7.47886588094,14.8944674524,11.062918518990898,10.725
30,Frank Gore,RB,11.0366666667,1.40525679741,8.22615307185,13.8471802615,10.965898593956137,10.44
68,Giovani Bernard,RB,10.8542857143,1.37214985993,8.10998599443,13.5985854341,10.786864066845556,10.5
8,Arian Foster,RB,10.81,3.40173485151,4.00653029697,17.613469703,10.452816778794496,9.61
108,Melvin Gordon,RB,10.7516666667,1.50350811992,7.74465042683,13.7586829065,10.666532133186337,10.655
106,Duke Johnson,RB,10.7183333333,1.63069821447,7.4569369044,13.9797297623,10.607678209366163,10.69
7,Rashad Jennings,RB,10.69,1.15026953363,8.38946093274,12.9905390673,10.633035116903645,11.235
75,C.J. Anderson,RB,10.59,5.32003132823,-0.0500626564571,21.2300626565,12.138971101111716,11.41
84,Jeremy Hill,RB,10.2516666667,4.20250123934,1.84666418798,18.6566691453,9.696944881982509,9.365
