,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
13,Rob Gronkowski,TE,15.245,2.3038467831,10.6373064338,19.8526935662,15.101966784305327,14.48
47,Jordan Reed,TE,15.1483333333,2.28225692389,10.5838194855,19.7128471811,14.999670415929822,15.33
53,Travis Kelce,TE,12.2585714286,4.65013056652,2.95831029552,21.5588325616,10.8396289854729,13.19
25,Greg Olsen,TE,12.0214285714,2.39787008664,7.22568839816,16.8171687447,11.828199829125992,11.73
30,Antonio Gates,TE,11.6971428571,3.24284193409,5.21145898895,18.1828267253,11.383361551774717,10.25
31,Jason Witten,TE,11.6271428571,1.18512607326,9.25689071062,13.9973950037,11.578658494524182,11.24
1,Gary Barnidge,TE,11.5414285714,5.28531118154,0.970806208348,22.1120509345,7.314638151206594,12.85
37,Coby Fleener,TE,11.2883333333,1.65579487457,7.97674358418,14.5999230825,11.180394579334116,11.38
23,Julius Thomas,TE,10.865,2.60125931041,5.66248137918,16.0675186208,10.631307204822736,10.225
29,Delanie Walker,TE,10.7328571429,3.16658972338,4.39967769611,17.0660365896,10.080524012517863,11.57
17,Charles Clay,TE,9.94333333333,2.34874150699,5.24585031935,14.6408163473,9.74756190032106,9.135
46,Zach Ertz,TE,9.59285714286,2.54146751757,4.50992210772,14.675792178,9.163989853850815,10.74
2,Martellus Bennett,TE,9.39833333333,3.5034235637,2.39148620594,16.4051804607,8.940926974752301,8.88
8,Zach Miller,TE,8.80166666667,0.830046183454,7.14157429976,10.4617590336,8.766292463788508,9.16
38,Dwayne Allen,TE,8.74714285714,3.18482189081,2.37749907552,15.1167866388,8.264756315746185,8.96
24,Kyle Rudolph,TE,8.17285714286,2.62614238181,2.92057237924,13.4251419065,7.899619236699532,7.6
73,Clive Walford,TE,8.07666666667,2.1318692893,3.81292808806,12.3404052453,7.797768905062507,8.49
4,Jared Cook,TE,7.725,0.772703047749,6.1795939045,9.2704060955,7.692112089603065,7.805
61,Eric Ebron,TE,7.57,3.25125821798,1.06748356403,14.072516436,6.669234730963433,8.405
51,Vance McDonald,TE,7.33142857143,3.49464079495,0.342146981533,14.3207101613,6.527168906836755,6.99
20,Jordan Cameron,TE,7.275,1.04523203166,5.18453593669,9.36546406331,7.211060634281807,7.555
79,Tyler Kroft,TE,7.144,1.93135444701,3.28129110597,11.006708894,6.961059462154086,6.54
0,Jacob Tamme,TE,7.11,1.8739050136,3.3621899728,10.8578100272,6.898483017499406,6.75
80,Jesse James,TE,6.83333333333,1.84840111087,3.13653111159,10.5301355551,6.54704539026736,7.5
21,Virgil Green,TE,6.395,0.991740893581,4.41151821284,8.37848178716,6.324170144316217,6.625
66,Crockett Gillmore,TE,6.04833333333,2.20359176498,1.64114980338,10.4555168633,5.708076986292854,5.775
43,Larry Donnell,TE,5.97333333333,2.31745262447,1.33842808439,10.6082385823,5.519436253306371,6.38
71,Cameron Brate,TE,5.79833333333,1.44845319796,2.90142693742,8.69523972924,5.633084254378993,5.91
86,Will Tye,TE,5.78666666667,0.64400828152,4.49865010363,7.07468322971,5.755779017625348,5.97
58,Luke Willson,TE,5.65428571429,2.62980263609,0.394680442115,10.9138909865,5.008159341697717,5.78
64,Austin Seferian-Jenkins,TE,5.60833333333,1.69642467167,2.21548398998,9.00118267668,5.318062958410295,5.9
18,Lance Kendricks,TE,5.495,1.8822194346,1.73056113079,9.25943886921,5.178071773397979,5.585
59,Ryan Griffin,TE,4.895,1.14152091527,2.61195816946,7.17804183054,4.7644251550350205,5.465
55,Darren Fells,TE,4.704,0.863990740691,2.97601851862,6.43198148138,4.641461180912694,4.69
11,Jimmy Graham,TE,4.638,2.74263012453,-0.847260249067,10.1232602491,5.727293193450998,5.3
52,Jack Doyle,TE,4.515,1.64419179741,1.22661640518,7.80338359482,4.315802692216619,4.065
32,Brent Celek,TE,4.37333333333,1.36759155696,1.63815021941,7.10851644725,4.2128087109292,4.095
45,Mychal Rivera,TE,4.25333333333,1.53713586474,1.17906160386,7.32760506281,4.028459539246427,4.065
40,Garrett Celek,TE,4.052,1.04688585815,1.95822828369,6.14577171631,3.9626012603590586,3.64
92,Austin Hooper,TE,3.7375,0.469139282801,2.7992214344,4.6757785656,3.7156542356792595,3.7
33,Kellen Davis,TE,3.314,1.38442406798,0.545151864042,6.08284813596,2.9983885236924404,3.78
76,Maxx Williams,TE,3.284,1.83339302933,-0.382786058662,6.95078605866,2.614771714374959,3.1
65,C.J. Fiedorowicz,TE,3.124,1.02926187144,1.06547625712,5.18252374288,2.968439352016397,3.31
12,Jermaine Gresham,TE,3.058,0.661906337785,1.73418732443,4.38181267557,3.0044927784436015,2.83
60,Josh Hill,TE,2.98,1.94345911543,-0.906918230852,6.86691823085,3.1926655323176676,2.26
90,Hunter Henry,TE,2.96,1.04722490421,0.865550191578,5.05444980842,2.778087013505077,3.285
48,Dion Sims,TE,2.946,1.55899967928,-0.171999358563,6.06399935856,2.5322573845412193,3.55
91,Tyler Higbee,TE,2.884,1.45865691648,-0.0333138329635,5.80131383296,2.5826291363868283,3.04
26,Vernon Davis,TE,2.876,1.2006165083,0.474766983402,5.2772330166,2.590010496018388,2.82
15,Dennis Pitta,TE,2.84,2.33615068007,-1.83230136014,7.51230136014,2.071486301473928,2.42
74,Jeff Heuerman,TE,2.8125,1.07589884903,0.66070230195,4.96429769805,2.6480727355037406,2.79
9,Ed Dickson,TE,2.78,0.520448524512,1.73910295098,3.82089704902,2.746285614667371,2.625
50,Gavin Escobar,TE,2.656,1.80374055784,-0.951481115682,6.26348111568,2.3203982221516184,1.73
28,Marcedes Lewis,TE,2.53666666667,0.711467966016,1.11373073464,3.9596025987,2.4670535858665947,2.385
36,Rhett Ellison,TE,2.4825,1.45735776893,-0.432215537864,5.39721553786,2.0962115292382766,2.685
27,Anthony Fasano,TE,2.344,0.75208377193,0.839832456141,3.84816754386,2.2291339081225505,2.46
22,Lee Smith,TE,2.01,2.26468540862,-2.51937081723,6.53937081723,1.3268170488270459,1.05
77,Blake Bell,TE,1.93,1.03720779018,-0.14441558035,4.00441558035,1.5741834936674755,2.265
78,C.J. Uzomah,TE,1.744,2.21939856718,-2.69479713436,6.18279713436,1.0744140449687953,0.39
57,Demetrius Harris,TE,1.606,1.72746345837,-1.84892691674,5.06092691674,1.019184122254481,0.88
82,James OShaughnessy,TE,1.57,2.58127875287,-3.59255750573,6.73255750573,0.9913052877465094,0.425
95,Cole Wick,TE,1.48,1.81778986684,-2.15557973369,5.11557973369,1.5758037523144819,0.78
10,Jim Dray,TE,1.47,1.62798443891,-1.78596887782,4.72596887782,0.9850724147394663,0.805
67,Trey Burton,TE,1.2725,1.48133667116,-1.69017334233,4.23517334233,0.3994408855082634,1.135
19,Luke Stocker,TE,1.144,1.6159146017,-2.08782920341,4.37582920341,0.4579771411645482,0.63
84,Khari Lee,TE,1.075,1.52027957955,-1.9655591591,4.1155591591,2.1500000000000004,1.075
44,Brandon Williams,TE,0.833333333333,1.23322071558,-1.63310809782,3.29977476449,0.75,0.25
81,Randall Telfer,TE,0.8225,0.712103690951,-0.601707381903,2.2467073819,0.9720373799462934,0.9
49,Levine Toilolo,TE,0.734,0.757614677788,-0.781229355576,2.24922935558,0.6518760227459042,0.66
14,Clay Harbor,TE,0.6675,0.687961966003,-0.708423932006,2.04342393201,0.6298664367904806,0.65
