,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
44,Antonio Brown,WR,25.094,4.8981761912,15.2976476176,34.8903523824,24.650190194345782,27.39
30,Julio Jones,WR,23.238,2.89447231806,17.4490553639,29.0269446361,23.086202884864363,24.65
103,Odell Beckham,WR,20.2775,2.10003769807,16.0774246039,24.4775753961,20.200548689117312,19.47
85,DeAndre Hopkins,WR,18.142,5.37946279846,7.38307440308,28.9009255969,17.33761309911623,18.76
16,Dez Bryant,WR,17.96,5.36671221513,7.22657556974,28.6934244303,17.383755844635267,16.56
33,Brandon Marshall,WR,17.165,1.55156909826,14.0618618035,20.2681381965,17.11206928126804,17.245
139,Amari Cooper,WR,16.9075,1.08389344495,14.7397131101,19.0752868899,16.881778911632146,16.775
28,A.J. Green,WR,16.446,1.84954859358,12.7469028128,20.1450971872,16.360756922455693,16.31
106,Allen Robinson,WR,16.14,1.10281458097,13.9343708381,18.3456291619,16.111352031896995,16.245
22,Demaryius Thomas,WR,15.982,2.34864216091,11.2847156782,20.6792843218,15.85275540745286,14.58
104,Brandin Cooks,WR,15.6975,0.80388121013,14.0897375797,17.3052624203,15.681808851475747,15.82
97,Mike Evans,WR,15.595,0.837078252017,13.920843496,17.269156504,15.577976735153785,15.665
37,Larry Fitzgerald,WR,15.494,2.8924436036,9.7091127928,21.2788872072,15.28816343361403,15.19
100,Jarvis Landry,WR,15.4775,1.36685466187,12.7437906763,18.2112093237,15.43088105180402,15.68
3,Jordy Nelson,WR,15.406,1.93472995532,11.5365400894,19.2754599106,15.308360188845477,14.95
18,Eric Decker,WR,15.26,0.974576831245,13.3108463375,17.2091536625,15.237396371240248,14.945
56,T.Y. Hilton,WR,15.068,0.984159539912,13.0996809202,17.0363190798,15.041523476759705,15.26
96,Sammy Watkins,WR,15.02,0.942938668914,13.1341226622,16.9058773378,14.997190233659895,15.245
64,Alshon Jeffery,WR,14.672,2.93093329846,8.81013340309,20.5338665969,14.3906053116522,15.52
21,Golden Tate,WR,14.585,0.696969631094,13.1910607378,15.9789392622,14.572672797503095,14.475
27,Randall Cobb,WR,14.138,2.01632586652,10.105348267,18.170651733,14.00822045345146,14.9
105,Jordan Matthews,WR,14.09,1.07836295683,11.9332740863,16.2467259137,14.059104222470575,14.04
108,Donte Moncrief,WR,13.845,0.543599116997,12.757801766,14.932198234,13.836820855283708,14.045
84,Keenan Allen,WR,13.766,4.74986631391,4.26626737218,23.2657326278,12.74901465085463,15.79
