,player,position,Fantasy Points,FP deviation
8,Broncos,DST,8.55,0.919238815543
3,Panthers,DST,8.3,1.55563491861
19,Patriots,DST,7.6,0.989949493661
24,Cardinals,DST,7.35,2.05060966544
15,Chiefs,DST,7.35,0.353553390593
5,Bengals,DST,7.15,0.636396103068
13,Colts,DST,6.95,0.636396103068
1,Ravens,DST,6.9,0.0
16,Raiders,DST,6.8,1.97989898732
28,Seahawks,DST,6.75,0.636396103068
30,Redskins,DST,6.4,0.0
25,Steelers,DST,6.35,0.494974746831
10,Packers,DST,6.3,1.41421356237
9,Lions,DST,6.1,1.41421356237
12,Texans,DST,6.0,1.1313708499
21,Giants,DST,5.85,2.75771644663
11,Titans,DST,5.8,0.707106781187
22,Jets,DST,5.8,
14,Jaguars,DST,5.75,0.919238815543
18,Vikings,DST,5.5,0.707106781187
29,Buccaneers,DST,5.5,2.68700576851
20,Saints,DST,5.25,2.75771644663
17,Dolphins,DST,5.15,0.636396103068
0,Falcons,DST,5.15,1.34350288425
23,Eagles,DST,5.0,
26,Chargers,DST,4.95,2.05060966544
7,Cowboys,DST,4.6,0.848528137424
6,Browns,DST,4.55,3.18198051534
4,Bears,DST,4.4,
2,Bills,DST,4.2,
27,49ers,DST,2.55,0.919238815543
