,player,position,Fantasy Points,FP deviation
21,Drew Brees,QB,23.3596666667,3.01443232909
18,Cam Newton,QB,23.1968571429,3.41626869692
26,Eli Manning,QB,21.0496666667,3.16647878039
43,Russell Wilson,QB,20.0803333333,1.65837048535
31,Aaron Rodgers,QB,20.0333333333,2.26692731835
5,Matthew Stafford,QB,19.8383333333,1.36972955968
24,Carson Palmer,QB,19.7473333333,4.83630514615
56,Blake Bortles,QB,19.7206666667,1.11593882748
29,Philip Rivers,QB,19.5745714286,3.2655383863
58,Derek Carr,QB,19.301,2.83657391936
28,Ben Roethlisberger,QB,18.3406666667,2.59182736051
38,Kirk Cousins,QB,18.2744,0.546818799969
65,Jimmy Garoppolo,QB,18.0068,1.14134534651
69,Marcus Mariota,QB,17.836,0.479922910476
44,Andrew Luck,QB,17.399,2.5424223882
67,Jameis Winston,QB,17.1008,0.963999585062
2,Matt Ryan,QB,16.8853333333,1.43349233227
3,Joe Flacco,QB,16.8726666667,2.34206120045
35,Ryan Fitzpatrick,QB,16.534,0.829838538512
10,Andy Dalton,QB,16.3753333333,2.94613473328
14,Tyrod Taylor,QB,16.1108,0.661405473216
41,Ryan Tannehill,QB,15.8753333333,1.4287301588
74,Dak Prescott,QB,15.718,1.58129440649
20,Jay Cutler,QB,15.64,1.76777917173
46,Brock Osweiler,QB,14.8076,1.17485692746
73,Carson Wentz,QB,14.7104,1.83969095231
30,Alex Smith,QB,14.6316666667,1.51753084538
16,Blaine Gabbert,QB,14.43,1.78127987694
23,Josh McCown,QB,14.0932,2.47342944108
8,Sam Bradford,QB,12.3685,0.491043446822
72,Trevor Siemian,QB,11.4792,3.32446765663
40,Case Keenum,QB,9.0056,2.79378896841
12,Colin Kaepernick,QB,6.8905,10.3125842057
52,Geno Smith,QB,4.7375,5.56712094953
77,Paxton Lynch,QB,4.21133333333,4.25638547753
22,Shaun Hill,QB,3.267,6.24991295939
0,Chad Henne,QB,2.648,4.90265152749
7,Brian Hoyer,QB,1.41866666667,2.11955687193
9,Colt McCoy,QB,1.06666666667,1.57948641442
4,Mark Sanchez,QB,1.0485,1.13971736262
57,AJ McCarron,QB,0.75,1.0169306761
55,Matt McGloin,QB,0.742666666667,1.16547901454
50,Mike Glennon,QB,0.691333333333,0.922041936863
51,Landry Jones,QB,0.680666666667,0.60518537105
39,Nick Foles,QB,0.602666666667,0.839052640383
34,Matt Cassel,QB,0.546,0.600039998667
32,Dan Orlovsky,QB,0.525333333333,0.789778027887
70,Sean Mannion,QB,0.473333333333,0.424854484893
61,Tom Savage,QB,0.468,0.721243370853
83,Trevone Boykin,QB,0.464666666667,0.818839015517
6,Chase Daniel,QB,0.435333333333,0.748936134349
15,Scott Tolzien,QB,0.348,0.517857123153
17,Ryan Mallett,QB,0.306,0.291321128654
36,Kellen Clemens,QB,0.288,0.327829223835
53,Ryan Nassib,QB,0.252,0.291176922162
49,E.J. Manuel,QB,0.244,0.158037970121
19,Drew Stanton,QB,0.138,0.164292422223
80,Cody Kessler,QB,0.134,0.178190908859
25,Matt Schaub,QB,0.115333333333,0.0748954827298
79,Jared Goff,QB,0.100666666667,0.174359781295
37,Matt Moore,QB,0.088,0.0916515138991
75,Jacoby Brissett,QB,0.0593333333333,0.102768347916
60,Zach Mettenberger,QB,0.0493333333333,0.0854478398401
27,Luke McCown,QB,0.047,0.0631928265971
33,Derek Anderson,QB,0.0425,0.0438596245614
71,Brett Hundley,QB,0.0366666666667,0.047930505248
68,Bryce Petty,QB,0.00666666666667,0.0115470053838
45,Austin Davis,QB,0.00133333333333,0.00230940107676
82,Cardale Jones,QB,0.0,0.0
81,Christian Hackenberg,QB,0.0,0.0
47,Alex Tanney,QB,0.0,0.0
78,Connor Cook,QB,0.0,0.0
54,Ryan Griffin,QB,0.0,0.0
76,Jeff Driskel,QB,0.0,0.0
59,Aaron Murray,QB,0.0,0.0
11,Jerrod Johnson,QB,0.0,0.0
13,Christian Ponder,QB,0.0,0.0
1,Josh Johnson,QB,0.0,0.0
48,Matt Simms,QB,0.0,0.0
66,Stephen Morris,QB,0.0,0.0
64,Keith Wenning,QB,0.0,0.0
63,Logan Thomas,QB,0.0,0.0
62,David Fales,QB,0.0,0.0
42,Brandon Weeden,QB,0.0,0.0
