"","playerId","rec","recYds","recTds","fumbles","analyst","player","position","games","rushAtt","rushYds","rushTds","rush40","rec40","returnYds","returnTds","twoPts"
"1",206,0,0,0,0,-1,"Andre Caldwell","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",222,1.1,11.9,0.1,0.1,-1,"Harry Douglas","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",318,0,0,0,0,-1,"Jerome Simpson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1032,6.4,75.5,0.8,0,-1,"Jordy Nelson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1581,4.2,55.6,0.3,0.1,-1,"DeSean Jackson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1990,4.2,39.4,0.3,0,-1,"Eddie Royal","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2346,3.5,36.3,0.2,0,-1,"Pierre Garcon","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2649,2.3,23.2,0.2,0.2,-1,"Danny Amendola","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4487,0,0,0,0,-1,"Matt Slater","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",71217,3,37.2,0.2,0,-1,"Kenny Britt","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",71269,4.9,51.3,0.5,0,-1,"Michael Crabtree","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",71417,1.8,17.6,0.1,0,-1,"Jordan Norwood","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",80427,0.3,5,0,0,-1,"Darrius Heyward-Bey","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",80429,4.8,65.9,0.6,0,-1,"Jeremy Maclin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",81306,0,0,0,0,-1,"Brandon Tate","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",238498,4.9,49.2,0.3,0.1,-1,"Julian Edelman","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",497278,4.5,59.3,0.6,0,-1,"Dez Bryant","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",497282,0,0,0,0,-1,"Riley Cooper","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",497284,4.7,61.1,0.5,0,-1,"Eric Decker","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",497302,2.8,33.5,0.1,0,-1,"Brandon LaFell","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",497322,4.7,59.4,0.3,0.1,-1,"Emmanuel Sanders","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",497326,5,49.2,0.2,0,-1,"Golden Tate","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",497328,5.3,62.9,0.3,0.1,-1,"Demaryius Thomas","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2495159,0.5,6,0.1,0,-1,"Dwayne Harris","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2495189,3.1,26,0.1,0,-1,"Jeremy Kerley","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2495223,1.7,28.5,0.2,0,-1,"Greg Salas","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2495341,1.3,16.2,0.1,0.1,-1,"Cecil Shorts","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2495448,5.6,58.8,0.4,0,-1,"Randall Cobb","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2495450,5.4,67.4,0.5,0.1,-1,"A.J. Green","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2495453,1.5,19.9,0.3,0,-1,"Andre Holmes","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2495454,7.1,105,0.5,0.1,-1,"Julio Jones","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2495459,2.6,38.3,0.2,0,-1,"Torrey Smith","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2495558,0,0,0,0,-1,"Dwayne Bowe","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2495893,5.1,68,0.4,0.1,-1,"Brandon Marshall","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2504595,3.8,45.4,0.2,0,-1,"Steve Smith","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2505551,2,24.9,0.2,0.1,-1,"Andre Johnson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2505587,2.5,29.6,0.2,0.1,-1,"Anquan Boldin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2506106,5.6,66.6,0.5,0.1,-1,"Larry Fitzgerald","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2506400,2.9,40.4,0.1,0,-1,"Vincent Jackson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2506897,0,0,0,0,-1,"Devin Hester","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2507029,0,0,0,0,-1,"Eric Weems","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2507166,1.3,20.2,0.1,0.2,-1,"Ted Ginn","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2507183,0,0,0,0,-1,"James Jones","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2507763,3.9,51.2,0.5,0,-1,"Mike Wallace","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2507855,3.4,49.7,0.4,0.2,-1,"Victor Cruz","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2508061,7.5,105,0.6,0.2,-1,"Antonio Brown","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2508097,2,20.2,0.1,0.1,-1,"Andrew Hawkins","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2508115,0,0,0,0,-1,"Vincent Brown","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2528181,0.7,7,0,0,-1,"Bryan Walters","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2530515,1.9,24.1,0.2,0,-1,"Chris Hogan","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2530598,0,0,0,0,-1,"Jeremy Ross","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2530660,0.8,9.4,0.1,0,-1,"Kamar Aiken","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2530700,2.5,31.5,0.1,0.1,-1,"Dontrelle Inman","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2530747,5.3,66.6,0.7,0,-1,"Doug Baldwin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2531332,2.7,44.6,0.2,0,-1,"Terrelle Pryor","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2532790,4.9,59.4,0.5,0.1,-1,"Travis Benjamin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
