"","playerId","rec","recYds","recTds","fumbles","analyst","player","position","games","rushAtt","rushYds","rushTds","rush40","rec40","returnYds","returnTds","twoPts"
"1",206,0,0,0,0,-1,"Andre Caldwell","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",222,1,11,0,0.1,-1,"Harry Douglas","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",318,0,0,0,0,-1,"Jerome Simpson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1032,5.9,78.7,0.6,0,-1,"Jordy Nelson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1581,3.9,56.5,0.4,0.1,-1,"DeSean Jackson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1990,3.4,30.5,0.1,0.1,-1,"Eddie Royal","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2346,3.5,40.9,0.2,0,-1,"Pierre Garcon","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2649,2.2,20.6,0.1,0.1,-1,"Danny Amendola","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4487,0,0,0,0,-1,"Matt Slater","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",71217,2.9,37.6,0.2,0,-1,"Kenny Britt","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",71269,5.6,63.1,0.6,0,-1,"Michael Crabtree","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",71417,1.5,16.2,0.1,0,-1,"Jordan Norwood","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",80427,1.8,24.6,0.1,0,-1,"Darrius Heyward-Bey","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",80429,5,63.8,0.7,0.1,-1,"Jeremy Maclin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",81306,0,0,0,0,-1,"Brandon Tate","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",238498,6.1,61.8,0.3,0.1,-1,"Julian Edelman","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",497278,5,71.3,0.7,0,-1,"Dez Bryant","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",497282,0,0,0,0,-1,"Riley Cooper","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",497284,5.1,58.2,0.5,0.1,-1,"Eric Decker","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",497302,3,39.4,0.2,0.1,-1,"Brandon LaFell","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",497322,4.8,58.5,0.4,0.2,-1,"Emmanuel Sanders","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",497326,5.3,59.5,0.3,0.1,-1,"Golden Tate","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",497328,5.3,59.6,0.4,0.2,-1,"Demaryius Thomas","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2495159,1.8,19.1,0.2,0,-1,"Dwayne Harris","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2495189,2.5,25.3,0.1,0,-1,"Jeremy Kerley","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2495223,0.4,7,0,0,-1,"Greg Salas","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2495341,1.6,19.2,0.1,0.1,-1,"Cecil Shorts","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2495448,5.2,58.4,0.4,0,-1,"Randall Cobb","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2495450,5.2,72.6,0.5,0.1,-1,"A.J. Green","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2495453,0.4,6.7,0.1,0,-1,"Andre Holmes","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2495454,9,118,0.6,0.1,-1,"Julio Jones","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2495459,3.3,59,0.3,0,-1,"Torrey Smith","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2495558,0,0,0,0,-1,"Dwayne Bowe","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2495893,5.6,69.6,0.5,0.1,-1,"Brandon Marshall","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2504595,3.8,48.1,0.3,0,-1,"Steve Smith","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2505551,2.1,25.2,0.1,0.1,-1,"Andre Johnson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2505587,2.8,31,0.2,0.1,-1,"Anquan Boldin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2506106,5.5,66.5,0.4,0.1,-1,"Larry Fitzgerald","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2506400,3.4,49.8,0.2,0,-1,"Vincent Jackson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
