,player,position,Fantasy Points,FP deviation
3,Panthers,DST,8.7,0.282842712475
15,Chiefs,DST,8.35,1.20208152802
13,Colts,DST,7.65,0.777817459305
24,Cardinals,DST,7.35,0.0707106781187
10,Packers,DST,7.25,0.212132034356
28,Seahawks,DST,7.2,1.41421356237
5,Bengals,DST,7.05,0.353553390593
25,Steelers,DST,6.65,0.919238815543
8,Broncos,DST,6.6,1.69705627485
12,Texans,DST,6.55,0.0707106781187
16,Raiders,DST,6.45,0.636396103068
18,Vikings,DST,6.45,1.34350288425
19,Patriots,DST,6.35,1.48492424049
9,Lions,DST,6.3,1.55563491861
29,Buccaneers,DST,6.05,1.9091883092
23,Eagles,DST,6.0,0.989949493661
2,Bills,DST,5.8,0.424264068712
30,Redskins,DST,5.75,1.48492424049
22,Jets,DST,5.5,1.1313708499
14,Jaguars,DST,5.35,1.48492424049
11,Titans,DST,5.25,1.48492424049
4,Bears,DST,5.05,0.919238815543
6,Browns,DST,5.0,1.69705627485
20,Saints,DST,4.95,2.33345237792
7,Cowboys,DST,4.9,1.1313708499
21,Giants,DST,4.8,0.282842712475
0,Falcons,DST,4.75,1.62634559673
1,Ravens,DST,4.7,0.565685424949
26,Chargers,DST,4.7,0.989949493661
17,Dolphins,DST,4.05,1.76776695297
27,49ers,DST,3.8,0.565685424949
