,player,position,Fantasy Points,FP deviation
21,Drew Brees,QB,20.5622857143,4.00889069088
28,Ben Roethlisberger,QB,20.19625,4.87497298894
43,Russell Wilson,QB,19.8228571429,4.1873050772
5,Matthew Stafford,QB,19.4462857143,3.54815659718
44,Andrew Luck,QB,19.3634285714,5.37246122546
2,Matt Ryan,QB,19.072,1.45801691805
31,Aaron Rodgers,QB,18.8202857143,4.64611901535
58,Derek Carr,QB,18.619,3.40564631164
18,Cam Newton,QB,18.362,6.59559398387
38,Kirk Cousins,QB,18.3086666667,3.3815827458
26,Eli Manning,QB,17.4488571429,4.19793327836
67,Jameis Winston,QB,17.266,3.22233530223
14,Tyrod Taylor,QB,17.2622857143,5.39437626034
29,Philip Rivers,QB,17.02,2.75154695883
65,Jimmy Garoppolo,QB,16.9863333333,2.35692186266
56,Blake Bortles,QB,16.4153333333,5.19902616522
24,Carson Palmer,QB,16.2542857143,3.51943639969
74,Dak Prescott,QB,16.1,3.81559389873
47,Brock Osweiler,QB,15.9266666667,4.08405341134
35,Ryan Fitzpatrick,QB,15.7636666667,3.16767811917
30,Alex Smith,QB,15.7108571429,4.11505007781
10,Andy Dalton,QB,15.458,1.60827443761
69,Marcus Mariota,QB,15.1526666667,3.79904022967
3,Joe Flacco,QB,14.7108571429,1.74488580606
20,Jay Cutler,QB,14.3891428571,1.54554407125
16,Blaine Gabbert,QB,14.1836666667,2.71797260227
45,Robert Griffin,QB,13.8973333333,3.39187727765
73,Carson Wentz,QB,13.723,4.03747658817
41,Ryan Tannehill,QB,13.4094285714,2.95840085503
72,Trevor Siemian,QB,10.7133333333,2.32893612335
40,Case Keenum,QB,10.6013333333,3.04486654333
22,Shaun Hill,QB,7.868,6.35286480259
8,Sam Bradford,QB,7.562,6.30190553193
12,Colin Kaepernick,QB,6.44,6.93384184033
23,Josh McCown,QB,5.44666666667,4.12215493806
52,Geno Smith,QB,5.1795,4.34214459302
77,Paxton Lynch,QB,4.146,4.31230472022
7,Brian Hoyer,QB,2.184,1.85403667709
4,Mark Sanchez,QB,1.946,1.5582015274
9,Colt McCoy,QB,1.794,1.42583589519
39,Nick Foles,QB,1.722,1.72303569319
50,Mike Glennon,QB,1.7,1.51477655118
34,Matt Cassel,QB,1.502,1.43631333629
57,AJ McCarron,QB,1.416,1.08517832636
49,E.J. Manuel,QB,1.17333333333,1.50689260843
55,Matt McGloin,QB,1.056,0.996176691155
17,Ryan Mallett,QB,1.014,1.13469467259
51,Landry Jones,QB,0.989333333333,0.243099430961
19,Drew Stanton,QB,0.809,0.694637555372
25,Matt Schaub,QB,0.756666666667,1.09817363533
32,Dan Orlovsky,QB,0.614,0.718183820481
0,Chad Henne,QB,0.546666666667,0.515194461668
61,Tom Savage,QB,0.531333333333,0.667953092165
83,Trevone Boykin,QB,0.514,0.781160674893
6,Chase Daniel,QB,0.481333333333,0.697757359928
53,Ryan Nassib,QB,0.472666666667,0.290284917509
80,Cody Kessler,QB,0.430666666667,0.745936547793
15,Scott Tolzien,QB,0.388,0.481547505445
36,Kellen Clemens,QB,0.335333333333,0.274286954362
70,Sean Mannion,QB,0.233333333333,0.110586316212
27,Luke McCown,QB,0.1685,0.255991536318
37,Matt Moore,QB,0.116666666667,0.0587990929635
33,Derek Anderson,QB,0.1155,0.149705265995
71,Brett Hundley,QB,0.08,0.0635295206971
75,Jacoby Brissett,QB,0.0593333333333,0.102768347916
60,Zach Mettenberger,QB,0.0493333333333,0.0854478398401
68,Bryce Petty,QB,0.00666666666667,0.0115470053838
81,Christian Hackenberg,QB,0.00666666666667,0.0115470053838
42,Brandon Weeden,QB,0.00466666666667,0.00808290376865
46,Austin Davis,QB,0.00133333333333,0.00230940107676
66,Stephen Morris,QB,0.0,0.0
64,Keith Wenning,QB,0.0,0.0
63,Logan Thomas,QB,0.0,0.0
62,David Fales,QB,0.0,0.0
13,Christian Ponder,QB,0.0,0.0
11,Jerrod Johnson,QB,0.0,0.0
59,Aaron Murray,QB,0.0,0.0
76,Jeff Driskel,QB,0.0,0.0
1,Josh Johnson,QB,0.0,0.0
78,Connor Cook,QB,0.0,0.0
79,Jared Goff,QB,0.0,0.0
48,Matt Simms,QB,0.0,0.0
82,Cardale Jones,QB,0.0,0.0
54,Ryan Griffin,QB,0.0,0.0
