,player,position,Fantasy Points,FP deviation
44,Antonio Brown,WR,25.094,4.8981761912
30,Julio Jones,WR,23.238,2.89447231806
103,Odell Beckham,WR,20.2775,2.10003769807
85,DeAndre Hopkins,WR,18.142,5.37946279846
16,Dez Bryant,WR,17.96,5.36671221513
33,Brandon Marshall,WR,17.165,1.55156909826
139,Amari Cooper,WR,16.9075,1.08389344495
28,A.J. Green,WR,16.446,1.84954859358
106,Allen Robinson,WR,16.14,1.10281458097
22,Demaryius Thomas,WR,15.982,2.34864216091
104,Brandin Cooks,WR,15.6975,0.80388121013
97,Mike Evans,WR,15.595,0.837078252017
37,Larry Fitzgerald,WR,15.494,2.8924436036
100,Jarvis Landry,WR,15.4775,1.36685466187
3,Jordy Nelson,WR,15.406,1.93472995532
18,Eric Decker,WR,15.26,0.974576831245
56,T.Y. Hilton,WR,15.068,0.984159539912
96,Sammy Watkins,WR,15.02,0.942938668914
64,Alshon Jeffery,WR,14.672,2.93093329846
21,Golden Tate,WR,14.585,0.696969631094
27,Randall Cobb,WR,14.138,2.01632586652
105,Jordan Matthews,WR,14.09,1.07836295683
108,Donte Moncrief,WR,13.845,0.543599116997
84,Keenan Allen,WR,13.766,4.74986631391
13,Jeremy Maclin,WR,13.685,1.49029079936
10,Michael Crabtree,WR,13.65,0.923616081858
117,John Brown,WR,12.9275,0.783469846261
6,Pierre Garcon,WR,12.78,3.39865414539
164,Corey Coleman,WR,12.7725,1.20640996349
52,Doug Baldwin,WR,12.754,3.76845857082
57,Marvin Jones,WR,12.4325,1.1204872452
4,DeSean Jackson,WR,12.1,1.24153131253
20,Emmanuel Sanders,WR,12.065,0.868504461704
15,Julian Edelman,WR,12.006,4.25116807478
143,Stefon Diggs,WR,11.9275,0.936709666866
119,Willie Snead,WR,11.765,1.43230583326
31,Torrey Smith,WR,11.52,0.871818023825
55,Michael Floyd,WR,11.492,1.43915600266
134,Tyler Lockett,WR,11.415,1.78776396652
79,Tavon Austin,WR,11.4075,1.59809000581
38,Vincent Jackson,WR,11.332,3.20467939114
161,Sterling Shepard,WR,11.1825,1.18370534059
34,Steve Smith,WR,11.1175,1.02180803807
98,Kelvin Benjamin,WR,11.0925,0.847599551675
123,Allen Hurns,WR,10.9925,1.37390865781
60,Rishard Matthews,WR,10.3625,2.20790058653
54,Travis Benjamin,WR,10.1075,0.521368391831
78,Markus Wheaton,WR,10.044,1.62996318977
65,Mohamed Sanu,WR,10.015,1.67061864789
50,Kamar Aiken,WR,9.8225,0.980964661273
131,Phillip Dorsett,WR,9.5075,1.10942552702
9,Kenny Britt,WR,9.395,0.996443676281
53,Terrelle Pryor,WR,9.1425,1.50944526234
178,Michael Thomas,WR,8.9625,2.01140705312
165,Will Fuller,WR,8.925,1.64662280643
43,Victor Cruz,WR,8.704,5.91672460066
87,Kenny Stills,WR,8.685,2.39040442882
36,Anquan Boldin,WR,8.5325,1.13167648498
136,Devin Funchess,WR,8.3675,1.49834074896
58,Jermaine Kearse,WR,8.25,1.27140342404
75,Terrance Williams,WR,8.234,1.9207238219
7,Danny Amendola,WR,8.222,7.22674338828
162,Tajae Sharpe,WR,8.1675,0.623985843857
86,Robert Woods,WR,8.064,0.922024945433
170,Tyler Boyd,WR,7.9975,0.779374749399
42,Mike Wallace,WR,7.985,1.07463171986
158,Laquon Treadwell,WR,7.9,2.90122962437
76,Quinton Patton,WR,7.632,0.791751223554
48,Chris Hogan,WR,7.415,1.59320431835
128,Jamison Crowder,WR,7.31,1.4487465847
19,Brandon LaFell,WR,7.24,1.8333575756
126,Seth Roberts,WR,7.21,1.10661646472
40,Ted Ginn,WR,6.802,2.93133416724
153,Eli Rogers,WR,6.79,2.61983460038
144,Chris Conley,WR,6.7375,1.81281319133
142,Nelson Agholor,WR,6.67,1.45113748487
102,Davante Adams,WR,6.4575,2.74221777642
51,Dontrelle Inman,WR,6.32,2.82472417533
69,Cole Beasley,WR,6.05,3.43163226468
45,Andrew Hawkins,WR,6.0075,1.80970301431
129,Justin Hardy,WR,5.985,2.1031008852
89,Charles Johnson,WR,5.8875,3.51557842562
5,Eddie Royal,WR,5.6525,1.12218165493
35,Andre Johnson,WR,5.6475,1.8898390584
120,Albert Wilson,WR,5.455,0.917986928012
99,Marqise Lee,WR,5.37,1.58002109691
70,Rod Streater,WR,5.33666666667,1.57700137392
24,Jeremy Kerley,WR,5.325,1.96578228703
166,Braxton Miller,WR,5.2825,1.88909810933
140,Dorial Green-Beckham,WR,5.2425,1.10055667732
138,Sammie Coates,WR,4.875,2.80861175672
156,Tyrell Williams,WR,4.6225,1.4193044071
115,Quincy Enunwa,WR,4.5925,0.959109830346
159,Leonte Carroo,WR,4.22,3.26573115856
137,Jaelen Strong,WR,4.0325,1.16662976132
61,Brian Quick,WR,3.965,1.50089973016
80,Marquise Goodwin,WR,3.952,1.47631974856
141,Breshad Perriman,WR,3.7625,2.0876362231
154,Adam Humphries,WR,3.75,2.01212988315
29,Andre Holmes,WR,3.5875,2.00720992093
1,Harry Douglas,WR,3.525,0.979336510092
114,Jared Abbrederis,WR,3.5075,2.20397179353
146,J.J. Nelson,WR,3.475,1.05237825899
11,Jordan Norwood,WR,3.47,0.394208066889
121,Brandon Coleman,WR,3.4225,3.66276193603
101,Paul Richardson,WR,3.16,0.90631120483
112,Josh Huff,WR,3.105,0.920090575252
113,Ryan Grant,WR,3.1,1.82612522389
152,Bradley Marquez,WR,3.0925,2.58030198491
132,Rashad Greene,WR,2.87,1.56279663851
63,Jarius Wright,WR,2.77,1.92830236218
107,Cody Latimer,WR,2.63,1.36039210034
83,Justin Hunter,WR,2.4725,2.05167208231
125,Corey Brown,WR,2.45333333333,0.858040403089
171,Rashard Higgins,WR,2.355,1.53402520622
23,Dwayne Harris,WR,2.3225,1.45261545726
91,Adam Thielen,WR,2.295,1.43018646803
90,Brice Butler,WR,2.2925,0.774354569948
160,Malcolm Mitchell,WR,2.215,0.968039255402
179,Robby Anderson,WR,2.09,2.07545175805
