,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
43,Russell Wilson,QB,22.705,1.845,19.015,26.395,22.629913831033473,22.705
2,Matt Ryan,QB,21.0,2.7,15.6,26.4,20.825705270170328,21.0
44,Andrew Luck,QB,20.805,0.475,19.855,21.755,20.79957691877409,20.805
21,Drew Brees,QB,20.221,2.989,14.243,26.199,19.998867967962582,20.221
18,Cam Newton,QB,19.83,0.29,19.25,20.41,19.827879362150668,19.83
14,Tyrod Taylor,QB,18.819,0.809,17.201,20.437,18.801603123138197,18.819
58,Derek Carr,QB,18.085,2.075,13.935,22.235,17.96556706591807,18.085
28,Ben Roethlisberger,QB,18.033,5.077,7.879,28.187,17.303559171453717,18.033
31,Aaron Rodgers,QB,18.013,3.167,11.679,24.347,17.732407619948283,18.013
30,Alex Smith,QB,17.803,1.623,14.557,21.049,17.728865727959025,17.803
67,Jameis Winston,QB,17.802,0.052,17.698,17.906,17.80192405331514,17.802
74,Dak Prescott,QB,17.091,2.309,12.473,21.709,16.93430837087833,17.091
5,Matthew Stafford,QB,16.728,2.542,11.644,21.812,16.533729766752572,16.728
45,Robert Griffin,QB,16.705,0.105,16.495,16.915,16.704670005719958,16.705
35,Ryan Fitzpatrick,QB,16.65,0.01,16.63,16.67,16.64999699699673,16.65
10,Andy Dalton,QB,16.48,1.29,13.9,19.06,16.4294339525134,16.48
38,Kirk Cousins,QB,16.335,2.195,11.945,20.725,16.186852689760286,16.335
65,Jimmy Garoppolo,QB,16.29,2.8,10.69,21.89,16.047557446539958,16.29
24,Carson Palmer,QB,15.807,2.223,11.361,20.253,15.649904792042665,15.807
29,Philip Rivers,QB,15.666,1.684,12.298,19.034,15.575227125149736,15.666
20,Jay Cutler,QB,15.519,0.771,13.977,17.061,15.499836128166,15.519
16,Blaine Gabbert,QB,15.286,1.156,12.974,17.598,15.242226215353192,15.286
47,Brock Osweiler,QB,15.24,1.98,11.28,19.2,15.110830552951084,15.24
26,Eli Manning,QB,15.208,3.272,8.664,21.752,14.851844329914044,15.208
69,Marcus Mariota,QB,15.034,1.576,11.882,18.186,14.951166509674087,15.034
56,Blake Bortles,QB,14.966,2.494,9.978,19.954,14.756731345389467,14.966
73,Carson Wentz,QB,14.796,0.094,14.608,14.984,14.795701402772357,14.796
3,Joe Flacco,QB,14.771,1.509,11.753,17.789,14.693718385759265,14.771
41,Ryan Tannehill,QB,14.162,1.948,10.266,18.058,14.027385358647566,14.162
40,Case Keenum,QB,13.996,1.496,11.004,16.988,13.915818337417315,13.996
72,Trevor Siemian,QB,10.704,0.734,9.236,12.172,10.678804240175959,10.704
22,Shaun Hill,QB,6.715,6.715,-6.715,20.145,13.430000000000001,6.715
8,Sam Bradford,QB,6.268,6.268,-6.268,18.804,12.536000000000001,6.268
23,Josh McCown,QB,2.906,0.0,2.906,2.906,2.9059999999999997,2.906
77,Paxton Lynch,QB,2.238,0.0,2.238,2.238,2.238,2.238
12,Colin Kaepernick,QB,1.952,0.0,1.952,1.952,1.952,1.952
83,Trevone Boykin,QB,1.41,0.0,1.41,1.41,1.4100000000000001,1.41
6,Chase Daniel,QB,1.28,0.0,1.28,1.28,1.28,1.28
4,Mark Sanchez,QB,0.834,0.834,-0.834,2.502,1.668,0.834
51,Landry Jones,QB,0.776,0.0,0.776,0.776,0.776,0.776
70,Sean Mannion,QB,0.36,0.0,0.36,0.36,0.36,0.36
52,Geno Smith,QB,0.352,0.0,0.352,0.352,0.352,0.352
34,Matt Cassel,QB,0.216,0.0,0.216,0.216,0.21599999999999997,0.216
25,Matt Schaub,QB,0.196,0.0,0.196,0.196,0.196,0.196
7,Brian Hoyer,QB,0.196,0.0,0.196,0.196,0.196,0.196
49,E.J. Manuel,QB,0.188,0.0,0.188,0.188,0.188,0.188
37,Matt Moore,QB,0.182,0.0,0.182,0.182,0.182,0.182
36,Kellen Clemens,QB,0.182,0.0,0.182,0.182,0.182,0.182
9,Colt McCoy,QB,0.182,0.0,0.182,0.182,0.182,0.182
57,AJ McCarron,QB,0.17,0.0,0.17,0.17,0.16999999999999998,0.17
0,Chad Henne,QB,0.162,0.0,0.162,0.162,0.16199999999999998,0.162
50,Mike Glennon,QB,0.158,0.0,0.158,0.158,0.15800000000000003,0.158
53,Ryan Nassib,QB,0.144,0.0,0.144,0.144,0.14400000000000002,0.144
27,Luke McCown,QB,0.128,0.0,0.128,0.128,0.128,0.128
17,Ryan Mallett,QB,0.112,0.0,0.112,0.112,0.11199999999999999,0.112
32,Dan Orlovsky,QB,0.108,0.0,0.108,0.108,0.108,0.108
15,Scott Tolzien,QB,0.104,0.0,0.104,0.104,0.10400000000000001,0.104
55,Matt McGloin,QB,0.1,0.0,0.1,0.1,0.10000000000000002,0.1
19,Drew Stanton,QB,0.096,0.0,0.096,0.096,0.09600000000000002,0.096
33,Derek Anderson,QB,0.096,0.0,0.096,0.096,0.09600000000000002,0.096
71,Brett Hundley,QB,0.096,0.0,0.096,0.096,0.09600000000000002,0.096
61,Tom Savage,QB,0.092,0.0,0.092,0.092,0.092,0.092
39,Nick Foles,QB,0.08,0.0,0.08,0.08,0.07999999999999999,0.08
82,Cardale Jones,QB,0.0,0.0,0.0,0.0,--,0.0
81,Christian Hackenberg,QB,0.0,0.0,0.0,0.0,--,0.0
80,Cody Kessler,QB,0.0,0.0,0.0,0.0,--,0.0
79,Jared Goff,QB,0.0,0.0,0.0,0.0,--,0.0
78,Connor Cook,QB,0.0,0.0,0.0,0.0,--,0.0
11,Jerrod Johnson,QB,0.0,0.0,0.0,0.0,--,0.0
76,Jeff Driskel,QB,0.0,0.0,0.0,0.0,--,0.0
75,Jacoby Brissett,QB,0.0,0.0,0.0,0.0,--,0.0
13,Christian Ponder,QB,0.0,0.0,0.0,0.0,--,0.0
46,Austin Davis,QB,0.0,0.0,0.0,0.0,--,0.0
54,Ryan Griffin,QB,0.0,0.0,0.0,0.0,--,0.0
1,Josh Johnson,QB,0.0,0.0,0.0,0.0,--,0.0
68,Bryce Petty,QB,0.0,0.0,0.0,0.0,--,0.0
48,Matt Simms,QB,0.0,0.0,0.0,0.0,--,0.0
66,Stephen Morris,QB,0.0,0.0,0.0,0.0,--,0.0
64,Keith Wenning,QB,0.0,0.0,0.0,0.0,--,0.0
63,Logan Thomas,QB,0.0,0.0,0.0,0.0,--,0.0
62,David Fales,QB,0.0,0.0,0.0,0.0,--,0.0
60,Zach Mettenberger,QB,0.0,0.0,0.0,0.0,--,0.0
59,Aaron Murray,QB,0.0,0.0,0.0,0.0,--,0.0
42,Brandon Weeden,QB,0.0,0.0,0.0,0.0,--,0.0
