,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
47,Jordan Reed,TE,15.13,0.0,15.13,15.13,15.129999999999999,15.13
53,Travis Kelce,TE,14.89,0.0,14.89,14.89,14.890000000000004,14.89
13,Rob Gronkowski,TE,14.7,0.0,14.7,14.7,14.7,14.7
37,Coby Fleener,TE,13.51,0.0,13.51,13.51,13.510000000000003,13.51
25,Greg Olsen,TE,12.89,0.0,12.89,12.89,12.890000000000002,12.89
1,Gary Barnidge,TE,11.95,0.0,11.95,11.95,11.950000000000001,11.95
29,Delanie Walker,TE,11.62,0.0,11.62,11.62,11.620000000000001,11.62
61,Eric Ebron,TE,10.95,0.0,10.95,10.95,10.950000000000003,10.95
31,Jason Witten,TE,10.91,0.0,10.91,10.91,10.910000000000002,10.91
46,Zach Ertz,TE,10.85,0.0,10.85,10.85,10.850000000000003,10.85
30,Antonio Gates,TE,10.56,0.0,10.56,10.56,10.56,10.56
79,Tyler Kroft,TE,10.41,0.0,10.41,10.41,10.41,10.41
38,Dwayne Allen,TE,10.06,0.0,10.06,10.06,10.060000000000002,10.06
23,Julius Thomas,TE,9.84,0.0,9.84,9.84,9.839999999999998,9.84
8,Zach Miller,TE,9.34,0.0,9.34,9.34,9.339999999999998,9.34
2,Martellus Bennett,TE,9.27,0.0,9.27,9.27,9.269999999999998,9.27
58,Luke Willson,TE,9.14,0.0,9.14,9.14,9.14,9.14
17,Charles Clay,TE,9.01,0.0,9.01,9.01,9.010000000000002,9.01
66,Crockett Gillmore,TE,8.77,0.0,8.77,8.77,8.77,8.77
20,Jordan Cameron,TE,8.71,0.0,8.71,8.71,8.71,8.71
73,Clive Walford,TE,8.57,0.0,8.57,8.57,8.570000000000002,8.57
4,Jared Cook,TE,7.98,0.0,7.98,7.98,7.9799999999999995,7.98
24,Kyle Rudolph,TE,7.82,0.0,7.82,7.82,7.820000000000001,7.82
80,Jesse James,TE,7.66,0.0,7.66,7.66,7.660000000000002,7.66
21,Virgil Green,TE,7.17,0.0,7.17,7.17,7.17,7.17
51,Vance McDonald,TE,6.99,0.0,6.99,6.99,6.990000000000001,6.99
0,Jacob Tamme,TE,6.56,0.0,6.56,6.56,6.5600000000000005,6.56
18,Lance Kendricks,TE,6.2,0.0,6.2,6.2,6.199999999999999,6.2
86,Will Tye,TE,6.07,0.0,6.07,6.07,6.07,6.07
71,Cameron Brate,TE,6.01,0.0,6.01,6.01,6.010000000000002,6.01
59,Ryan Griffin,TE,5.6,0.0,5.6,5.6,5.600000000000001,5.6
64,Austin Seferian-Jenkins,TE,5.46,0.0,5.46,5.46,5.460000000000001,5.46
76,Maxx Williams,TE,5.19,0.0,5.19,5.19,5.19,5.19
78,C.J. Uzomah,TE,5.01,0.0,5.01,5.01,5.010000000000001,5.01
45,Mychal Rivera,TE,4.35,0.0,4.35,4.35,4.3500000000000005,4.35
43,Larry Donnell,TE,4.25,0.0,4.25,4.25,4.25,4.25
32,Brent Celek,TE,4.19,0.0,4.19,4.19,4.1899999999999995,4.19
33,Kellen Davis,TE,3.78,0.0,3.78,3.78,3.7800000000000002,3.78
