,player,position,Fantasy Points,FP deviation
13,Rob Gronkowski,TE,14.4975,1.61479358846
25,Greg Olsen,TE,14.0083333333,0.998587335523
47,Jordan Reed,TE,12.74,4.60781510046
31,Jason Witten,TE,11.9983333333,3.10320103549
30,Antonio Gates,TE,11.8883333333,1.44881215714
37,Coby Fleener,TE,11.584,0.489520173231
29,Delanie Walker,TE,10.9433333333,3.31399859183
23,Julius Thomas,TE,10.69,0.93848281817
1,Gary Barnidge,TE,10.0383333333,4.3771653689
53,Travis Kelce,TE,10.015,2.77353024141
61,Eric Ebron,TE,9.114,2.06194810798
2,Martellus Bennett,TE,9.036,2.64699452209
17,Charles Clay,TE,8.82,0.90346554998
8,Zach Miller,TE,8.678,1.11654377433
24,Kyle Rudolph,TE,8.35333333333,2.08481813755
73,Clive Walford,TE,7.804,0.658012157942
32,Brent Celek,TE,7.31166666667,2.91830373105
0,Jacob Tamme,TE,7.274,1.27233250371
38,Dwayne Allen,TE,7.25666666667,1.55794308839
20,Jordan Cameron,TE,7.174,1.50712640478
44,Larry Donnell,TE,7.154,1.5160903667
81,Jesse James,TE,7.004,2.11944096403
4,Jared Cook,TE,7.002,1.24111643289
11,Jimmy Graham,TE,6.994,1.47813395875
21,Virgil Green,TE,6.786,0.682883591837
79,C.J. Uzomah,TE,6.528,3.87088749514
87,Will Tye,TE,6.452,0.94512962074
15,Dennis Pitta,TE,6.182,3.03204056701
51,Vance McDonald,TE,5.89833333333,1.57916961301
71,Cameron Brate,TE,5.554,1.62875105526
18,Lance Kendricks,TE,5.416,1.66635230369
64,Austin Seferian-Jenkins,TE,5.36,1.23152344679
66,Crockett Gillmore,TE,5.21,2.04569059244
92,Hunter Henry,TE,4.922,1.63409608041
80,Tyler Kroft,TE,4.6825,1.86685787711
41,Garrett Celek,TE,4.448,1.65127829272
59,Ryan Griffin,TE,4.344,1.20296716497
12,Jermaine Gresham,TE,4.158,1.7682675137
58,Luke Willson,TE,4.12333333333,2.66208690066
67,Trey Burton,TE,3.8275,2.64696524344
52,Jack Doyle,TE,3.72,0.985596266227
55,Darren Fells,TE,3.696,1.56986623634
94,Austin Hooper,TE,3.25666666667,0.579338703466
93,Tyler Higbee,TE,3.0025,1.51528600161
9,Ed Dickson,TE,2.9975,0.484862523471
26,Vernon Davis,TE,2.78,1.27763453303
65,C.J. Fiedorowicz,TE,2.755,0.866467925931
28,Marcedes Lewis,TE,2.72333333333,1.7592687875
33,Kellen Davis,TE,2.5125,1.29425332399
46,Mychal Rivera,TE,2.3275,1.20812182057
74,Jeff Heuerman,TE,2.1325,1.04126125444
60,Josh Hill,TE,2.075,1.54630850738
50,Gavin Escobar,TE,2.012,1.59995937448
77,Maxx Williams,TE,2.0025,0.637200910232
48,Dion Sims,TE,1.92,1.30532243782
57,Demetrius Harris,TE,1.885,1.48975389466
96,Stephen Anderson,TE,1.8775,2.07210641619
22,Lee Smith,TE,1.755,1.47416643113
84,Geoff Swaim,TE,1.71333333333,1.50151035072
36,Rhett Ellison,TE,1.4525,0.530683521508
27,Anthony Fasano,TE,1.4475,0.875837694249
78,Blake Bell,TE,1.4025,1.11562762605
7,Brandon Myers,TE,1.29666666667,2.11731748525
75,MyCole Pruitt,TE,1.08,1.38390751136
19,Luke Stocker,TE,1.07,1.49259840547
62,Jace Amaro,TE,0.963333333333,1.28430266422
49,Levine Toilolo,TE,0.956,1.3482878031
34,Logan Paulsen,TE,0.933333333333,1.61658075373
97,Cole Wick,TE,0.898,1.14737526555
82,Randall Telfer,TE,0.87,0.786765530511
85,Khari Lee,TE,0.716666666667,1.24130307876
10,Jim Dray,TE,0.685,0.237416652042
63,Troy Niklas,TE,0.51,0.394208066889
14,Clay Harbor,TE,0.466666666667,0.650717552655
89,Nick Vannett,TE,0.456666666667,0.381881307913
6,David Johnson,TE,0.455,0.3493326972
83,James OShaughnessy,TE,0.36,0.256645020732
42,Phillip Supernaw,TE,0.31,0.62
5,John Phillips,TE,0.28,0.188148877222
45,Brandon Williams,TE,0.275,0.162634559673
43,Sean McGrath,TE,0.246666666667,0.4272391992
76,Nick OLeary,TE,0.235,0.24528894526
70,Asante Cleveland,TE,0.235,0.332340187158
54,MarQueis Gray,TE,0.2,0.216564078277
95,Temarrick Hemingway,TE,0.17,0.1808314132
91,Jerell Adams,TE,0.16,0.268514431642
90,David Morgan,TE,0.143333333333,0.222785397487
40,Cory Harkey,TE,0.0633333333333,0.070945988846
39,Orson Charles,TE,0.0466666666667,0.0808290376865
68,Nic Jacobs,TE,0.0,0.0
56,Ifeanyi Momah,TE,0.0,0.0
69,Marcel Jensen,TE,0.0,0.0
86,Mitchell Henry,TE,0.0,0.0
35,Rob Housler,TE,0.0,0.0
88,Brian Parker,TE,0.0,0.0
72,Jerome Cunningham,TE,0.0,0.0
3,Chase Coffman,TE,0.0,0.0
16,Tony Moeaki,TE,0.0,0.0
