,player,position,Fantasy Points,FP deviation
45,Antonio Brown,WR,24.752,4.29620413854
30,Julio Jones,WR,20.96,2.47191221527
105,Odell Beckham,WR,19.9425,0.505066002287
28,A.J. Green,WR,17.422,2.19865185966
16,Dez Bryant,WR,17.014,2.09028227759
87,DeAndre Hopkins,WR,16.916,3.89747097488
33,Brandon Marshall,WR,16.72,0.971013216525
22,Demaryius Thomas,WR,16.546,2.69338634436
108,Allen Robinson,WR,16.4375,0.679037308744
3,Jordy Nelson,WR,16.182,2.07190009412
146,Amari Cooper,WR,16.0975,1.52057828912
37,Larry Fitzgerald,WR,15.998,3.11471828582
102,Jarvis Landry,WR,15.9125,1.64248541343
106,Brandin Cooks,WR,15.8525,0.881036321612
99,Mike Evans,WR,14.9975,0.52239033937
15,Julian Edelman,WR,14.912,2.18102498839
18,Eric Decker,WR,14.88,1.32848284395
66,Alshon Jeffery,WR,14.826,3.19119570067
27,Randall Cobb,WR,14.578,3.65273459206
21,Golden Tate,WR,14.5575,0.219298122807
107,Jordan Matthews,WR,14.365,1.16188065939
57,T.Y. Hilton,WR,14.22,2.17899059199
100,Kelvin Benjamin,WR,13.9075,1.23181099741
98,Sammy Watkins,WR,13.74,1.71098412227
58,Marvin Jones,WR,13.375,1.14759168116
13,Jeremy Maclin,WR,13.205,0.958279708645
56,Michael Floyd,WR,13.174,1.489959731
10,Michael Crabtree,WR,13.095,0.889850174655
53,Doug Baldwin,WR,13.002,2.43780023792
4,DeSean Jackson,WR,12.7875,0.863495801959
55,Travis Benjamin,WR,12.6375,2.16667756408
124,Willie Snead,WR,12.5925,2.13267242367
120,John Brown,WR,12.4675,1.39674323577
110,Donte Moncrief,WR,12.4525,1.31662130724
20,Emmanuel Sanders,WR,12.3325,0.49842251153
171,Corey Coleman,WR,12.3225,0.727615970138
38,Vincent Jackson,WR,12.232,5.21566582518
34,Steve Smith,WR,12.185,0.54957559383
6,Pierre Garcon,WR,12.164,4.18007535817
168,Sterling Shepard,WR,11.7275,1.42432147588
128,Allen Hurns,WR,11.6875,1.06490609915
150,Stefon Diggs,WR,11.6725,1.32728733388
31,Torrey Smith,WR,10.95,1.20041659435
141,Tyler Lockett,WR,10.8475,1.78129868355
133,DeVante Parker,WR,10.1466666667,1.21968575188
163,Tyrell Williams,WR,10.0075,3.36477215672
169,Tajae Sharpe,WR,9.955,1.78072082783
61,Rishard Matthews,WR,9.95,2.2967077887
67,Mohamed Sanu,WR,9.875,1.77220202009
54,Terrelle Pryor,WR,9.79,1.2765839834
89,Kenny Stills,WR,9.4875,1.07183254289
44,Victor Cruz,WR,9.464,6.21891308831
173,Will Fuller,WR,9.395,2.41760901168
43,Mike Wallace,WR,9.33,1.74936178839
51,Kamar Aiken,WR,9.3275,2.17810888923
82,Tavon Austin,WR,9.155,0.287228132327
81,Markus Wheaton,WR,9.03,3.33229650541
187,Michael Thomas,WR,8.9125,3.87264229349
160,Eli Rogers,WR,8.895,2.7999821428
36,Anquan Boldin,WR,8.89,0.842417157154
59,Jermaine Kearse,WR,8.5,1.79411538091
134,Jamison Crowder,WR,8.4625,2.25562075713
143,Devin Funchess,WR,8.455,1.84688025239
52,Dontrelle Inman,WR,8.3825,1.92238350319
19,Brandon LaFell,WR,8.33,2.44169340145
138,Phillip Dorsett,WR,8.31,0.341076726461
9,Kenny Britt,WR,8.02,1.25003999936
24,Jeremy Kerley,WR,7.9675,3.23605083396
104,Davante Adams,WR,7.925,0.824560488988
179,Tyler Boyd,WR,7.8825,0.618351302524
88,Robert Woods,WR,7.71,1.08788786187
91,Charles Johnson,WR,7.555,0.959044663541
64,Kendall Wright,WR,7.515,1.30507981876
41,Ted Ginn,WR,7.472,2.80946080236
77,Terrance Williams,WR,7.368,1.53841476852
131,Seth Roberts,WR,7.2575,1.26968171865
149,Nelson Agholor,WR,7.065,0.338673884438
79,Quinton Patton,WR,6.82,1.52674490338
49,Chris Hogan,WR,6.735,1.21782593173
118,Quincy Enunwa,WR,6.615,2.05156038176
46,Andrew Hawkins,WR,6.11,2.12328362056
71,Cole Beasley,WR,5.908,3.22238576213
7,Danny Amendola,WR,5.77,3.15164242896
5,Eddie Royal,WR,5.7525,1.23928406752
151,Chris Conley,WR,5.6025,1.26534250963
101,Marqise Lee,WR,5.5875,1.73115327648
135,Justin Hardy,WR,5.43,1.48227302928
147,Dorial Green-Beckham,WR,5.225,0.985308750257
125,Albert Wilson,WR,5.17,0.81437092286
93,Adam Thielen,WR,5.1125,1.84076750297
145,Sammie Coates,WR,5.06,1.70620436447
174,Braxton Miller,WR,4.8475,1.838538822
148,Breshad Perriman,WR,4.83,2.6143577924
35,Andre Johnson,WR,4.6825,0.602404902592
178,Pharoh Cooper,WR,4.56,0.876812408671
161,Adam Humphries,WR,3.845,2.03050896739
29,Andre Holmes,WR,3.815,1.25348846558
62,Brian Quick,WR,3.5575,1.21648057938
114,Josh Huff,WR,3.335,0.84933307169
122,Bennie Fowler,WR,3.27,1.45192975037
172,Josh Doctson,WR,3.2675,1.88669684899
165,Laquon Treadwell,WR,3.23,2.44384942253
126,Brandon Coleman,WR,3.18,2.3414240681
139,Rashad Greene,WR,3.145,1.29821672562
130,Corey Brown,WR,3.09666666667,0.914348584148
