,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
8,Broncos,DST,8.55,0.65,7.25,9.85,8.52525659438,8.55
3,Panthers,DST,8.3,1.1,6.1,10.5,8.22678552048,8.3
19,Patriots,DST,7.6,0.7,6.2,9.0,7.56769449701,7.6
24,Cardinals,DST,7.35,1.45,4.45,10.25,7.20555341386,7.35
15,Chiefs,DST,7.35,0.25,6.85,7.85,7.34574706888,7.35
5,Bengals,DST,7.15,0.45,6.25,8.05,7.13582510996,7.15
13,Colts,DST,6.95,0.45,6.05,7.85,6.93541635376,6.95
1,Ravens,DST,6.9,0.0,6.9,6.9,6.9,6.9
16,Raiders,DST,6.8,1.4,4.0,9.6,6.65432190385,6.8
28,Seahawks,DST,6.75,0.45,5.85,7.65,6.73498329619,6.75
30,Redskins,DST,6.4,0.0,6.4,6.4,6.4,6.4
25,Steelers,DST,6.35,0.35,5.65,7.05,6.34034699366,6.35
10,Packers,DST,6.3,1.0,4.3,8.3,6.22012861603,6.3
9,Lions,DST,6.1,1.0,4.1,8.1,6.01747455333,6.1
12,Texans,DST,6.0,0.8,4.4,7.6,5.94642749893,6.0
21,Giants,DST,5.85,1.95,1.95,9.75,5.51543289326,5.85
11,Titans,DST,5.8,0.5,4.8,6.8,5.77840808528,5.8
22,Jets,DST,5.8,0.0,5.8,5.8,5.8,5.8
14,Jaguars,DST,5.75,0.65,4.45,7.05,5.71314274283,5.75
18,Vikings,DST,5.5,0.5,4.5,6.5,5.47722557505,5.5
29,Buccaneers,DST,5.5,1.9,1.7,9.3,5.16139516023,5.5
20,Saints,DST,5.25,1.95,1.35,9.15,4.87442304278,5.25
17,Dolphins,DST,5.15,0.45,4.25,6.05,5.13030213535,5.15
0,Falcons,DST,5.15,0.95,3.25,7.05,5.06162029394,5.15
23,Eagles,DST,5.0,0.0,5.0,5.0,5.0,5.0
26,Chargers,DST,4.95,1.45,2.05,7.85,4.73286382648,4.95
7,Cowboys,DST,4.6,0.6,3.4,5.8,4.5607017004,4.6
6,Browns,DST,4.55,2.25,0.05,9.05,3.95474398666,4.55
4,Bears,DST,4.4,0.0,4.4,4.4,4.4,4.4
2,Bills,DST,4.2,0.0,4.2,4.2,4.2,4.2
27,49ers,DST,2.55,0.65,1.25,3.85,2.46576560119,2.55
