,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
119,David Johnson,RB,17.47,0.0,17.47,17.47,17.47,17.47
131,Ezekiel Elliott,RB,16.0,0.0,16.0,16.0,16.000000000000007,16.0
22,Mark Ingram,RB,15.58,0.0,15.58,15.58,15.58,15.58
33,Adrian Peterson,RB,15.06,0.0,15.06,15.06,15.06,15.06
28,DeAngelo Williams,RB,14.8,0.0,14.8,14.8,14.799999999999997,14.8
82,Devonta Freeman,RB,14.46,0.0,14.46,14.46,14.460000000000003,14.46
45,Lamar Miller,RB,14.46,0.0,14.46,14.46,14.460000000000003,14.46
75,C.J. Anderson,RB,14.4,0.0,14.4,14.4,14.400000000000004,14.4
5,Danny Woodhead,RB,13.5,0.0,13.5,13.5,13.5,13.5
1,Matt Forte,RB,13.3,0.0,13.3,13.3,13.300000000000002,13.3
111,Todd Gurley,RB,13.07,0.0,13.07,13.07,13.070000000000004,13.07
70,Eddie Lacy,RB,12.82,0.0,12.82,12.82,12.820000000000006,12.82
76,Latavius Murray,RB,12.65,0.0,12.65,12.65,12.650000000000004,12.65
9,LeSean McCoy,RB,12.4,0.0,12.4,12.4,12.4,12.4
12,LeGarrette Blount,RB,12.35,0.0,12.35,12.35,12.35,12.35
42,Doug Martin,RB,12.2,0.0,12.2,12.2,12.2,12.2
4,Jonathan Stewart,RB,12.11,0.0,12.11,12.11,12.110000000000001,12.11
17,DeMarco Murray,RB,12.08,0.0,12.08,12.08,12.079999999999998,12.08
72,Spencer Ware,RB,11.89,0.0,11.89,11.89,11.889999999999999,11.89
7,Rashad Jennings,RB,11.82,0.0,11.82,11.82,11.82,11.82
107,Duke Johnson,RB,11.66,0.0,11.66,11.66,11.660000000000004,11.66
13,Ryan Mathews,RB,11.65,0.0,11.65,11.65,11.650000000000002,11.65
105,Jeremy Langford,RB,11.57,0.0,11.57,11.57,11.570000000000004,11.57
90,Carlos Hyde,RB,11.5,0.0,11.5,11.5,11.500000000000004,11.5
67,Theo Riddick,RB,11.47,0.0,11.47,11.47,11.469999999999999,11.47
109,Melvin Gordon,RB,11.33,0.0,11.33,11.33,11.330000000000002,11.33
92,James White,RB,11.12,0.0,11.12,11.12,11.12,11.12
69,Giovani Bernard,RB,11.01,0.0,11.01,11.01,11.010000000000003,11.01
116,Matt Jones,RB,10.83,0.0,10.83,10.83,10.83,10.83
102,Ameer Abdullah,RB,10.63,0.0,10.63,10.63,10.630000000000003,10.63
110,T.J. Yeldon,RB,10.54,0.0,10.54,10.54,10.539999999999997,10.54
8,Arian Foster,RB,10.15,0.0,10.15,10.15,10.15,10.15
91,Charles Sims,RB,9.49,0.0,9.49,9.49,9.489999999999998,9.49
27,Shane Vereen,RB,9.47,0.0,9.47,9.47,9.47,9.47
3,Justin Forsett,RB,9.39,0.0,9.39,9.39,9.39,9.39
86,Terrance West,RB,9.32,0.0,9.32,9.32,9.320000000000002,9.32
30,Frank Gore,RB,8.99,0.0,8.99,8.99,8.990000000000002,8.99
31,Darren Sproles,RB,8.65,0.0,8.65,8.65,8.65,8.65
85,Jeremy Hill,RB,8.52,0.0,8.52,8.52,8.520000000000001,8.52
35,Chris Ivory,RB,8.41,0.0,8.41,8.41,8.409999999999998,8.41
93,Isaiah Crowell,RB,8.13,0.0,8.13,8.13,8.13,8.13
106,Tevin Coleman,RB,8.02,0.0,8.02,8.02,8.020000000000001,8.02
63,Christine Michael,RB,7.95,0.0,7.95,7.95,7.950000000000001,7.95
19,Bilal Powell,RB,7.78,0.0,7.78,7.78,7.780000000000001,7.78
136,Jordan Howard,RB,7.16,0.0,7.16,7.16,7.160000000000001,7.16
142,Derrick Henry,RB,7.15,0.0,7.15,7.15,7.15,7.15
89,Jerick McKinnon,RB,7.07,0.0,7.07,7.07,7.070000000000001,7.07
66,Chris Thompson,RB,6.7,0.0,6.7,6.7,6.700000000000001,6.7
126,Thomas Rawls,RB,6.1,0.0,6.1,6.1,6.1000000000000005,6.1
16,James Starks,RB,5.94,0.0,5.94,5.94,5.940000000000001,5.94
114,Javorius Allen,RB,5.9,0.0,5.9,5.9,5.9,5.9
55,Travaris Cadet,RB,5.86,0.0,5.86,5.86,5.86,5.86
21,Shaun Draughn,RB,5.79,0.0,5.79,5.79,5.790000000000001,5.79
130,Devontae Booker,RB,5.34,0.0,5.34,5.34,5.340000000000001,5.34
80,KaDeem Carey,RB,5.15,0.0,5.15,5.15,5.150000000000001,5.15
141,DeAndre Washington,RB,4.73,0.0,4.73,4.73,4.73,4.73
6,Tim Hightower,RB,4.54,0.0,4.54,4.54,4.539999999999999,4.54
77,Benny Cunningham,RB,4.43,0.0,4.43,4.43,4.430000000000001,4.43
47,Alfred Morris,RB,4.15,0.0,4.15,4.15,4.15,4.15
32,Reggie Bush,RB,3.99,0.0,3.99,3.99,3.99,3.99
34,Mike Tolbert,RB,3.98,0.0,3.98,3.98,3.98,3.98
146,Rob Kelley,RB,3.9,0.0,3.9,3.9,3.9000000000000004,3.9
135,C.J. Prosise,RB,3.84,0.0,3.84,3.84,3.8400000000000003,3.84
139,Paul Perkins,RB,3.69,0.0,3.69,3.69,3.6899999999999995,3.69
57,Andre Ellington,RB,3.67,0.0,3.67,3.67,3.67,3.67
101,Fitzgerald Toussaint,RB,3.43,0.0,3.43,3.43,3.43,3.43
96,Charcandrick West,RB,3.16,0.0,3.16,3.16,3.1599999999999997,3.16
113,Jay Ajayi,RB,3.14,0.0,3.14,3.14,3.1399999999999997,3.14
52,Daryl Richardson,RB,2.97,0.0,2.97,2.97,2.9699999999999998,2.97
143,Dwayne Washington,RB,2.96,0.0,2.96,2.96,2.96,2.96
2,Chris Johnson,RB,2.95,0.0,2.95,2.95,2.9500000000000006,2.95
84,Alfred Blue,RB,2.89,0.0,2.89,2.89,2.8899999999999997,2.89
103,Cameron Artis-Payne,RB,2.75,0.0,2.75,2.75,2.75,2.75
145,Josh Ferguson,RB,2.67,0.0,2.67,2.67,2.67,2.67
134,Tyler Ervin,RB,2.58,0.0,2.58,2.58,2.58,2.58
79,Khiry Robinson,RB,2.5,0.0,2.5,2.5,2.5,2.5
98,Orleans Darkwa,RB,2.38,0.0,2.38,2.38,2.3800000000000003,2.38
60,Kenjon Barner,RB,2.33,0.0,2.33,2.33,2.3300000000000005,2.33
133,Kenyan Drake,RB,1.97,0.0,1.97,1.97,1.9700000000000002,1.97
74,Kyle Juszczyk,RB,1.96,0.0,1.96,1.96,1.96,1.96
15,C.J. Spiller,RB,1.9,0.0,1.9,1.9,1.9000000000000001,1.9
140,Wendell Smallwood,RB,1.85,0.0,1.85,1.85,1.85,1.85
150,Jalen Richard,RB,1.8,0.0,1.8,1.8,1.8,1.8
40,Brandon Bolden,RB,1.67,0.0,1.67,1.67,1.6700000000000002,1.67
18,Matt Asiata,RB,1.61,0.0,1.61,1.61,1.6099999999999999,1.61
48,Robert Turbin,RB,1.46,0.0,1.46,1.46,1.4600000000000002,1.46
68,Fozzy Whittaker,RB,1.42,0.0,1.42,1.42,1.42,1.42
64,Mike Gillislee,RB,1.42,0.0,1.42,1.42,1.42,1.42
59,Rex Burkhead,RB,1.4,0.0,1.4,1.4,1.4,1.4
120,Mike Davis,RB,1.24,0.0,1.24,1.24,1.24,1.24
99,Damien Williams,RB,1.14,0.0,1.14,1.14,1.14,1.14
123,Zach Zenner,RB,1.1,0.0,1.1,1.1,1.1,1.1
128,Terron Ward,RB,1.06,0.0,1.06,1.06,1.06,1.06
38,Patrick DiMarco,RB,0.99,0.0,0.99,0.99,0.99,0.99
144,Darius Jackson,RB,0.97,0.0,0.97,0.97,0.9700000000000001,0.97
56,Jamize Olawale,RB,0.94,0.0,0.94,0.94,0.9400000000000002,0.94
129,Daniel Lasco,RB,0.91,0.0,0.91,0.91,0.9099999999999999,0.91
54,Lance Dunbar,RB,0.85,0.0,0.85,0.85,0.8500000000000001,0.85
121,Malcolm Johnson,RB,0.85,0.0,0.85,0.85,0.8500000000000001,0.85
132,Jonathan Williams,RB,0.83,0.0,0.83,0.83,0.8300000000000001,0.83
112,Aaron Ripkowski,RB,0.74,0.0,0.74,0.74,0.74,0.74
51,Jonathan Grimes,RB,0.71,0.0,0.71,0.71,0.71,0.71
43,Isaiah Pead,RB,0.7,0.0,0.7,0.7,0.7000000000000001,0.7
117,Michael Burton,RB,0.63,0.0,0.63,0.63,0.63,0.63
58,Denard Robinson,RB,0.61,0.0,0.61,0.61,0.6100000000000001,0.61
71,Knile Davis,RB,0.56,0.0,0.56,0.56,0.56,0.56
108,Jalston Fowler,RB,0.55,0.0,0.55,0.55,0.55,0.55
61,Zach Line,RB,0.49,0.0,0.49,0.49,0.49000000000000005,0.49
62,Stepfan Taylor,RB,0.43,0.0,0.43,0.43,0.43000000000000005,0.43
137,Alex Collins,RB,0.43,0.0,0.43,0.43,0.43000000000000005,0.43
50,Bobby Rainey,RB,0.32,0.0,0.32,0.32,0.32000000000000006,0.32
97,Antonio Andrews,RB,0.11,0.0,0.11,0.11,0.11000000000000001,0.11
88,Jay Prosch,RB,0.11,0.0,0.11,0.11,0.11000000000000001,0.11
124,Corey Grant,RB,0.09,0.0,0.09,0.09,0.09000000000000001,0.09
127,Rod Smith,RB,0.0,0.0,0.0,0.0,--,0.0
