"","playerId","dstInt","dstFumlRec","dstSack","dstTd","dstSafety","dstPtsAllow","analyst","player","position","games","dstBlk","returnYds","dstRetTd"
"1",100001,0.8,0.7,1,0.1,0,25.9,-1,"Falcons","DST",NA,NA,NA,NA
"2",100002,1.4,0.6,3.9,0.2,0,20.6,-1,"Ravens","DST",NA,NA,NA,NA
"3",100003,0.8,0.8,1.7,0.3,0.1,23.2,-1,"Bills","DST",NA,NA,NA,NA
"4",100004,1.1,1,3.1,0.2,0,18.2,-1,"Panthers","DST",NA,NA,NA,NA
"5",100005,1.1,0.8,2.5,0.1,0,27.4,-1,"Bears","DST",NA,NA,NA,NA
"6",100006,1.6,0.5,1.9,0.3,0,17.4,-1,"Bengals","DST",NA,NA,NA,NA
"7",100007,0.9,0.7,2.3,0.1,0,23.2,-1,"Browns","DST",NA,NA,NA,NA
"8",100008,1.4,0.7,2.4,0,0,17.2,-1,"Cowboys","DST",NA,NA,NA,NA
"9",100009,0.9,1,3.1,0.1,0,20.8,-1,"Broncos","DST",NA,NA,NA,NA
"10",100010,0.5,0.7,3.1,0.1,0,25.4,-1,"Lions","DST",NA,NA,NA,NA
"11",100011,0.9,0.5,3.4,0.1,0.1,17.3,-1,"Packers","DST",NA,NA,NA,NA
"12",100012,0.6,0.5,2.2,0.1,0.1,23.8,-1,"Titans","DST",NA,NA,NA,NA
"13",100013,0.5,1,2.5,0.1,0,20.3,-1,"Texans","DST",NA,NA,NA,NA
"14",100014,1.1,0.6,2.3,0.1,0,22.5,-1,"Colts","DST",NA,NA,NA,NA
"15",100015,0.9,0.7,2,0.1,0,25.2,-1,"Jaguars","DST",NA,NA,NA,NA
"16",100016,1.1,0.5,1.8,0.1,0,19.6,-1,"Chiefs","DST",NA,NA,NA,NA
"17",100018,1,1,2.5,0.1,0,20.8,-1,"Raiders","DST",NA,NA,NA,NA
"18",100019,1,0.8,2.4,0.1,0,12.7,-1,"Dolphins","DST",NA,NA,NA,NA
"19",100020,1,1.2,2.7,0.3,0,25.2,-1,"Vikings","DST",NA,NA,NA,NA
"20",100021,1,0.8,2.5,0.1,0,19.3,-1,"Patriots","DST",NA,NA,NA,NA
"21",100022,0.7,1,1.9,0.2,0,24.4,-1,"Saints","DST",NA,NA,NA,NA
"22",100023,1.2,0.8,1.9,0.1,0.1,20.5,-1,"Giants","DST",NA,NA,NA,NA
"23",100024,0.9,0.9,3.2,0.2,0.1,23.8,-1,"Jets","DST",NA,NA,NA,NA
"24",100025,1,0.8,2.5,0.1,0,23.6,-1,"Eagles","DST",NA,NA,NA,NA
"25",100026,0.7,0.8,2.3,0.2,0,17.7,-1,"Cardinals","DST",NA,NA,NA,NA
"26",100027,1.2,1.1,2.2,0.2,0,22.5,-1,"Steelers","DST",NA,NA,NA,NA
"27",100028,1.3,0.9,2.2,0.2,0,25,-1,"Chargers","DST",NA,NA,NA,NA
"28",100029,1,0.7,2.8,0.1,0,23.4,-1,"49ers","DST",NA,NA,NA,NA
"29",100030,1,0.6,3.5,0.1,0,13.6,-1,"Seahawks","DST",NA,NA,NA,NA
"30",100031,0.8,0.7,2.1,0.2,0,18.6,-1,"Buccaneers","DST",NA,NA,NA,NA
"31",100032,0.6,1.2,2.1,0.2,0,26.9,-1,"Redskins","DST",NA,NA,NA,NA
"32",100002,0.9,0.4,3.1,0.1,0,23,3,"Ravens","DST",1,0.1,43.4,0
"33",100003,0.9,0.4,1.9,0.1,0,25.9,3,"Bills","DST",1,0.1,64.7,0.1
"34",100004,1,0.9,2.8,0.3,0,18.9,3,"Panthers","DST",1,0.1,54.8,0
"35",100005,0.7,0.3,2,0.1,0,25.4,3,"Bears","DST",1,0.1,43,0
"36",100006,1.1,0.5,2.1,0.2,0,18.6,3,"Bengals","DST",1,0.1,40.7,0
"37",100007,0.8,0.6,2.8,0.2,0,23.6,3,"Browns","DST",1,0.1,47.7,0
"38",100008,0.6,0.3,2.5,0.1,0,20.8,3,"Cowboys","DST",1,0.1,56.4,0
"39",100009,0.8,0.9,3.1,0.3,0,20.5,3,"Broncos","DST",1,0.1,62.3,0
"40",100010,0.6,0.7,3.4,0.2,0,27.4,3,"Lions","DST",1,0.1,64.8,0.1
"41",100011,0.9,0.6,3.4,0.2,0,20.4,3,"Packers","DST",1,0.1,55,0
"42",100012,0.8,0.5,3.2,0.1,0,25,3,"Titans","DST",1,0.1,55.4,0
"43",100014,0.8,0.6,2.7,0.2,0,23.9,3,"Colts","DST",1,0.1,60.2,0
"44",100015,1,0.7,2.6,0.2,0,24.1,3,"Jaguars","DST",1,0.1,25.8,0
"45",100016,1.1,0.6,2.8,0.2,0,23.3,3,"Chiefs","DST",1,0.1,70.5,0.1
"46",100017,0.8,0.8,2.7,0.2,0,19.7,3,"Rams","DST",1,0.1,53.8,0
"47",100018,0.8,0.6,3,0.2,0,19.8,3,"Raiders","DST",1,0.1,47.2,0
"48",100019,0.8,0.4,2.1,0.1,0,20.2,3,"Dolphins","DST",1,0.1,71.4,0.1
"49",100020,0.8,0.5,2.8,0.1,0,24,3,"Vikings","DST",1,0.1,48.6,0
"50",100023,0.8,0.8,2.6,0.2,0,24.8,3,"Giants","DST",1,0.1,47.5,0
"51",100024,0.7,0.6,2.9,0.2,0,20.2,3,"Jets","DST",1,0.1,57.6,0
"52",100025,1.1,0.7,2.7,0.2,0,30.4,3,"Eagles","DST",1,0.1,78.4,0.1
"53",100026,0.7,0.8,2.6,0.3,0,21.5,3,"Cardinals","DST",1,0.1,60,0
"54",100027,1,0.7,2.4,0.2,0,21.2,3,"Steelers","DST",1,0.1,54.4,0
"55",100028,1,0.5,2.7,0.1,0,26,3,"Chargers","DST",1,0.1,22.7,0
"56",100029,0.6,0.3,2.7,0,0,26.4,3,"49ers","DST",1,0.1,61.4,0
"57",100030,0.8,0.7,3.2,0.2,0,17.4,3,"Seahawks","DST",1,0.1,47.3,0
"58",100031,0.8,0.7,2.1,0.2,0,20.1,3,"Buccaneers","DST",1,0.1,49.3,0
"59",100032,0.8,0.8,2.8,0.2,0,25.5,3,"Redskins","DST",1,0.1,72.8,0.1
"60",100001,1,1,2,NA,NA,NA,5,"Falcons","DST",NA,NA,NA,NA
"61",100002,1,1,2,NA,NA,NA,5,"Ravens","DST",NA,NA,NA,NA
"62",100003,1,1,2,NA,NA,NA,5,"Bills","DST",NA,NA,NA,NA
"63",100004,1,1,2,NA,NA,NA,5,"Panthers","DST",NA,NA,NA,NA
"64",100005,1,NA,2,1,NA,NA,5,"Bears","DST",NA,NA,NA,NA
"65",100006,1,1,3,NA,NA,NA,5,"Bengals","DST",NA,NA,NA,NA
"66",100007,1,1,2,NA,NA,NA,5,"Browns","DST",NA,NA,NA,NA
"67",100008,1,NA,2,NA,NA,NA,5,"Cowboys","DST",NA,NA,NA,NA
"68",100009,1,NA,2,NA,NA,NA,5,"Broncos","DST",NA,NA,NA,NA
"69",100010,1,1,2,NA,NA,NA,5,"Lions","DST",NA,NA,NA,NA
"70",100011,1,1,3,NA,NA,NA,5,"Packers","DST",NA,NA,NA,NA
"71",100012,1,1,2,NA,NA,NA,5,"Titans","DST",NA,NA,NA,NA
"72",100013,1,1,3,NA,NA,NA,5,"Texans","DST",NA,NA,NA,NA
"73",100014,1,1,2,NA,NA,NA,5,"Colts","DST",NA,NA,NA,NA
"74",100015,1,1,2,NA,NA,NA,5,"Jaguars","DST",NA,NA,NA,NA
"75",100016,1,NA,1,NA,NA,NA,5,"Chiefs","DST",NA,NA,NA,NA
"76",100017,1,1,2,1,NA,NA,5,"Rams","DST",NA,NA,NA,NA
"77",100018,1,NA,3,NA,NA,NA,5,"Raiders","DST",NA,NA,NA,NA
"78",100019,1,1,2,1,NA,NA,5,"Dolphins","DST",NA,NA,NA,NA
"79",100020,1,NA,2,NA,NA,NA,5,"Vikings","DST",NA,NA,NA,NA
"80",100021,1,1,2,NA,NA,NA,5,"Patriots","DST",NA,NA,NA,NA
"81",100022,1,NA,2,NA,NA,NA,5,"Saints","DST",NA,NA,NA,NA
"82",100023,1,NA,2,NA,NA,NA,5,"Giants","DST",NA,NA,NA,NA
"83",100024,NA,NA,2,NA,NA,NA,5,"Jets","DST",NA,NA,NA,NA
"84",100025,1,NA,2,NA,NA,NA,5,"Eagles","DST",NA,NA,NA,NA
"85",100026,1,NA,1,NA,NA,NA,5,"Cardinals","DST",NA,NA,NA,NA
"86",100027,1,NA,2,NA,NA,NA,5,"Steelers","DST",NA,NA,NA,NA
"87",100028,1,1,2,NA,NA,NA,5,"Chargers","DST",NA,NA,NA,NA
"88",100029,NA,1,2,NA,NA,NA,5,"49ers","DST",NA,NA,NA,NA
"89",100030,1,1,2,NA,NA,NA,5,"Seahawks","DST",NA,NA,NA,NA
"90",100031,1,1,2,NA,NA,NA,5,"Buccaneers","DST",NA,NA,NA,NA
"91",100032,1,NA,2,NA,NA,NA,5,"Redskins","DST",NA,NA,NA,NA
"92",100001,1.2,0.4,1.5,0.1,0,26.5,6,"Falcons","DST",NA,143.4,NA,39.5
"93",100002,0.7,0.3,3.1,0,0,21.7,6,"Ravens","DST",NA,152.6,NA,39.1
"94",100003,1,0.3,0.9,0,0,27.7,6,"Bills","DST",NA,133.3,NA,39.8
"95",100004,1.4,0.5,2.8,0,0,17,6,"Panthers","DST",NA,119.9,NA,41.3
"96",100005,0.7,0.4,2.1,0,0,22.6,6,"Bears","DST",NA,151,NA,41.2
