"","playerId","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","analyst","player","position","games","rush40","rec40","returnYds","returnTds","twoPts"
"1",230,0.2,0.7,0,0.1,0.8,0,0,-1,"Jerome Felton","RB",NA,NA,NA,NA,NA,NA
"2",234,17.8,78,0.5,3,26.6,0.1,0.1,-1,"Matt Forte","RB",NA,NA,NA,NA,NA,NA
"3",262,6.5,25.9,0.2,1,7.5,0,0.2,-1,"Chris Johnson","RB",NA,NA,NA,NA,NA,NA
"4",925,5.3,24.9,0.3,2.4,21.2,0.3,0.2,-1,"Jamaal Charles","RB",NA,NA,NA,NA,NA,NA
"5",927,12.1,45.6,0.4,2,9.8,0,0.1,-1,"Justin Forsett","RB",NA,NA,NA,NA,NA,NA
"6",4383,3.6,14.5,0.4,1.3,10.5,0.1,0.1,-1,"Tim Hightower","RB",NA,NA,NA,NA,NA,NA
"7",71345,11.9,50.9,0.3,2,18.6,0.1,0.2,-1,"Rashad Jennings","RB",NA,NA,NA,NA,NA,NA
"8",79607,16.6,66.7,0.3,2.5,16.6,0.1,0.2,-1,"LeSean McCoy","RB",NA,NA,NA,NA,NA,NA
"9",89798,0,0,0,0,0,0,0,-1,"Antone Smith","RB",NA,NA,NA,NA,NA,NA
"10",497145,0,0,0,0,0,0,0,-1,"Joique Bell","RB",NA,NA,NA,NA,NA,NA
"11",497149,20.3,76.8,0.5,1,6.6,0,0.2,-1,"LeGarrette Blount","RB",NA,NA,NA,NA,NA,NA
"12",497188,12.3,48.1,0.4,1.4,9.7,0.1,0.3,-1,"Ryan Mathews","RB",NA,NA,NA,NA,NA,NA
"13",497190,3,11.8,0.1,2.8,21.2,0.1,0.1,-1,"Dexter McCluster","RB",NA,NA,NA,NA,NA,NA
"14",497204,0,0,0,0,0,0,0,-1,"C.J. Spiller","RB",NA,NA,NA,NA,NA,NA
"15",497206,7.4,30.3,0.2,1.6,13.3,0.1,0.1,-1,"James Starks","RB",NA,NA,NA,NA,NA,NA
"16",2495207,12,55,0.4,2.2,17.1,0.1,0.3,-1,"DeMarco Murray","RB",NA,NA,NA,NA,NA,NA
"17",2495258,10.9,40.6,0.3,1.4,9.1,0,0.1,-1,"Matt Asiata","RB",NA,NA,NA,NA,NA,NA
"18",2495328,6,24.3,0.1,1.3,9.6,0,0,-1,"Bilal Powell","RB",NA,NA,NA,NA,NA,NA
"19",2495340,0,0,0,0.1,1.2,0,0,-1,"Anthony Sherman","RB",NA,NA,NA,NA,NA,NA
"20",2495461,7,20.9,0.1,1.1,6.7,0,0.1,-1,"Shaun Draughn","RB",NA,NA,NA,NA,NA,NA
"21",2495466,13.9,60.1,0.5,3.8,27.3,0.1,0.1,-1,"Mark Ingram","RB",NA,NA,NA,NA,NA,NA
"22",2495467,1.8,6.9,0.1,0.9,8.5,0.1,0.1,-1,"Taiwan Jones","RB",NA,NA,NA,NA,NA,NA
"23",2495470,0,0,0,0,0,0,0,-1,"Stevan Ridley","RB",NA,NA,NA,NA,NA,NA
"24",2495471,4.4,17.5,0.1,1.7,12.8,0.1,0.1,-1,"Jacquizz Rodgers","RB",NA,NA,NA,NA,NA,NA
"25",2495472,0.3,1.8,0,0.1,0.8,0,0,-1,"Jordan Todman","RB",NA,NA,NA,NA,NA,NA
"26",2495473,5.7,25.4,0.1,3.9,33,0.2,0.2,-1,"Shane Vereen","RB",NA,NA,NA,NA,NA,NA
"27",2495979,18.2,81.9,0.8,1.4,13,0.1,0.1,-1,"DeAngelo Williams","RB",NA,NA,NA,NA,NA,NA
"28",2506147,0,0,0,0,0,0,0,-1,"John Kuhn","RB",NA,NA,NA,NA,NA,NA
"29",2506404,13.3,65.1,0.4,2.3,17.5,0.2,0.2,-1,"Frank Gore","RB",NA,NA,NA,NA,NA,NA
"30",2506467,4.8,16.4,0.1,2.9,20.9,0,0.1,-1,"Darren Sproles","RB",NA,NA,NA,NA,NA,NA
"31",2506874,0.6,2,0,0.2,1.2,0,0,-1,"Reggie Bush","RB",NA,NA,NA,NA,NA,NA
"32",2507428,4.4,14.7,0,0.9,7.1,0.1,0.1,-1,"Mike Tolbert","RB",NA,NA,NA,NA,NA,NA
"33",2507999,10,42.3,0.3,1.9,13,0.1,0.1,-1,"Chris Ivory","RB",NA,NA,NA,NA,NA,NA
"34",2508101,0.1,0.3,0,0.2,1.3,0,0,-1,"James Develin","RB",NA,NA,NA,NA,NA,NA
"35",2530690,0,0,0,0,0,0,0,-1,"DuJuan Harris","RB",NA,NA,NA,NA,NA,NA
"36",2530763,0,0,0,0.3,2.6,0,0,-1,"Patrick DiMarco","RB",NA,NA,NA,NA,NA,NA
"37",2531218,0,0,0,0,0,0,0,-1,"Chase Reynolds","RB",NA,NA,NA,NA,NA,NA
"38",2532797,2.9,9.6,0.1,1.2,8.8,0.1,0.1,-1,"Brandon Bolden","RB",NA,NA,NA,NA,NA,NA
"39",2532864,0,0,0,0,0,0,0,-1,"Dan Herron","RB",NA,NA,NA,NA,NA,NA
"40",2532899,8,34.6,0.2,1.9,13.9,0,0.3,-1,"Doug Martin","RB",NA,NA,NA,NA,NA,NA
"41",2532926,0.5,1.8,0,0.1,0.4,0,0,-1,"Isaiah Pead","RB",NA,NA,NA,NA,NA,NA
