,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
30,Julio Jones,WR,26.5,0.0,26.5,26.5,26.5,26.5
45,Antonio Brown,WR,26.45,0.0,26.45,26.45,26.450000000000003,26.45
102,Jarvis Landry,WR,18.17,0.0,18.17,18.17,18.17,18.17
87,DeAndre Hopkins,WR,18.08,0.0,18.08,18.08,18.079999999999995,18.08
105,Odell Beckham,WR,18.05,0.0,18.05,18.05,18.050000000000004,18.05
58,Marvin Jones,WR,17.98,0.0,17.98,17.98,17.980000000000004,17.98
3,Jordy Nelson,WR,17.67,0.0,17.67,17.67,17.67,17.67
66,Alshon Jeffery,WR,17.17,0.0,17.17,17.17,17.169999999999998,17.17
107,Jordan Matthews,WR,17.01,0.0,17.01,17.01,17.009999999999998,17.01
28,A.J. Green,WR,16.85,0.0,16.85,16.85,16.85,16.85
16,Dez Bryant,WR,16.83,0.0,16.83,16.83,16.83,16.83
99,Mike Evans,WR,16.47,0.0,16.47,16.47,16.469999999999995,16.47
108,Allen Robinson,WR,16.44,0.0,16.44,16.44,16.440000000000005,16.44
146,Amari Cooper,WR,16.17,0.0,16.17,16.17,16.170000000000005,16.17
55,Travis Benjamin,WR,15.9,0.0,15.9,15.9,15.900000000000004,15.9
33,Brandon Marshall,WR,15.89,0.0,15.89,15.89,15.889999999999999,15.89
37,Larry Fitzgerald,WR,15.71,0.0,15.71,15.71,15.71,15.71
106,Brandin Cooks,WR,15.51,0.0,15.51,15.51,15.510000000000005,15.51
53,Doug Baldwin,WR,15.27,0.0,15.27,15.27,15.270000000000001,15.27
57,T.Y. Hilton,WR,15.26,0.0,15.26,15.26,15.26,15.26
150,Stefon Diggs,WR,14.83,0.0,14.83,14.83,14.829999999999997,14.83
100,Kelvin Benjamin,WR,14.78,0.0,14.78,14.78,14.780000000000003,14.78
124,Willie Snead,WR,14.74,0.0,14.74,14.74,14.739999999999998,14.74
27,Randall Cobb,WR,14.63,0.0,14.63,14.63,14.63,14.63
13,Jeremy Maclin,WR,14.11,0.0,14.11,14.11,14.11,14.11
22,Demaryius Thomas,WR,13.95,0.0,13.95,13.95,13.95,13.95
10,Michael Crabtree,WR,13.83,0.0,13.83,13.83,13.83,13.83
18,Eric Decker,WR,13.76,0.0,13.76,13.76,13.76,13.76
133,DeVante Parker,WR,13.59,0.0,13.59,13.59,13.590000000000002,13.59
110,Donte Moncrief,WR,13.45,0.0,13.45,13.45,13.450000000000001,13.45
98,Sammy Watkins,WR,13.16,0.0,13.16,13.16,13.160000000000002,13.16
21,Golden Tate,WR,12.93,0.0,12.93,12.93,12.93,12.93
15,Julian Edelman,WR,12.65,0.0,12.65,12.65,12.650000000000004,12.65
38,Vincent Jackson,WR,12.43,0.0,12.43,12.43,12.43,12.43
4,DeSean Jackson,WR,12.29,0.0,12.29,12.29,12.290000000000001,12.29
128,Allen Hurns,WR,12.08,0.0,12.08,12.08,12.079999999999998,12.08
141,Tyler Lockett,WR,12.05,0.0,12.05,12.05,12.049999999999999,12.05
172,Will Fuller,WR,12.03,0.0,12.03,12.03,12.030000000000001,12.03
170,Corey Coleman,WR,11.98,0.0,11.98,11.98,11.98,11.98
20,Emmanuel Sanders,WR,11.9,0.0,11.9,11.9,11.9,11.9
167,Sterling Shepard,WR,11.85,0.0,11.85,11.85,11.85,11.85
56,Michael Floyd,WR,11.7,0.0,11.7,11.7,11.7,11.7
162,Tyrell Williams,WR,11.7,0.0,11.7,11.7,11.7,11.7
54,Terrelle Pryor,WR,11.54,0.0,11.54,11.54,11.54,11.54
67,Mohamed Sanu,WR,11.15,0.0,11.15,11.15,11.150000000000002,11.15
34,Steve Smith,WR,11.09,0.0,11.09,11.09,11.09,11.09
185,Michael Thomas,WR,10.98,0.0,10.98,10.98,10.979999999999999,10.98
31,Torrey Smith,WR,10.89,0.0,10.89,10.89,10.89,10.89
82,Tavon Austin,WR,10.87,0.0,10.87,10.87,10.870000000000003,10.87
168,Tajae Sharpe,WR,10.82,0.0,10.82,10.82,10.820000000000002,10.82
61,Rishard Matthews,WR,10.63,0.0,10.63,10.63,10.629999999999999,10.63
138,Phillip Dorsett,WR,10.26,0.0,10.26,10.26,10.26,10.26
43,Mike Wallace,WR,10.11,0.0,10.11,10.11,10.109999999999998,10.11
71,Cole Beasley,WR,9.94,0.0,9.94,9.94,9.939999999999998,9.94
6,Pierre Garcon,WR,9.67,0.0,9.67,9.67,9.669999999999998,9.67
89,Kenny Stills,WR,9.5,0.0,9.5,9.5,9.500000000000002,9.5
120,John Brown,WR,9.23,0.0,9.23,9.23,9.23,9.23
81,Markus Wheaton,WR,9.18,0.0,9.18,9.18,9.179999999999998,9.18
104,Davante Adams,WR,9.15,0.0,9.15,9.15,9.15,9.15
59,Jermaine Kearse,WR,9.09,0.0,9.09,9.09,9.09,9.09
52,Dontrelle Inman,WR,9.02,0.0,9.02,9.02,9.02,9.02
44,Victor Cruz,WR,8.75,0.0,8.75,8.75,8.750000000000002,8.75
5,Eddie Royal,WR,8.68,0.0,8.68,8.68,8.68,8.68
118,Quincy Enunwa,WR,8.67,0.0,8.67,8.67,8.67,8.67
134,Jamison Crowder,WR,8.55,0.0,8.55,8.55,8.55,8.55
149,Nelson Agholor,WR,8.42,0.0,8.42,8.42,8.419999999999998,8.42
148,Breshad Perriman,WR,7.91,0.0,7.91,7.91,7.91,7.91
177,Tyler Boyd,WR,7.64,0.0,7.64,7.64,7.6400000000000015,7.64
36,Anquan Boldin,WR,7.62,0.0,7.62,7.62,7.620000000000003,7.62
9,Kenny Britt,WR,7.53,0.0,7.53,7.53,7.529999999999999,7.53
171,Josh Doctson,WR,7.48,0.0,7.48,7.48,7.4799999999999995,7.48
24,Jeremy Kerley,WR,7.29,0.0,7.29,7.29,7.290000000000001,7.29
19,Brandon LaFell,WR,6.73,0.0,6.73,6.73,6.73,6.73
88,Robert Woods,WR,6.68,0.0,6.68,6.68,6.680000000000001,6.68
41,Ted Ginn,WR,6.49,0.0,6.49,6.49,6.489999999999999,6.49
51,Kamar Aiken,WR,6.47,0.0,6.47,6.47,6.470000000000001,6.47
131,Seth Roberts,WR,6.45,0.0,6.45,6.45,6.450000000000001,6.45
49,Chris Hogan,WR,6.43,0.0,6.43,6.43,6.4300000000000015,6.43
143,Devin Funchess,WR,6.43,0.0,6.43,6.43,6.4300000000000015,6.43
79,Quinton Patton,WR,6.34,0.0,6.34,6.34,6.34,6.34
159,Eli Rogers,WR,5.94,0.0,5.94,5.94,5.94,5.94
151,Chris Conley,WR,5.91,0.0,5.91,5.91,5.91,5.91
46,Andrew Hawkins,WR,5.89,0.0,5.89,5.89,5.890000000000001,5.89
83,Marquise Goodwin,WR,5.85,0.0,5.85,5.85,5.85,5.85
93,Adam Thielen,WR,5.79,0.0,5.79,5.79,5.789999999999999,5.79
77,Terrance Williams,WR,5.79,0.0,5.79,5.79,5.789999999999999,5.79
147,Dorial Green-Beckham,WR,5.79,0.0,5.79,5.79,5.789999999999999,5.79
176,Pharoh Cooper,WR,5.75,0.0,5.75,5.75,5.75,5.75
64,Kendall Wright,WR,5.54,0.0,5.54,5.54,5.540000000000001,5.54
101,Marqise Lee,WR,5.39,0.0,5.39,5.39,5.3900000000000015,5.39
7,Danny Amendola,WR,5.3,0.0,5.3,5.3,5.300000000000001,5.3
91,Charles Johnson,WR,5.05,0.0,5.05,5.05,5.050000000000001,5.05
125,Albert Wilson,WR,4.88,0.0,4.88,4.88,4.880000000000001,4.88
145,Sammie Coates,WR,4.8,0.0,4.8,4.8,4.800000000000001,4.8
135,Justin Hardy,WR,4.77,0.0,4.77,4.77,4.7700000000000005,4.77
190,Jalin Marshall,WR,4.43,0.0,4.43,4.43,4.430000000000001,4.43
153,J.J. Nelson,WR,4.22,0.0,4.22,4.22,4.220000000000001,4.22
144,Jaelen Strong,WR,3.91,0.0,3.91,3.91,3.91,3.91
130,Corey Brown,WR,3.67,0.0,3.67,3.67,3.67,3.67
62,Brian Quick,WR,3.49,0.0,3.49,3.49,3.49,3.49
114,Josh Huff,WR,3.4,0.0,3.4,3.4,3.400000000000001,3.4
25,Greg Salas,WR,3.37,0.0,3.37,3.37,3.37,3.37
165,Leonte Carroo,WR,3.28,0.0,3.28,3.28,3.28,3.28
72,Rod Streater,WR,3.27,0.0,3.27,3.27,3.2700000000000005,3.27
139,Rashad Greene,WR,2.82,0.0,2.82,2.82,2.8200000000000003,2.82
29,Andre Holmes,WR,2.65,0.0,2.65,2.65,2.6500000000000004,2.65
97,Jaron Brown,WR,2.55,0.0,2.55,2.55,2.55,2.55
12,Darrius Heyward-Bey,WR,2.38,0.0,2.38,2.38,2.38,2.38
178,Rashard Higgins,WR,2.12,0.0,2.12,2.12,2.12,2.12
26,Cecil Shorts,WR,2.0,0.0,2.0,2.0,2.0,2.0
103,Paul Richardson,WR,1.94,0.0,1.94,1.94,1.9400000000000002,1.94
35,Andre Johnson,WR,1.74,0.0,1.74,1.74,1.7400000000000002,1.74
109,Cody Latimer,WR,1.67,0.0,1.67,1.67,1.67,1.67
11,Jordan Norwood,WR,1.65,0.0,1.65,1.65,1.65,1.65
164,Laquon Treadwell,WR,1.58,0.0,1.58,1.58,1.58,1.58
