player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Vikings,DST,13.23,2.92,7.4,19.07,12.88,14.5
Texans,DST,11.22,3.93,3.36,19.09,10.57,10.2
Redskins,DST,11.15,6.95,-2.74,25.04,9.5,7.9
Panthers,DST,11.02,3.19,4.65,17.4,10.59,10.35
Broncos,DST,10.52,3.26,4.0,17.05,10.08,9.35
Buccaneers,DST,10.32,6.81,-3.29,23.94,8.65,7.1
Jaguars,DST,10.3,4.04,2.22,18.38,9.6,7.8
Colts,DST,10.27,4.29,1.7,18.84,9.4,9.1
Cardinals,DST,9.85,2.45,4.95,14.75,9.58,8.7
Giants,DST,9.53,4.6,0.34,18.73,8.57,6.9
Lions,DST,9.48,3.81,1.86,17.09,8.86,7.55
Patriots,DST,9.35,3.87,1.6,17.1,8.71,7.55
Chiefs,DST,9.35,2.44,4.47,14.23,9.01,9.5
Bengals,DST,9.3,3.38,2.54,16.06,8.74,7.7
Seahawks,DST,9.25,3.43,2.4,16.1,8.71,7.95
Steelers,DST,9.0,2.95,3.11,14.89,8.59,7.6
Raiders,DST,8.38,4.52,-0.67,17.42,7.39,6.55
Falcons,DST,8.34,7.0,-5.66,22.34,6.36,4.7
Jets,DST,8.32,4.19,-0.06,16.7,7.39,6.6
Bills,DST,8.12,4.56,-1.0,17.25,7.17,5.7
Dolphins,DST,8.1,4.32,-0.53,16.73,7.02,6.5
Bears,DST,7.98,3.52,0.94,15.01,7.35,6.4
Saints,DST,7.88,4.27,-0.65,16.41,6.95,6.5
Ravens,DST,7.85,4.2,-0.54,16.24,6.96,6.05
Titans,DST,7.83,4.88,-1.94,17.59,6.55,6.1
Cowboys,DST,7.65,3.81,0.03,15.27,6.86,6.1
Chargers,DST,7.28,3.33,0.61,13.94,6.67,5.7
49ers,DST,7.0,4.68,-2.37,16.37,5.86,4.5
Browns,DST,6.56,3.43,-0.3,13.42,5.8,6.0
Cam Newton,QB,22.94,2.23,18.48,27.4,22.83,23.02
Drew Brees,QB,22.65,2.02,18.61,26.69,22.55,23.04
Philip Rivers,QB,21.51,3.03,15.44,27.58,21.29,22.42
Andrew Luck,QB,21.33,1.4,18.52,24.14,21.29,20.96
Blake Bortles,QB,20.52,2.39,15.75,25.3,20.39,19.84
Matthew Stafford,QB,20.13,1.75,16.62,23.64,20.06,19.85
Ben Roethlisberger,QB,19.45,3.56,12.33,26.56,19.12,18.65
Russell Wilson,QB,19.27,2.46,14.34,24.2,19.1,18.81
Kirk Cousins,QB,19.27,0.79,17.69,20.84,19.25,19.15
Andy Dalton,QB,18.1,2.15,13.8,22.41,17.96,18.68
Matt Ryan,QB,17.41,2.54,12.33,22.48,17.22,17.27
Carson Palmer,QB,17.4,1.64,14.12,20.67,17.31,18.26
Alex Smith,QB,17.03,1.64,13.75,20.3,16.94,18.27
Joe Flacco,QB,17.02,1.15,14.73,19.32,16.98,16.77
Derek Carr,QB,16.83,2.06,12.71,20.95,16.7,16.63
Tyrod Taylor,QB,16.41,1.57,13.27,19.55,16.34,16.05
Ryan Fitzpatrick,QB,16.33,1.86,12.61,20.05,16.22,16.44
Blaine Gabbert,QB,16.22,1.23,13.75,18.68,16.17,16.44
Dak Prescott,QB,16.16,2.08,12.01,20.32,16.03,15.72
Ryan Tannehill,QB,15.98,1.6,12.78,19.17,15.9,15.28
Brock Osweiler,QB,15.75,1.52,12.7,18.79,15.67,16.35
Eli Manning,QB,15.57,2.01,11.56,19.58,15.44,14.5
Jameis Winston,QB,15.53,1.78,11.97,19.08,15.42,15.43
Sam Bradford,QB,15.45,1.08,13.29,17.62,15.41,15.59
Marcus Mariota,QB,15.33,1.58,12.17,18.49,15.25,15.52
Trevor Siemian,QB,14.73,4.25,6.23,23.23,13.86,15.92
Cody Kessler,QB,13.82,0.77,12.29,15.35,13.8,14.14
Jimmy Garoppolo,QB,13.75,6.13,1.49,26.0,8.32,15.89
Brian Hoyer,QB,10.88,6.66,-2.44,24.2,11.55,13.74
Case Keenum,QB,10.28,2.87,4.54,16.01,9.78,11.15
Colin Kaepernick,QB,4.96,8.25,-11.55,21.46,2.27,1.36
Geno Smith,QB,3.75,5.62,-7.5,15.0,1.07,0.31
Shaun Hill,QB,2.66,4.99,-7.32,12.64,0.59,0.2
Mike Glennon,QB,2.43,4.93,-7.42,12.28,0.75,0.12
Paxton Lynch,QB,1.86,3.63,-5.4,9.13,0.89,0.1
Mark Sanchez,QB,0.91,0.95,-1.0,2.81,0.67,0.28
Colt McCoy,QB,0.69,1.1,-1.51,2.9,0.35,0.13
AJ McCarron,QB,0.52,0.72,-0.92,1.95,0.32,0.14
Matt McGloin,QB,0.5,0.76,-1.02,2.01,0.22,0.1
Landry Jones,QB,0.46,0.47,-0.47,1.4,0.34,0.32
Nick Foles,QB,0.44,0.58,-0.72,1.59,0.31,0.18
Tom Savage,QB,0.35,0.49,-0.64,1.33,0.16,0.09
Dan Orlovsky,QB,0.35,0.55,-0.75,1.44,0.16,0.1
Jared Goff,QB,0.34,0.39,-0.43,1.11,0.28,0.18
Matt Cassel,QB,0.3,0.42,-0.54,1.14,0.21,0.11
Scott Tolzien,QB,0.27,0.35,-0.44,0.97,0.12,0.11
Ryan Mallett,QB,0.25,0.23,-0.2,0.71,0.25,0.14
Kellen Clemens,QB,0.23,0.25,-0.26,0.73,0.13,0.14
E.J. Manuel,QB,0.21,0.14,-0.06,0.48,0.17,0.17
Ryan Nassib,QB,0.19,0.21,-0.23,0.61,0.14,0.14
Chad Henne,QB,0.17,0.14,-0.12,0.45,0.16,0.1
Drew Stanton,QB,0.15,0.16,-0.17,0.47,0.17,0.08
Matt Schaub,QB,0.1,0.14,-0.18,0.39,0.16,0.09
Sean Mannion,QB,0.1,0.14,-0.17,0.38,0.23,0.0
Matt Barkley,QB,0.08,0.14,-0.19,0.36,0.05,0.0
Charlie Whitehurst,QB,0.07,0.1,-0.12,0.26,0.05,0.0
Matt Moore,QB,0.07,0.06,-0.05,0.18,0.05,0.07
Derek Anderson,QB,0.06,0.07,-0.08,0.2,0.06,0.03
Luke McCown,QB,0.05,0.07,-0.08,0.18,0.04,0.02
Zach Mettenberger,QB,0.03,0.06,-0.09,0.15,0.15,0.0
Bryce Petty,QB,0.0,0.01,-0.01,0.02,0.02,0.0
Austin Davis,QB,0.0,0.0,-0.0,0.0,0.0,0.0
Brandon Weeden,QB,0.0,0.0,0.0,0.0,,0.0
Cardale Jones,QB,0.0,0.0,0.0,0.0,,0.0
Ryan Griffin,QB,0.0,0.0,0.0,0.0,,0.0
Aaron Murray,QB,0.0,0.0,0.0,0.0,,0.0
Keith Wenning,QB,0.0,0.0,0.0,0.0,,0.0
Connor Cook,QB,0.0,0.0,0.0,0.0,,0.0
Stephen Morris,QB,0.0,0.0,0.0,0.0,,0.0
Jerrod Johnson,QB,0.0,0.0,0.0,0.0,,0.0
Matt Simms,QB,0.0,0.0,0.0,0.0,,0.0
Christian Ponder,QB,0.0,0.0,0.0,0.0,,0.0
Logan Thomas,QB,0.0,0.0,0.0,0.0,,0.0
David Fales,QB,0.0,0.0,0.0,0.0,,0.0
Josh Johnson,QB,0.0,0.0,0.0,0.0,,0.0
Jeff Driskel,QB,0.0,0.0,0.0,0.0,,0.0
Alex Tanney,QB,0.0,0.0,0.0,0.0,,0.0
Christian Hackenberg,QB,0.0,0.0,0.0,0.0,,0.0
Trevone Boykin,QB,-0.09,0.23,-0.55,0.36,0.04,0.0
David Johnson,RB,19.29,1.96,15.37,23.21,19.19,19.37
Lamar Miller,RB,16.69,1.67,13.34,20.04,16.61,16.87
Melvin Gordon,RB,16.48,2.74,11.01,21.95,16.24,16.67
Todd Gurley,RB,15.85,2.44,10.98,20.72,15.68,14.66
LeVeon Bell,RB,15.65,6.46,2.73,28.56,13.7,19.73
Jamaal Charles,RB,15.08,9.29,-3.51,33.67,12.98,12.58
Matt Forte,RB,14.94,1.95,11.05,18.83,14.82,14.48
Mark Ingram,RB,14.64,3.21,8.22,21.06,14.22,15.1
Charles Sims,RB,14.58,2.21,10.16,19.0,14.38,15.66
Ezekiel Elliott,RB,14.27,0.7,12.87,15.68,14.26,14.39
Theo Riddick,RB,14.24,2.93,8.38,20.1,13.94,13.8
DeMarco Murray,RB,13.7,1.52,10.66,16.74,13.61,14.44
Devonta Freeman,RB,13.54,2.39,8.76,18.32,13.3,14.2
Giovani Bernard,RB,13.23,1.55,10.12,16.34,13.14,12.36
LeSean McCoy,RB,13.1,2.78,7.55,18.66,12.77,14.19
Jordan Howard,RB,12.97,5.56,1.85,24.09,11.23,13.78
Frank Gore,RB,12.81,1.63,9.54,16.07,12.7,13.33
Carlos Hyde,RB,12.63,2.22,8.19,17.08,12.4,13.31
C.J. Anderson,RB,12.48,5.36,1.77,23.2,14.45,14.5
Duke Johnson,RB,12.2,2.77,6.66,17.73,11.85,12.34
Jeremy Hill,RB,12.08,3.4,5.28,18.88,11.6,11.99
LeGarrette Blount,RB,11.67,2.82,6.04,17.3,11.21,13.12
Isaiah Crowell,RB,11.6,2.04,7.53,15.67,11.41,11.26
Rashad Jennings,RB,11.32,2.15,7.02,15.61,11.11,11.42
Christine Michael,RB,11.23,4.71,1.81,20.65,7.85,13.88
Jerick McKinnon,RB,11.18,3.88,3.42,18.94,10.38,12.36
Matt Jones,RB,10.79,2.28,6.24,15.35,10.54,11.47
T.J. Yeldon,RB,10.31,2.2,5.9,14.72,10.01,11.14
Latavius Murray,RB,10.1,2.12,5.85,14.35,9.87,9.59
Chris Ivory,RB,9.79,0.52,8.74,10.83,9.77,9.61
Tevin Coleman,RB,9.57,1.89,5.8,13.35,9.39,9.29
Justin Forsett,RB,9.54,2.58,4.39,14.7,9.15,10.02
Bilal Powell,RB,9.14,5.09,-1.05,19.33,8.1,6.77
Spencer Ware,RB,9.04,3.93,1.18,16.91,7.79,10.2
DeAngelo Williams,RB,8.91,4.12,0.67,17.15,7.9,8.46
Chris Thompson,RB,8.9,1.88,5.14,12.66,8.67,9.05
Cameron Artis-Payne,RB,8.51,2.13,4.24,12.77,8.2,8.33
James White,RB,7.87,2.72,2.43,13.31,7.27,9.07
Dwayne Washington,RB,7.73,2.75,2.22,13.24,7.18,7.4
Derrick Henry,RB,7.43,1.33,4.77,10.09,7.31,7.33
Jay Ajayi,RB,7.41,1.93,3.55,11.28,7.19,6.7
Shaun Draughn,RB,7.06,1.22,4.62,9.49,6.94,7.68
Terrance West,RB,6.68,2.36,1.96,11.41,6.26,6.48
Fozzy Whittaker,RB,6.23,2.95,0.33,12.12,5.36,6.79
Matt Asiata,RB,6.12,3.99,-1.85,14.09,5.81,8.7
KaDeem Carey,RB,5.52,3.6,-1.68,12.71,6.01,4.73
Travaris Cadet,RB,5.09,3.03,-0.96,11.14,5.65,5.8
Benny Cunningham,RB,4.98,2.08,0.81,9.15,4.34,5.2
Alfred Morris,RB,4.84,2.43,-0.03,9.7,4.31,4.23
