Player,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Fantasy,FPts/G
Denver Broncos,1,5,1,1,2,20,197,83,0,0,19,19
Arizona Cardinals,1,3,1,4,1,7,243,85,0,0,14,14
Carolina Panthers,1,2,1,2,1,27,243,65,0,0,11,11
Buffalo Bills,1,1,1,0,1,37,374,123,0,0,8,8
Chicago Bears,1,2,0,0,0,29,190,100,0,1,8,8
Minnesota Vikings,1,5,2,1,0,14,213,83,0,0,8,8
Houston Texans,1,4,3,0,0,12,186,119,0,0,7,7
Baltimore Ravens,1,3,0,2,0,20,260,145,1,0,7,7
Philadelphia Eagles,1,3,2,1,0,14,235,64,0,0,6,6
Detroit Lions,1,3,0,1,0,16,238,139,1,0,6,6
Green Bay Packers,1,4,1,0,0,17,286,30,0,0,5,5
San Diego Chargers,1,2,1,2,0,14,329,69,0,0,5,5
San Francisco 49ers,1,1,3,1,0,46,353,176,0,0,5,5
Tennessee Titans,1,4,0,1,0,15,260,137,0,0,5,5
New Orleans Saints,1,2,3,0,0,16,368,64,0,0,5,5
Washington Redskins,1,4,1,0,0,27,292,102,0,0,5,5
Jacksonville Jaguars,1,3,1,0,0,38,220,150,0,0,4,4
Kansas City Chiefs,1,2,0,2,0,19,268,97,0,0,4,4
Los Angeles Rams,1,2,2,0,0,3,254,67,0,0,4,4
New England Patriots,1,0,2,2,0,24,389,70,0,0,4,4
Pittsburgh Steelers,1,1,2,0,0,16,366,46,0,0,3,3
Seattle Seahawks,1,3,0,0,0,9,239,64,0,0,3,3
Cincinnati Bengals,1,1,0,2,0,24,259,124,0,0,3,3
Miami Dolphins,1,2,1,0,0,31,326,161,0,0,3,3
Dallas Cowboys,1,2,0,1,0,23,364,82,0,0,3,3
New York Giants,1,2,0,0,0,13,263,41,0,0,2,2
Oakland Raiders,1,1,0,1,0,35,396,139,0,0,2,2
Indianapolis Colts,1,1,0,1,0,34,266,134,0,0,2,2
Cleveland Browns,1,0,0,2,0,25,302,80,0,0,2,2
New York Jets,1,0,0,1,0,31,307,86,0,0,1,1
Atlanta Falcons,1,1,0,0,0,28,299,155,0,0,1,1
Tampa Bay Buccaneers,1,1,0,0,0,40,319,101,0,0,1,1
