,Unnamed: 0,Unnamed: 1,Unnamed: 2,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Rushing,Rushing.1,Rushing.2,Fantasy
0,Cam Newton,CAR,1,24,40,353,4,1,6,37,0,35.82
1,Matt Ryan,ATL,1,26,34,396,3,1,0,0,0,29.84
2,Ryan Tannehill,MIA,1,32,45,389,2,2,6,35,0,28.06
3,Tyrod Taylor,BUF,1,18,30,297,3,1,2,25,0,25.38
4,Philip Rivers,SD,1,17,24,220,4,0,1,10,0,25.8
5,Derek Carr,OAK,1,34,45,299,3,0,2,10,0,24.96
6,Blake Bortles,JAC,1,31,50,329,2,2,3,34,0,25.56
7,Carson Palmer,ARI,1,18,31,308,3,0,0,0,0,27.32
8,Blaine Gabbert,SF,1,17,36,243,2,2,3,10,1,22.72
9,Ben Roethlisberger,PIT,1,19,37,259,3,2,1,14,0,21.76
10,Ryan Fitzpatrick,NYJ,1,24,34,374,1,0,5,21,0,24.06
11,Kirk Cousins,WAS,1,28,46,364,1,1,2,20,0,22.56
12,Jimmy Garoppolo,NE,1,18,27,234,3,0,0,0,0,21.36
13,Aaron Rodgers,GB,1,20,36,213,1,1,3,29,1,20.42
14,Joe Flacco,BAL,1,25,45,302,2,2,1,1,0,21.18
15,Andy Dalton,CIN,1,31,54,366,1,0,2,7,0,22.34
16,Sam Bradford,MIN,1,22,31,286,2,0,1,-3,0,19.14
17,Dak Prescott,DAL,1,22,30,292,0,0,1,6,1,18.28
18,Marcus Mariota,TEN,1,25,33,238,2,1,2,11,0,17.62
19,Josh McCown,CLE,1,20,33,260,2,2,2,0,0,16.4
20,Matthew Stafford,DET,1,22,40,260,1,1,2,31,0,16.5
21,Eli Manning,NYG,1,32,41,368,0,0,4,-4,0,17.32
22,Drew Brees,NO,1,29,44,263,1,0,0,0,0,14.52
23,Brock Osweiler,HOU,1,19,33,268,1,2,2,-3,0,12.42
24,Jameis Winston,TB,1,27,52,243,1,4,3,9,0,10.62
25,Andrew Luck,IND,1,21,40,197,1,1,3,22,0,13.08
26,Carson Wentz,PHI,1,21,34,190,1,0,6,10,0,12.6
27,Russell Wilson,SEA,1,22,35,254,0,0,5,14,0,11.56
28,Trevor Siemian,DEN,1,22,33,266,0,1,1,7,0,10.34
29,Case Keenum,LAR,1,18,30,239,0,0,3,5,0,10.06
30,Alex Smith,KC,1,20,37,186,0,0,2,2,0,7.64
31,Jay Cutler,CHI,1,12,17,157,0,1,0,0,0,5.28
32,Jacoby Brissett,NE,1,6,9,92,0,0,4,12,0,4.88
33,Brian Hoyer,CHI,1,9,12,78,0,0,0,0,0,3.12
34,EJ Manuel,BUF,1,1,1,10,0,0,2,2,0,0.6
35,Drew Stanton,ARI,1,1,4,11,0,0,0,0,0,0.44
36,Matt Cassel,TEN,1,0,0,0,0,0,1,-1,0,-0.1
37,Kellen Clemens,SD,1,0,1,0,0,0,2,-1,0,-0.1
