,Unnamed: 0,Unnamed: 1,Unnamed: 2,Rushing,Rushing.1,Rushing.2,Receiving,Receiving.1,Receiving.2,Receiving.3,Fantasy
0,Matt Forte,NYJ,1,30,100,3,3,2,9,0,33.3
1,Isaiah Crowell,CLE,1,18,133,1,1,1,15,0,23.4
2,DeAngelo Williams,PIT,1,32,94,0,5,4,38,1,13.9
3,LeGarrette Blount,NE,1,29,123,1,0,0,0,0,21.3
4,Melvin Gordon,SD,1,24,102,1,3,3,18,0,22.5
5,Giovani Bernard,CIN,1,5,17,0,11,9,100,1,14.8
6,Latavius Murray,OAK,1,8,57,1,6,6,44,0,18.3
7,Ryan Mathews,PHI,1,9,32,2,1,1,3,0,16.3
8,C.J. Anderson,DEN,1,20,74,1,5,3,19,0,16.9
9,Ezekiel Elliott,DAL,1,21,83,1,2,2,4,0,16.5
10,DeMarco Murray,TEN,1,12,89,0,7,7,56,0,16.6
11,David Johnson,ARI,1,12,45,0,5,3,98,0,8.0
12,Tevin Coleman,ATL,1,12,46,1,2,2,25,0,12.8
13,Fozzy Whittaker,CAR,1,16,100,0,4,3,31,0,16.4
14,Matt Jones,WAS,1,13,61,1,1,1,4,0,13.2
15,Frank Gore,IND,1,13,44,0,3,3,19,1,7.7
16,Chris Johnson,ARI,1,16,54,1,0,0,0,0,11.4
17,Spencer Ware,KC,1,10,57,0,3,2,48,0,8.0
18,Lamar Miller,HOU,1,25,83,0,2,2,14,0,10.5
19,Jeremy Langford,CHI,1,11,28,1,2,1,6,0,10.0
20,Devonta Freeman,ATL,1,17,93,0,0,0,0,0,9.3
21,LeSean McCoy,BUF,1,15,59,0,5,4,31,0,10.4
22,Christine Michael,SEA,1,10,60,0,4,3,26,0,9.4
23,Kenyan Drake,MIA,1,2,12,1,2,2,6,0,9.4
24,Mike Gillislee,BUF,1,0,0,0,1,1,18,1,1.1
25,Corey Grant,JAC,1,0,0,0,1,1,15,1,1.1
26,Todd Gurley,LAR,1,19,51,0,1,1,19,0,6.2
27,Robert Turbin,IND,1,3,10,1,1,0,0,0,7.1
28,Alfred Morris,DAL,1,5,7,1,0,0,0,0,6.7
29,Shane Vereen,NYG,1,14,42,0,3,3,24,0,7.5
30,Theo Riddick,DET,1,11,37,0,5,4,28,0,8.2
31,Charcandrick West,KC,1,6,61,0,2,1,2,0,7.3
32,Jeremy Hill,CIN,1,11,22,0,5,3,37,0,5.7
33,Chris Thompson,WAS,1,2,1,0,4,3,57,0,3.5
34,Terrance West,BAL,1,11,42,0,3,1,15,0,5.5
35,Duke Johnson,CLE,1,3,12,0,5,4,44,0,5.7
36,Carlos Hyde,SF,1,14,34,0,3,3,18,0,6.7
37,DeAndre Washington,OAK,1,6,46,0,1,1,6,0,5.7
38,Devontae Booker,DEN,1,9,46,0,1,1,5,0,5.7
39,Eddie Lacy,GB,1,12,50,0,1,0,0,0,5.1
40,Derrick Henry,TEN,1,9,40,0,1,1,9,0,5.1
41,Darren Sproles,PHI,1,12,40,0,2,2,8,0,6.2
42,Mark Ingram,NO,1,9,30,0,4,4,17,0,7.4
43,Justin Forsett,BAL,1,14,37,0,5,3,9,0,7.2
44,Jay Ajayi,MIA,1,5,14,0,4,4,31,0,5.8
45,Rashad Jennings,NYG,1,13,27,0,2,2,13,0,4.9
46,Jamize Olawale,OAK,1,1,11,0,2,2,28,0,3.3
47,Ameer Abdullah,DET,1,6,38,0,0,0,0,0,3.8
48,T.J. Yeldon,JAC,1,7,28,0,9,8,10,0,11.7
49,Josh Ferguson,IND,1,2,7,0,5,5,29,0,6.2
50,Lance Dunbar,DAL,1,3,6,0,2,2,26,0,2.8
51,Jordan Howard,CHI,1,3,22,0,2,2,9,0,4.4
52,Dwayne Washington,DET,1,4,31,0,0,0,0,0,3.1
53,Danny Woodhead,SD,1,3,27,0,1,1,4,0,3.8
54,Jacquizz Rodgers,TB,1,2,29,0,1,0,0,0,3.0
55,James White,NE,1,4,19,0,4,2,10,0,4.3
56,Charles Sims,TB,1,9,24,0,5,3,4,0,5.9
57,Jalen Richard,OAK,1,7,17,0,1,1,10,0,2.8
58,Adrian Peterson,MIN,1,12,19,0,3,2,7,0,4.2
59,Matt Asiata,MIN,1,6,14,0,1,1,11,0,2.5
60,Mike Tolbert,CAR,1,9,25,0,1,0,0,0,2.6
61,Doug Martin,TB,1,7,23,0,0,0,0,0,2.3
62,Shaun Draughn,SF,1,9,21,0,1,0,0,0,2.2
63,Jonathan Grimes,HOU,1,1,8,0,3,1,13,0,2.1
64,James Starks,GB,1,7,3,0,1,1,16,0,1.4
65,Travaris Cadet,NO,1,0,0,0,3,2,17,0,2.3
66,Wendell Smallwood,PHI,1,2,16,0,1,0,0,0,1.7
67,Jonathan Stewart,CAR,1,5,9,0,2,2,7,0,3.1
68,Denard Robinson,JAC,1,1,7,0,2,1,7,0,1.9
69,Kenneth Farrow,SD,1,4,13,0,1,0,0,0,1.4
70,Fitzgerald Toussaint,PIT,1,1,4,0,1,1,9,0,1.5
71,Alfred Blue,HOU,1,5,11,0,0,0,0,0,1.1
72,Andre Ellington,ARI,1,1,2,0,1,1,9,0,1.3
73,Andy Janovich,DEN,1,0,0,0,1,1,11,0,1.1
74,Mike Davis,SF,1,0,0,0,1,1,10,0,1.1
75,John Kuhn,NO,1,1,2,0,2,2,8,0,2.4
76,Benny Cunningham,LAR,1,1,2,0,2,1,7,0,1.4
77,Arian Foster,MIA,1,3,9,0,0,0,0,0,0.9
78,D.J. Foster,NE,1,1,7,0,2,1,2,0,1.9
79,Tim Hightower,NO,1,3,9,0,0,0,0,0,0.9
80,Kyle Juszczyk,BAL,1,0,0,0,2,1,8,0,1.2
81,Thomas Rawls,SEA,1,7,-7,0,3,3,15,0,2.6
82,Kapri Bibbs,DEN,1,1,7,0,1,0,0,0,0.8
83,Ka'Deem Carey,CHI,1,2,3,0,1,1,3,0,1.4
84,Daryl Richardson,PIT,1,1,6,0,0,0,0,0,0.6
85,Bilal Powell,NYJ,1,1,2,0,2,1,1,0,1.4
86,Kenjon Barner,PHI,1,2,2,0,0,0,0,0,0.2
87,Orleans Darkwa,NYG,1,1,-1,0,1,1,3,0,1.0
88,Jerick McKinnon,MIN,1,2,2,0,1,1,-1,0,1.3
89,Alex Collins,SEA,1,2,0,0,0,0,0,0,0.0
90,Will Tukuafu,SEA,1,0,0,0,1,0,0,0,0.1
