,Unnamed: 0,Unnamed: 1,Unnamed: 2,Receiving,Receiving.1,Receiving.2,Receiving.3,Fantasy
0,Greg Olsen,CAR,1,8,5,122,1,26.2
1,Martellus Bennett,NE,1,6,5,114,1,25.4
2,Delanie Walker,TEN,1,6,6,83,1,20.3
3,Vance McDonald,SF,1,2,1,75,1,14.5
4,Jacob Tamme,ATL,1,8,5,75,1,18.5
5,Clive Walford,OAK,1,7,6,50,1,17.0
6,Trey Burton,PHI,1,7,5,49,1,15.9
7,Jordan Cameron,MIA,1,7,5,49,1,15.9
8,Dennis Pitta,BAL,1,12,9,102,0,22.2
9,Kyle Rudolph,MIN,1,8,3,31,1,12.1
10,Jesse James,PIT,1,5,3,29,1,11.9
11,Xavier Grimble,PIT,1,4,2,26,1,10.6
12,Austin Hooper,ATL,1,3,3,84,0,11.4
13,Marcedes Lewis,JAC,1,3,2,17,1,9.7
14,Antonio Gates,SD,1,5,3,15,1,10.5
15,Julius Thomas,JAC,1,7,4,71,0,11.1
16,Jordan Reed,WAS,1,7,5,70,0,12.0
17,Lance Kendricks,LAR,1,6,4,61,0,10.1
18,Eric Ebron,DET,1,7,4,53,0,9.3
19,Vernon Davis,WAS,1,5,5,51,0,10.1
20,Jason Witten,DAL,1,4,3,51,0,8.1
21,Virgil Green,DEN,1,3,3,46,0,7.6
22,Jimmy Graham,SEA,1,4,3,42,0,7.2
23,Gary Barnidge,CLE,1,5,4,37,0,7.7
24,Jack Doyle,IND,1,5,4,37,0,7.7
25,Tyler Kroft,CIN,1,4,3,35,0,6.5
26,Travis Kelce,KC,1,7,5,34,0,8.4
27,Zach Miller,CHI,1,5,4,33,0,7.3
28,Jared Cook,GB,1,6,4,31,0,7.1
29,Darren Fells,ARI,1,5,4,31,0,7.1
30,Coby Fleener,NO,1,8,2,29,0,4.9
31,Geoff Swaim,DAL,1,2,2,29,0,4.9
32,Charles Clay,BUF,1,7,5,27,0,7.7
33,Dwayne Allen,IND,1,4,2,25,0,4.5
34,Richard Rodgers,GB,1,2,2,25,0,4.5
35,Larry Donnell,NYG,1,5,4,24,0,6.4
36,Lee Smith,OAK,1,4,4,24,0,6.4
37,Crockett Gillmore,BAL,1,3,1,22,0,3.2
38,Dion Sims,MIA,1,1,1,21,0,3.1
39,Levine Toilolo,ATL,1,2,2,21,0,4.1
40,Cameron Brate,TB,1,4,3,16,0,4.6
41,Niles Paul,WAS,1,1,1,16,0,2.6
42,Stephen Anderson,HOU,1,3,2,15,0,3.5
43,Austin Seferian-Jenkins,TB,1,2,2,14,0,3.4
44,Garrett Celek,SF,1,2,1,12,0,2.2
45,Will Tye,NYG,1,3,2,10,0,3.0
46,C.J. Uzomah,CIN,1,8,3,9,0,3.9
47,Phillip Supernaw,TEN,1,1,1,7,0,1.7
48,Blake Bell,SF,1,2,1,6,0,1.6
49,Luke Willson,SEA,1,1,1,6,0,1.6
50,Ryan Griffin,HOU,1,2,1,5,0,1.5
51,David Johnson,PIT,1,1,1,5,0,1.5
52,Anthony Fasano,TEN,1,3,1,1,0,1.1
53,C.J. Fiedorowicz,HOU,1,1,1,1,0,1.1
54,Brandon Bostick,NYJ,1,1,0,0,0,0.0
55,Brent Celek,PHI,1,1,0,0,0,0.0
56,Kellen Davis,NYJ,1,1,0,0,0,0.0
57,Ed Dickson,CAR,1,1,0,0,0,0.0
58,Jermaine Gresham,ARI,1,1,0,0,0,0.0
59,Demetrius Harris,KC,1,1,0,0,0,0.0
60,Troy Niklas,ARI,1,1,0,0,0,0.0
