,Unnamed: 0,Unnamed: 1,Unnamed: 2,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Fantasy
0,Stefon Diggs,MIN,1,11,9,182,1,0,0,0,19.1
1,Travis Benjamin,SD,1,6,6,115,2,1,-1,0,21.6
2,Kelvin Benjamin,CAR,1,9,7,108,2,0,0,0,22.9
3,Corey Coleman,CLE,1,8,5,104,2,0,0,0,20.8
4,Eric Decker,NYJ,1,8,6,126,1,0,0,0,15.8
5,DeAndre Hopkins,HOU,1,11,7,113,1,0,0,0,17.1
6,Marquise Goodwin,BUF,1,5,2,112,1,0,0,0,11.5
7,Danny Amendola,NE,1,4,4,50,2,0,0,0,16.4
8,Julio Jones,ATL,1,5,5,106,1,0,0,0,14.5
9,Mike Wallace,BAL,1,6,4,41,2,0,0,0,16.6
10,Greg Salas,BUF,1,5,4,89,1,0,0,0,10.5
11,Larry Fitzgerald,ARI,1,11,6,81,1,0,0,0,13.1
12,Jaron Brown,ARI,1,2,2,78,1,0,0,0,8.2
13,Jarvis Landry,MIA,1,13,10,137,0,0,0,0,14.3
14,Jordy Nelson,GB,1,11,5,73,1,0,0,0,12.1
15,Mike Evans,TB,1,17,6,70,1,0,0,0,13.7
16,Tyrell Williams,SD,1,6,3,61,1,0,0,0,9.6
17,Marvin Jones,DET,1,11,8,118,0,0,0,0,12.1
18,Sterling Shepard,NYG,1,8,8,117,0,0,0,0,11.8
19,Torrey Smith,SF,1,10,3,55,1,0,0,0,10.0
20,Willie Snead,NO,1,8,5,54,1,0,0,0,11.8
21,Anquan Boldin,DET,1,7,4,48,1,0,0,0,10.7
22,DeVante Parker,MIA,1,13,8,106,0,0,0,0,12.3
23,Will Fuller,HOU,1,7,4,104,0,0,0,0,7.7
24,Sammie Coates,PIT,1,5,2,97,0,1,6,0,2.5
25,Dez Bryant,DAL,1,12,7,102,0,0,0,0,11.2
26,Brandon Marshall,NYJ,1,9,6,101,0,0,0,0,9.9
27,Jamison Crowder,WAS,1,8,6,39,1,0,0,0,12.8
28,Tyler Lockett,SEA,1,4,4,99,0,0,0,0,4.4
29,Kenny Stills,MIA,1,4,2,39,1,0,0,0,8.4
