Game,Team,Team Opponent,Spread ,Volume
1,Houston Texans,New England Patriots,-1½(-115),40(-110)o
1,New England Patriots,Houston Texans,+1½(-105),40(-110)u
2,Detroit Lions,Green Bay Packers,+8(-115),48(-105)o
2,Green Bay Packers,Detroit Lions,-8(-105),48(-115)u
3,Washington Redskins,New York Giants,+4½(-110),46(-105)o
3,New York Giants,Washington Redskins,-4½(-110),46(-115)u
4,Minnesota Vikings,Carolina Panthers,+7(-110),43(-110)o
4,Carolina Panthers,Minnesota Vikings,-7(-110),43(-110)u
5,Baltimore Ravens,Jacksonville Jaguars,-1(-110),47(-110)o
5,Jacksonville Jaguars,Baltimore Ravens,+1(-110),47(-110)u
6,Cleveland Browns,Miami Dolphins,+10(-110),41(-110)o
6,Miami Dolphins,Cleveland Browns,-10(-110),41(-110)u
7,Arizona Cardinals,Buffalo Bills,-5(-105),47(-110)o
7,Buffalo Bills,Arizona Cardinals,+5(-115),47(-110)u
8,Oakland Raiders,Tennessee Titans,+1(-110),47(-105)o
8,Tennessee Titans,Oakland Raiders,-1(-110),47(-115)u
9,San Francisco 49ers,Seattle Seahawks,+9(-105),40(-110)o
9,Seattle Seahawks,San Francisco 49ers,-9(-115),40(-110)u
10,Los Angeles Rams,Tampa Bay Buccaneers,+5½(-110),42(-110)o
10,Tampa Bay Buccaneers,Los Angeles Rams,-5½(-110),42(-110)u
11,Pittsburgh Steelers,Philadelphia Eagles,-3½(-115),46(-110)o
11,Philadelphia Eagles,Pittsburgh Steelers,+3½(-105),46(-110)u
12,San Diego Chargers,Indianapolis Colts,+3(-120),52(-105)o
12,Indianapolis Colts,San Diego Chargers,-3(EVEN),52(-115)u
13,New York Jets,Kansas City Chiefs,+3(-115),43(-105)o
13,Kansas City Chiefs,New York Jets,-3(-105),43(-115)u
14,Chicago Bears,Dallas Cowboys,+7(-110),44(-110)o
14,Dallas Cowboys,Chicago Bears,-7(-110),44(-110)u
15,Atlanta Falcons,New Orleans Saints,+3(-105),53(-110)o
15,New Orleans Saints,Atlanta Falcons,-3(-115),53(-110)u
