,DefTD,FPts/G,FR,Fantasy,G,INT,KickTD,PA,PaYd/G,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Player,Receiving,Receiving.1,Receiving.2,Receiving.3,RuYd/G,Rushing,Rushing.1,Rushing.2,Sack,Safety,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
0,2.0,19.0,1.0,19.0,1.0,1.0,0.0,20.0,197.0,,,,,,Denver Broncos,,,,,83.0,,,,5.0,0.0,,,,
1,1.0,14.0,1.0,14.0,1.0,4.0,0.0,7.0,243.0,,,,,,Arizona Cardinals,,,,,85.0,,,,3.0,0.0,,,,
2,1.0,11.0,1.0,11.0,1.0,2.0,0.0,27.0,243.0,,,,,,Carolina Panthers,,,,,65.0,,,,2.0,0.0,,,,
3,1.0,8.0,1.0,8.0,1.0,0.0,0.0,37.0,374.0,,,,,,Buffalo Bills,,,,,123.0,,,,1.0,0.0,,,,
4,0.0,8.0,0.0,8.0,1.0,0.0,1.0,29.0,190.0,,,,,,Chicago Bears,,,,,100.0,,,,2.0,0.0,,,,
5,0.0,8.0,2.0,8.0,1.0,1.0,0.0,14.0,213.0,,,,,,Minnesota Vikings,,,,,83.0,,,,5.0,0.0,,,,
6,0.0,7.0,3.0,7.0,1.0,0.0,0.0,12.0,186.0,,,,,,Houston Texans,,,,,119.0,,,,4.0,0.0,,,,
7,0.0,7.0,0.0,7.0,1.0,2.0,0.0,20.0,260.0,,,,,,Baltimore Ravens,,,,,145.0,,,,3.0,1.0,,,,
8,0.0,6.0,2.0,6.0,1.0,1.0,0.0,14.0,235.0,,,,,,Philadelphia Eagles,,,,,64.0,,,,3.0,0.0,,,,
9,0.0,6.0,0.0,6.0,1.0,1.0,0.0,16.0,238.0,,,,,,Detroit Lions,,,,,139.0,,,,3.0,1.0,,,,
10,0.0,5.0,1.0,5.0,1.0,0.0,0.0,17.0,286.0,,,,,,Green Bay Packers,,,,,30.0,,,,4.0,0.0,,,,
11,0.0,5.0,1.0,5.0,1.0,2.0,0.0,14.0,329.0,,,,,,San Diego Chargers,,,,,69.0,,,,2.0,0.0,,,,
12,0.0,5.0,3.0,5.0,1.0,1.0,0.0,46.0,353.0,,,,,,San Francisco 49ers,,,,,176.0,,,,1.0,0.0,,,,
13,0.0,5.0,0.0,5.0,1.0,1.0,0.0,15.0,260.0,,,,,,Tennessee Titans,,,,,137.0,,,,4.0,0.0,,,,
14,0.0,5.0,3.0,5.0,1.0,0.0,0.0,16.0,368.0,,,,,,New Orleans Saints,,,,,64.0,,,,2.0,0.0,,,,
15,0.0,5.0,1.0,5.0,1.0,0.0,0.0,27.0,292.0,,,,,,Washington Redskins,,,,,102.0,,,,4.0,0.0,,,,
16,0.0,4.0,1.0,4.0,1.0,0.0,0.0,38.0,220.0,,,,,,Jacksonville Jaguars,,,,,150.0,,,,3.0,0.0,,,,
17,0.0,4.0,0.0,4.0,1.0,2.0,0.0,19.0,268.0,,,,,,Kansas City Chiefs,,,,,97.0,,,,2.0,0.0,,,,
18,0.0,4.0,2.0,4.0,1.0,0.0,0.0,3.0,254.0,,,,,,Los Angeles Rams,,,,,67.0,,,,2.0,0.0,,,,
19,0.0,4.0,2.0,4.0,1.0,2.0,0.0,24.0,389.0,,,,,,New England Patriots,,,,,70.0,,,,0.0,0.0,,,,
20,0.0,3.0,2.0,3.0,1.0,0.0,0.0,16.0,366.0,,,,,,Pittsburgh Steelers,,,,,46.0,,,,1.0,0.0,,,,
21,0.0,3.0,0.0,3.0,1.0,0.0,0.0,9.0,239.0,,,,,,Seattle Seahawks,,,,,64.0,,,,3.0,0.0,,,,
22,0.0,3.0,0.0,3.0,1.0,2.0,0.0,24.0,259.0,,,,,,Cincinnati Bengals,,,,,124.0,,,,1.0,0.0,,,,
23,0.0,3.0,1.0,3.0,1.0,0.0,0.0,31.0,326.0,,,,,,Miami Dolphins,,,,,161.0,,,,2.0,0.0,,,,
24,0.0,3.0,0.0,3.0,1.0,1.0,0.0,23.0,364.0,,,,,,Dallas Cowboys,,,,,82.0,,,,2.0,0.0,,,,
25,0.0,2.0,0.0,2.0,1.0,0.0,0.0,13.0,263.0,,,,,,New York Giants,,,,,41.0,,,,2.0,0.0,,,,
26,0.0,2.0,0.0,2.0,1.0,1.0,0.0,35.0,396.0,,,,,,Oakland Raiders,,,,,139.0,,,,1.0,0.0,,,,
27,0.0,2.0,0.0,2.0,1.0,1.0,0.0,34.0,266.0,,,,,,Indianapolis Colts,,,,,134.0,,,,1.0,0.0,,,,
28,0.0,2.0,0.0,2.0,1.0,2.0,0.0,25.0,302.0,,,,,,Cleveland Browns,,,,,80.0,,,,0.0,0.0,,,,
29,0.0,1.0,0.0,1.0,1.0,1.0,0.0,31.0,307.0,,,,,,New York Jets,,,,,86.0,,,,0.0,0.0,,,,
30,0.0,1.0,0.0,1.0,1.0,0.0,0.0,28.0,299.0,,,,,,Atlanta Falcons,,,,,155.0,,,,1.0,0.0,,,,
31,0.0,1.0,0.0,1.0,1.0,0.0,0.0,40.0,319.0,,,,,,Tampa Bay Buccaneers,,,,,101.0,,,,1.0,0.0,,,,
0,,,,35.82,,,,,,24.0,40.0,353.0,4.0,1.0,,,,,,,6.0,37.0,0.0,,,0.0,Cam Newton,CAR,1.0
1,,,,29.84,,,,,,26.0,34.0,396.0,3.0,1.0,,,,,,,0.0,0.0,0.0,,,1.0,Matt Ryan,ATL,1.0
2,,,,28.06,,,,,,32.0,45.0,389.0,2.0,2.0,,,,,,,6.0,35.0,0.0,,,2.0,Ryan Tannehill,MIA,1.0
3,,,,25.38,,,,,,18.0,30.0,297.0,3.0,1.0,,,,,,,2.0,25.0,0.0,,,3.0,Tyrod Taylor,BUF,1.0
4,,,,25.8,,,,,,17.0,24.0,220.0,4.0,0.0,,,,,,,1.0,10.0,0.0,,,4.0,Philip Rivers,SD,1.0
5,,,,24.96,,,,,,34.0,45.0,299.0,3.0,0.0,,,,,,,2.0,10.0,0.0,,,5.0,Derek Carr,OAK,1.0
6,,,,25.56,,,,,,31.0,50.0,329.0,2.0,2.0,,,,,,,3.0,34.0,0.0,,,6.0,Blake Bortles,JAC,1.0
7,,,,27.32,,,,,,18.0,31.0,308.0,3.0,0.0,,,,,,,0.0,0.0,0.0,,,7.0,Carson Palmer,ARI,1.0
8,,,,22.72,,,,,,17.0,36.0,243.0,2.0,2.0,,,,,,,3.0,10.0,1.0,,,8.0,Blaine Gabbert,SF,1.0
9,,,,21.76,,,,,,19.0,37.0,259.0,3.0,2.0,,,,,,,1.0,14.0,0.0,,,9.0,Ben Roethlisberger,PIT,1.0
10,,,,24.06,,,,,,24.0,34.0,374.0,1.0,0.0,,,,,,,5.0,21.0,0.0,,,10.0,Ryan Fitzpatrick,NYJ,1.0
11,,,,22.56,,,,,,28.0,46.0,364.0,1.0,1.0,,,,,,,2.0,20.0,0.0,,,11.0,Kirk Cousins,WAS,1.0
12,,,,21.36,,,,,,18.0,27.0,234.0,3.0,0.0,,,,,,,0.0,0.0,0.0,,,12.0,Jimmy Garoppolo,NE,1.0
13,,,,20.42,,,,,,20.0,36.0,213.0,1.0,1.0,,,,,,,3.0,29.0,1.0,,,13.0,Aaron Rodgers,GB,1.0
14,,,,21.18,,,,,,25.0,45.0,302.0,2.0,2.0,,,,,,,1.0,1.0,0.0,,,14.0,Joe Flacco,BAL,1.0
15,,,,22.34,,,,,,31.0,54.0,366.0,1.0,0.0,,,,,,,2.0,7.0,0.0,,,15.0,Andy Dalton,CIN,1.0
16,,,,19.14,,,,,,22.0,31.0,286.0,2.0,0.0,,,,,,,1.0,-3.0,0.0,,,16.0,Sam Bradford,MIN,1.0
17,,,,18.28,,,,,,22.0,30.0,292.0,0.0,0.0,,,,,,,1.0,6.0,1.0,,,17.0,Dak Prescott,DAL,1.0
18,,,,17.62,,,,,,25.0,33.0,238.0,2.0,1.0,,,,,,,2.0,11.0,0.0,,,18.0,Marcus Mariota,TEN,1.0
19,,,,16.4,,,,,,20.0,33.0,260.0,2.0,2.0,,,,,,,2.0,0.0,0.0,,,19.0,Josh McCown,CLE,1.0
20,,,,16.5,,,,,,22.0,40.0,260.0,1.0,1.0,,,,,,,2.0,31.0,0.0,,,20.0,Matthew Stafford,DET,1.0
21,,,,17.32,,,,,,32.0,41.0,368.0,0.0,0.0,,,,,,,4.0,-4.0,0.0,,,21.0,Eli Manning,NYG,1.0
22,,,,14.52,,,,,,29.0,44.0,263.0,1.0,0.0,,,,,,,0.0,0.0,0.0,,,22.0,Drew Brees,NO,1.0
23,,,,12.42,,,,,,19.0,33.0,268.0,1.0,2.0,,,,,,,2.0,-3.0,0.0,,,23.0,Brock Osweiler,HOU,1.0
24,,,,10.62,,,,,,27.0,52.0,243.0,1.0,4.0,,,,,,,3.0,9.0,0.0,,,24.0,Jameis Winston,TB,1.0
25,,,,13.08,,,,,,21.0,40.0,197.0,1.0,1.0,,,,,,,3.0,22.0,0.0,,,25.0,Andrew Luck,IND,1.0
26,,,,12.6,,,,,,21.0,34.0,190.0,1.0,0.0,,,,,,,6.0,10.0,0.0,,,26.0,Carson Wentz,PHI,1.0
27,,,,11.56,,,,,,22.0,35.0,254.0,0.0,0.0,,,,,,,5.0,14.0,0.0,,,27.0,Russell Wilson,SEA,1.0
28,,,,10.34,,,,,,22.0,33.0,266.0,0.0,1.0,,,,,,,1.0,7.0,0.0,,,28.0,Trevor Siemian,DEN,1.0
29,,,,10.06,,,,,,18.0,30.0,239.0,0.0,0.0,,,,,,,3.0,5.0,0.0,,,29.0,Case Keenum,LAR,1.0
30,,,,7.64,,,,,,20.0,37.0,186.0,0.0,0.0,,,,,,,2.0,2.0,0.0,,,30.0,Alex Smith,KC,1.0
31,,,,5.28,,,,,,12.0,17.0,157.0,0.0,1.0,,,,,,,0.0,0.0,0.0,,,31.0,Jay Cutler,CHI,1.0
32,,,,4.88,,,,,,6.0,9.0,92.0,0.0,0.0,,,,,,,4.0,12.0,0.0,,,32.0,Jacoby Brissett,NE,1.0
33,,,,3.12,,,,,,9.0,12.0,78.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,33.0,Brian Hoyer,CHI,1.0
34,,,,0.6,,,,,,1.0,1.0,10.0,0.0,0.0,,,,,,,2.0,2.0,0.0,,,34.0,EJ Manuel,BUF,1.0
35,,,,0.44,,,,,,1.0,4.0,11.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,35.0,Drew Stanton,ARI,1.0
36,,,,-0.1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,-1.0,0.0,,,36.0,Matt Cassel,TEN,1.0
