,Fantasy,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
0,35.82,24.0,40.0,353.0,4.0,1.0,,,,,6.0,37.0,0.0,0,Cam Newton,CAR,1
1,29.84,26.0,34.0,396.0,3.0,1.0,,,,,0.0,0.0,0.0,1,Matt Ryan,ATL,1
2,28.06,32.0,45.0,389.0,2.0,2.0,,,,,6.0,35.0,0.0,2,Ryan Tannehill,MIA,1
3,25.38,18.0,30.0,297.0,3.0,1.0,,,,,2.0,25.0,0.0,3,Tyrod Taylor,BUF,1
4,25.8,17.0,24.0,220.0,4.0,0.0,,,,,1.0,10.0,0.0,4,Philip Rivers,SD,1
5,24.96,34.0,45.0,299.0,3.0,0.0,,,,,2.0,10.0,0.0,5,Derek Carr,OAK,1
6,25.56,31.0,50.0,329.0,2.0,2.0,,,,,3.0,34.0,0.0,6,Blake Bortles,JAC,1
7,27.32,18.0,31.0,308.0,3.0,0.0,,,,,0.0,0.0,0.0,7,Carson Palmer,ARI,1
8,22.72,17.0,36.0,243.0,2.0,2.0,,,,,3.0,10.0,1.0,8,Blaine Gabbert,SF,1
9,21.76,19.0,37.0,259.0,3.0,2.0,,,,,1.0,14.0,0.0,9,Ben Roethlisberger,PIT,1
10,24.06,24.0,34.0,374.0,1.0,0.0,,,,,5.0,21.0,0.0,10,Ryan Fitzpatrick,NYJ,1
11,22.56,28.0,46.0,364.0,1.0,1.0,,,,,2.0,20.0,0.0,11,Kirk Cousins,WAS,1
12,21.36,18.0,27.0,234.0,3.0,0.0,,,,,0.0,0.0,0.0,12,Jimmy Garoppolo,NE,1
13,20.42,20.0,36.0,213.0,1.0,1.0,,,,,3.0,29.0,1.0,13,Aaron Rodgers,GB,1
14,21.18,25.0,45.0,302.0,2.0,2.0,,,,,1.0,1.0,0.0,14,Joe Flacco,BAL,1
15,22.34,31.0,54.0,366.0,1.0,0.0,,,,,2.0,7.0,0.0,15,Andy Dalton,CIN,1
16,19.14,22.0,31.0,286.0,2.0,0.0,,,,,1.0,-3.0,0.0,16,Sam Bradford,MIN,1
17,18.28,22.0,30.0,292.0,0.0,0.0,,,,,1.0,6.0,1.0,17,Dak Prescott,DAL,1
18,17.62,25.0,33.0,238.0,2.0,1.0,,,,,2.0,11.0,0.0,18,Marcus Mariota,TEN,1
19,16.4,20.0,33.0,260.0,2.0,2.0,,,,,2.0,0.0,0.0,19,Josh McCown,CLE,1
20,16.5,22.0,40.0,260.0,1.0,1.0,,,,,2.0,31.0,0.0,20,Matthew Stafford,DET,1
21,17.32,32.0,41.0,368.0,0.0,0.0,,,,,4.0,-4.0,0.0,21,Eli Manning,NYG,1
22,14.52,29.0,44.0,263.0,1.0,0.0,,,,,0.0,0.0,0.0,22,Drew Brees,NO,1
23,12.42,19.0,33.0,268.0,1.0,2.0,,,,,2.0,-3.0,0.0,23,Brock Osweiler,HOU,1
24,10.62,27.0,52.0,243.0,1.0,4.0,,,,,3.0,9.0,0.0,24,Jameis Winston,TB,1
25,13.08,21.0,40.0,197.0,1.0,1.0,,,,,3.0,22.0,0.0,25,Andrew Luck,IND,1
26,12.6,21.0,34.0,190.0,1.0,0.0,,,,,6.0,10.0,0.0,26,Carson Wentz,PHI,1
27,11.56,22.0,35.0,254.0,0.0,0.0,,,,,5.0,14.0,0.0,27,Russell Wilson,SEA,1
28,10.34,22.0,33.0,266.0,0.0,1.0,,,,,1.0,7.0,0.0,28,Trevor Siemian,DEN,1
29,10.06,18.0,30.0,239.0,0.0,0.0,,,,,3.0,5.0,0.0,29,Case Keenum,LAR,1
30,7.64,20.0,37.0,186.0,0.0,0.0,,,,,2.0,2.0,0.0,30,Alex Smith,KC,1
31,5.28,12.0,17.0,157.0,0.0,1.0,,,,,0.0,0.0,0.0,31,Jay Cutler,CHI,1
32,4.88,6.0,9.0,92.0,0.0,0.0,,,,,4.0,12.0,0.0,32,Jacoby Brissett,NE,1
33,3.12,9.0,12.0,78.0,0.0,0.0,,,,,0.0,0.0,0.0,33,Brian Hoyer,CHI,1
34,0.6,1.0,1.0,10.0,0.0,0.0,,,,,2.0,2.0,0.0,34,EJ Manuel,BUF,1
35,0.44,1.0,4.0,11.0,0.0,0.0,,,,,0.0,0.0,0.0,35,Drew Stanton,ARI,1
36,-0.1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,-1.0,0.0,36,Matt Cassel,TEN,1
37,-0.1,0.0,1.0,0.0,0.0,0.0,,,,,2.0,-1.0,0.0,37,Kellen Clemens,SD,1
0,33.3,,,,,,3.0,2.0,9.0,0.0,30.0,100.0,3.0,0,Matt Forte,NYJ,1
